rule,min_equity_share_at_retirement,mean_equity_share_elsewhere,dip_size_pp,mean_domestic_working,mean_domestic_retired,mean_domestic_overall,solved_cec
4% rule (anchors on wealth at 63),0.8,0.9890625,18.906249999999993,0.042105263157894736,0.14666666666666667,0.08823529411764706,1.1169834288082223
Constant % of portfolio,1.0,0.996875,-0.31250000000000444,0.09473684210526319,0.16666666666666669,0.12647058823529408,1.314162833447729
Life expectancy / RMD,1.0,0.996875,-0.31250000000000444,0.09473684210526319,0.20000000000000007,0.14117647058823526,1.2774250438791088
