risk_aversion,age,phase,cec_solved,cec_if_reset_to_average,cost_of_resetting_bp,dom_eq,intl_eq,bond,bill
2.0,25,working,1.5272519563318394,1.5272034252496953,0.31777745742145314,0.0,1.0,0.0,0.0
2.0,26,working,1.5272519563318394,1.5271505260309544,0.6641801129370073,0.0,1.0,0.0,0.0
2.0,27,working,1.5272519563318394,1.5271160666146264,0.8898453770722625,0.0,1.0,0.0,0.0
2.0,28,working,1.5272519563318394,1.527083421330425,1.1036397819541577,0.0,1.0,0.0,0.0
2.0,29,working,1.5272519563318394,1.5270793342696736,1.130406641567383,0.0,1.0,0.0,0.0
2.0,30,working,1.5272519563318394,1.5270141595918427,1.5572661098328666,0.0,1.0,0.0,0.0
2.0,31,working,1.5272519563318394,1.5270566235043777,1.2791459364058788,0.0,1.0,0.0,0.0
2.0,32,working,1.5272519563318394,1.5270430970461375,1.3677366808173552,0.0,1.0,0.0,0.0
2.0,33,working,1.5272519563318394,1.5270091941328465,1.5897887185323256,0.0,1.0,0.0,0.0
2.0,34,working,1.5272519563318394,1.526981332521774,1.7722797541885882,0.0,1.0,0.0,0.0
2.0,35,working,1.5272519563318394,1.526963221531488,1.8909086759921756,0.0,1.0,0.0,0.0
2.0,36,working,1.5272519563318394,1.5269396232554784,2.045484127886077,0.0,1.0,0.0,0.0
2.0,37,working,1.5272519563318394,1.5269089385546655,2.2464848329373233,0.0,1.0,0.0,0.0
2.0,38,working,1.5272519563318394,1.5269612476254508,1.9038381415414918,0.0,1.0,0.0,0.0
2.0,39,working,1.5272519563318394,1.5269064628567692,2.262702290380947,0.0,1.0,0.0,0.0
2.0,40,working,1.5272519563318394,1.5268794965107435,2.4393530854727175,0.0,1.0,0.0,0.0
2.0,41,working,1.5272519563318394,1.5268212030374029,2.821242550075098,0.0,1.0,0.0,0.0
2.0,42,working,1.5272519563318394,1.5268280384973418,2.7764608967673077,0.0,1.0,0.0,0.0
2.0,43,working,1.5272519563318394,1.5268609660563217,2.560745766706507,0.0,1.0,0.0,0.0
2.0,44,working,1.5272519563318394,1.526925353750516,2.1389557814410765,0.0,1.0,0.0,0.0
2.0,45,working,1.5272519563318394,1.5269217376688895,2.1626430143961706,0.0,1.0,0.0,0.0
2.0,46,working,1.5272519563318394,1.5268991695375964,2.310478656883941,0.0,1.0,0.0,0.0
2.0,47,working,1.5272519563318394,1.5268993598103426,2.309232230868208,0.0,1.0,0.0,0.0
2.0,48,working,1.5272519563318394,1.5269515548864192,1.9673279381970943,0.0,1.0,0.0,0.0
2.0,49,working,1.5272519563318394,1.5269600187473829,1.911887546970359,0.0,1.0,0.0,0.0
2.0,50,working,1.5272519563318394,1.5268408847597947,2.69230131409115,0.0,1.0,0.0,0.0
2.0,51,working,1.5272519563318394,1.5268981079536135,2.3174328161301716,0.0,1.0,0.0,0.0
2.0,52,working,1.5272519563318394,1.5267855274010456,3.0549734879126156,0.0,1.0,0.0,0.0
2.0,53,working,1.5272519563318394,1.5268879202872427,2.3841700478466343,0.0,1.0,0.0,0.0
2.0,54,working,1.5272519563318394,1.5268873450486613,2.3879383397895637,0.0,1.0,0.0,0.0
2.0,55,working,1.5272519563318394,1.5269127990769495,2.221195965446121,0.0,1.0,0.0,0.0
2.0,56,working,1.5272519563318394,1.5269319832164328,2.0955295908642313,0.0,1.0,0.0,0.0
2.0,57,working,1.5272519563318394,1.5267545039741417,3.258234093319601,0.0,1.0,0.0,0.0
2.0,58,working,1.5272519563318394,1.5268555152446657,2.596454498906553,0.0,1.0,0.0,0.0
2.0,59,working,1.5272519563318394,1.5269327536031816,2.0904832115542504,0.0,1.0,0.0,0.0
2.0,60,working,1.5272519563318394,1.5269348020125666,2.0770652345780682,0.0,1.0,0.0,0.0
2.0,61,working,1.5272519563318394,1.5269220015583802,2.1609143959056,0.0,1.0,0.0,0.0
2.0,62,working,1.5272519563318394,1.5268995632112348,2.3078998062153744,0.0,1.0,0.0,0.0
2.0,63,retired,1.5272519563318394,1.5258281996537655,9.331041845976884,0.2,0.55,0.0,0.25
2.0,64,retired,1.5272519563318394,1.5261527156348718,7.202691353926927,0.2,0.6000000000000001,0.0,0.2
2.0,65,retired,1.5272519563318394,1.526694218183263,3.6532407205958073,0.2,0.7,0.0,0.1
2.0,66,retired,1.5272519563318394,1.527082330339481,1.1107848541525023,0.15000000000000002,0.8499999999999999,0.0,0.0
2.0,67,retired,1.5272519563318394,1.5269769117501173,1.8012360213548462,0.15000000000000002,0.8500000000000001,0.0,0.0
2.0,68,retired,1.5272519563318394,1.5270795381721054,1.1290712462841412,0.15000000000000002,0.8500000000000001,0.0,0.0
2.0,69,retired,1.5272519563318394,1.527077461698976,1.1426704750738814,0.15000000000000002,0.8500000000000001,0.0,0.0
2.0,70,retired,1.5272519563318394,1.5269345124444758,2.0789620299788147,0.2,0.8,0.0,0.0
2.0,71,retired,1.5272519563318394,1.5271207449283017,0.859207786767513,0.15000000000000002,0.8500000000000001,0.0,0.0
2.0,72,retired,1.5272519563318394,1.5272060514514334,0.30058079171668695,0.1,0.8999999999999999,0.0,0.0
2.0,73,retired,1.5272519563318394,1.5271939387531257,0.3798966014834093,0.15000000000000002,0.8500000000000001,0.0,0.0
2.0,74,retired,1.5272519563318394,1.5271584742425728,0.6121309009077258,0.15000000000000002,0.8500000000000001,0.0,0.0
2.0,75,retired,1.5272519563318394,1.527101704201759,0.9839038858183713,0.2,0.8,0.0,0.0
2.0,76,retired,1.5272519563318394,1.5271528154876146,0.6491874501324268,0.15000000000000002,0.8500000000000001,0.0,0.0
2.0,77,retired,1.5272519563318394,1.527189583025036,0.40841888588438735,0.15000000000000002,0.8499999999999999,0.0,0.0
2.0,78,retired,1.5272519563318394,1.52708648392221,1.0835824386612458,0.25,0.75,0.0,0.0
2.0,79,retired,1.5272519563318394,1.5272316711545884,0.1328231835029392,0.0,1.0,0.0,0.0
2.0,80,retired,1.5272519563318394,1.5272139525813189,0.24884365714683554,0.15000000000000002,0.8500000000000001,0.0,0.0
2.0,81,retired,1.5272519563318394,1.527244319337941,0.05000505683083745,0.05,0.95,0.0,0.0
2.0,82,retired,1.5272519563318394,1.5272416204404433,0.06767685779118793,0.0,1.0,0.0,0.0
2.0,83,retired,1.5272519563318394,1.5272237241034203,0.18485980785687417,0.2,0.8,0.0,0.0
2.0,84,retired,1.5272519563318394,1.5272468962556645,0.033132011512115866,0.05,0.95,0.0,0.0
2.0,85,retired,1.5272519563318394,1.52724192641143,0.0656734223691835,0.1,0.8999999999999999,0.0,0.0
2.0,86,retired,1.5272519563318394,1.5272495138537658,0.015992659034846923,0.05,0.95,0.0,0.0
2.0,87,retired,1.5272519563318394,1.5272501405285421,0.011889364086581367,0.05,0.95,0.0,0.0
2.0,88,retired,1.5272519563318394,1.5272496694024096,0.01497416876716784,0.0,1.0,0.0,0.0
2.0,89,retired,1.5272519563318394,1.5272495726940354,0.01560738890793445,0.2,0.8,0.0,0.0
2.0,90,retired,1.5272519563318394,1.5272504232261375,0.010038338693618698,0.25,0.75,0.0,0.0
2.0,91,retired,1.5272519563318394,1.5272522949877834,-0.002217419774463991,0.0,1.0,0.0,0.0
2.0,92,retired,1.5272519563318394,1.5272520189281646,-0.0004098624484250024,0.0,1.0,0.0,0.0
5.0,25,working,1.1202964390632972,1.1202662533024645,0.26945166601066717,0.0,1.0,0.0,0.0
5.0,26,working,1.1202964390632972,1.1202489471939652,0.42394031657844167,0.0,1.0,0.0,0.0
5.0,27,working,1.1202964390632972,1.1202338573669457,0.5586484995068197,0.0,1.0,0.0,0.0
5.0,28,working,1.1202964390632972,1.1202110121830176,0.762596326500109,0.0,1.0,0.0,0.0
5.0,29,working,1.1202964390632972,1.120188785684772,0.9610288899586372,0.0,1.0,0.0,0.0
5.0,30,working,1.1202964390632972,1.1201553459323073,1.2595853914576516,0.0,1.0,0.0,0.0
5.0,31,working,1.1202964390632972,1.120233565031589,0.5612582381986364,0.15000000000000002,0.8500000000000001,0.0,0.0
5.0,32,working,1.1202964390632972,1.120231701810374,0.5778916345478002,0.05,0.95,0.0,0.0
5.0,33,working,1.1202964390632972,1.1202170374157796,0.7088059265791813,0.05,0.95,0.0,0.0
5.0,34,working,1.1202964390632972,1.1201544121423852,1.2679227021950012,0.0,1.0,0.0,0.0
5.0,35,working,1.1202964390632972,1.120207545681043,0.7935438624473434,0.05,0.95,0.0,0.0
5.0,36,working,1.1202964390632972,1.1201812872483752,1.02797481294159,0.0,1.0,0.0,0.0
5.0,37,working,1.1202964390632972,1.1201239381498977,1.540016310019876,0.0,1.0,0.0,0.0
5.0,38,working,1.1202964390632972,1.120097173978042,1.778998196624304,0.0,1.0,0.0,0.0
5.0,39,working,1.1202964390632972,1.1201017700740357,1.7379580540133333,0.0,1.0,0.0,0.0
5.0,40,working,1.1202964390632972,1.1201260424968766,1.5212267187436623,0.0,1.0,0.0,0.0
5.0,41,working,1.1202964390632972,1.1201853349890325,0.9918365362793224,0.0,1.0,0.0,0.0
5.0,42,working,1.1202964390632972,1.120143786057702,1.3627983076403005,0.0,1.0,0.0,0.0
5.0,43,working,1.1202964390632972,1.1201843121735076,1.0009682207745563,0.05,0.95,0.0,0.0
5.0,44,working,1.1202964390632972,1.12019644833459,0.8926177980272954,0.1,0.8999999999999999,0.0,0.0
5.0,45,working,1.1202964390632972,1.1202067976726597,0.8002218056857302,0.1,0.8999999999999999,0.0,0.0
5.0,46,working,1.1202964390632972,1.1202145305199405,0.7311862248271517,0.1,0.8999999999999999,0.0,0.0
5.0,47,working,1.1202964390632972,1.1201124319472886,1.642755769515336,0.0,1.0,0.0,0.0
5.0,48,working,1.1202964390632972,1.1201950778066077,0.9048536161038179,0.1,0.8999999999999999,0.0,0.0
5.0,49,working,1.1202964390632972,1.1201948091377212,0.9072522452968634,0.1,0.8999999999999999,0.0,0.0
5.0,50,working,1.1202964390632972,1.1201778644943488,1.0585334053359041,0.05,0.95,0.0,0.0
5.0,51,working,1.1202964390632972,1.12017954526915,1.0435273045361626,0.05,0.95,0.0,0.0
5.0,52,working,1.1202964390632972,1.1201483893156163,1.3216976348218168,0.05,0.95,0.0,0.0
5.0,53,working,1.1202964390632972,1.1201491475468095,1.3149277202084697,0.15000000000000002,0.8500000000000001,0.0,0.0
5.0,54,working,1.1202964390632972,1.1201930490978251,0.9229656045040002,0.1,0.8999999999999999,0.0,0.0
5.0,55,working,1.1202964390632972,1.1201765752087942,1.070044287265759,0.1,0.8999999999999999,0.0,0.0
5.0,56,working,1.1202964390632972,1.1200813791734918,1.9200380776274173,0.2,0.8,0.0,0.0
5.0,57,working,1.1202964390632972,1.120161344963077,1.2060235860467117,0.05,0.95,0.0,0.0
5.0,58,working,1.1202964390632972,1.1200983839964507,1.7681934879676398,0.15000000000000002,0.8500000000000001,0.0,0.0
5.0,59,working,1.1202964390632972,1.1202162647169003,0.7157041807204223,0.1,0.8999999999999999,0.0,0.0
5.0,60,working,1.1202964390632972,1.1201191643338608,1.5826416963582446,0.15000000000000002,0.8500000000000001,0.0,0.0
