trading_cost,basis_points,gap_pct,cec_solved_simplex,cec_international_equity,winner
0.0,0.0,1.0741693110483341,1.1213465050069906,1.1094293553441226,solved_simplex
0.0005,5.0,1.0438498229790705,1.12101013170596,1.1094293553441226,solved_simplex
0.001,10.0,1.0132931421179991,1.1206711269184684,1.1094293553441226,solved_simplex
0.0025,25.0,0.9188009495063154,1.119622802795126,1.1094293553441226,solved_simplex
0.005,50.0,0.7610154979691197,1.1178722846773101,1.1094293553441226,solved_simplex
0.01,100.0,0.4509449793705267,1.1144322713217096,1.1094293553441226,solved_simplex
0.02,200.0,-0.16872378955132827,1.107557484093391,1.1094293553441226,international_equity
0.03,300.0,-0.8020568828516983,1.1005311008392078,1.1094293553441226,international_equity
