equity,domestic,rule,rule_label,rate,has_rate,label,cec_fixed,cec_mortality,ruin_fixed,ruin_mortality,mean_consumption
0.8,0.3,guyton_klinger,guyton_klinger (no inflation rule),0.035,True,"guyton_klinger (no inflation rule) @ 3.5%, 80% equity / 30% domestic",1.0726411143966341,1.0703320010293433,0.016,0.007387376122734974,1.5955560706213416
0.8,0.3,guyton_klinger,guyton_klinger (no inflation rule),0.045,True,"guyton_klinger (no inflation rule) @ 4.5%, 80% equity / 30% domestic",1.1323380369214848,1.1413985465374763,0.0385,0.01648556203027644,1.6666524744230773
0.8,0.3,vanguard_dynamic,vanguard_dynamic,0.035,True,"vanguard_dynamic @ 3.5%, 80% equity / 30% domestic",1.0769992094238636,1.0812346084455366,0.0345,0.016823823979048746,1.5587641995980284
0.8,0.3,vanguard_dynamic,vanguard_dynamic,0.045,True,"vanguard_dynamic @ 4.5%, 80% equity / 30% domestic",1.1200596671253331,1.1450002385461127,0.076,0.03895346780776551,1.6367992084038683
0.8,0.3,vanguard_dynamic,vanguard_dynamic (asymmetric),0.035,True,"vanguard_dynamic (asymmetric) @ 3.5%, 80% equity / 30% domestic",1.0353958255047215,1.0415756526802005,0.01,0.005746483637273336,1.4697070966328978
0.8,0.3,vanguard_dynamic,vanguard_dynamic (asymmetric),0.045,True,"vanguard_dynamic (asymmetric) @ 4.5%, 80% equity / 30% domestic",1.0980840732049604,1.1159049816331963,0.033,0.017536913213446814,1.5523343368003404
0.8,0.3,endowment,endowment,0.035,True,"endowment @ 3.5%, 80% equity / 30% domestic",1.0747579854932137,1.0755659848960823,0.0005,0.00021961053432735674,1.6107149014126896
0.8,0.3,endowment,endowment,0.045,True,"endowment @ 4.5%, 80% equity / 30% domestic",1.1322254864832606,1.1440565145203838,0.001,0.00047836377694698997,1.6672804156860057
0.8,0.3,endowment,endowment (light smoothing),0.035,True,"endowment (light smoothing) @ 3.5%, 80% equity / 30% domestic",1.0756099694604944,1.07562804815452,0.0,0.0,1.6253605712364767
0.8,0.3,endowment,endowment (light smoothing),0.045,True,"endowment (light smoothing) @ 4.5%, 80% equity / 30% domestic",1.1312991678743918,1.1407838935850294,0.0,0.0,1.67583581384123
0.8,0.3,life_expectancy,life_expectancy,,False,"life_expectancy, 80% equity / 30% domestic",1.1707313076501358,1.159104541489927,0.0,0.0,2.0784164422932827
0.8,0.3,life_expectancy,life_expectancy (+5y buffer),,False,"life_expectancy (+5y buffer), 80% equity / 30% domestic",1.1234759609650198,1.1006623475832078,0.0,0.0,1.9331550776053208
0.8,0.3,gompertz,gompertz,,False,"gompertz, 80% equity / 30% domestic",1.2331797460051823,1.2436890980002964,0.0,0.0,1.8627980640254445
0.8,0.3,gompertz,gompertz (+5y buffer),,False,"gompertz (+5y buffer), 80% equity / 30% domestic",1.178244800268048,1.170938035734486,0.0,0.0,1.8362260393133238
0.8,0.3,amortisation,amortisation (0% assumed return),,False,"amortisation (0% assumed return), 80% equity / 30% domestic",1.1707313076501356,1.159104541489927,0.0,0.0,2.0784164422932827
0.8,0.3,amortisation,amortisation (2% assumed return),,False,"amortisation (2% assumed return), 80% equity / 30% domestic",1.219218040034252,1.2237135654437297,0.0,0.0,1.9806230313026398
0.8,0.3,amortisation,amortisation (4% assumed return),,False,"amortisation (4% assumed return), 80% equity / 30% domestic",1.2381225441933055,1.2644682195914352,0.0,0.0,1.8914705747236997
