trading_cost,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption,mean_retirement_consumption
0.0,balanced_all_equity,50/50 Domestic/International Equity,1.0493326019515596,1.2495718040694184,0.11702,21.241196132752656,45.10225254316637,0.7485574886332116,1.7281313418640618
0.0,domestic_equity,100% Domestic Equity,0.883032681245246,0.9946675020000494,0.25162,16.11274390040957,16.860616244265508,0.6275218416153541,1.5289500373480285
0.0,international_equity,100% International Equity,1.1094293553441226,1.358729044037208,0.09082,24.476381717006852,64.50011930664564,0.7939236594749478,1.9032114005483318
0.0,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8721035565230777,0.9642860592059871,0.23958,13.334474649517173,10.34024153653382,0.6226755637710008,1.2914387512734997
0.0,target_date_fund,Target-Date Fund (glide path),0.9446112745066872,1.0543052918276805,0.2202,16.403590691546725,9.543584326860367,0.6826141908517536,1.4202319297920956
0.0,bills_only,100% Bills (cash),0.7387454649380522,0.7661232237338004,0.5601,6.366825381279742,0.0,0.5406270168912519,0.9065108972927082
0.0,solved_simplex,Solved simplex (docs/12),1.1213465050069906,1.3624627822537891,0.07964,24.138110378487557,57.326912881844436,0.7981386556484823,1.8830031371407072
0.0005,balanced_all_equity,50/50 Domestic/International Equity,1.0491528314435477,1.249279060039949,0.1171,21.233282145317744,45.046751023425024,0.7483926041876549,1.7276398569251932
0.0005,domestic_equity,100% Domestic Equity,0.883032681245246,0.9946675020000494,0.25162,16.11274390040957,16.860616244265508,0.6275218416153541,1.5289500373480285
0.0005,international_equity,100% International Equity,1.1094293553441226,1.358729044037208,0.09082,24.476381717006852,64.50011930664564,0.7939236594749478,1.9032114005483318
0.0005,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8720076904535922,0.9641440604543583,0.23966,13.328640127315367,10.325204968905286,0.6226097843637335,1.29112960185927
0.0005,target_date_fund,Target-Date Fund (glide path),0.944442658306676,1.0540587709342486,0.22054,16.39552840430517,9.52399926852345,0.6824849372586557,1.419770986633268
