spread,policy,leverage,cec,vs_unlevered_pct
0.0,constant,1.25,1.156880955214723,4.559710984652265
0.0,two_level,1.5,1.193927572152207,7.908010170045521
0.0,per_age,,1.2263174727356059,10.83543206990145
0.01,constant,1.25,1.1285469010686848,1.9988593264249177
0.01,two_level,1.5,1.1527386438423772,4.185325981641697
0.01,per_age,,1.1766257024185283,6.344255065691007
0.02,constant,1.0,1.1064309037584612,0.0
0.02,two_level,1.25,1.1238345056878547,1.5729497314540541
0.02,per_age,,1.1427689722593914,3.2842600814467993
