iso,usable_years,longest_unbroken,cohorts,first_start,last_start
NOR,131,131,64,1890,1953
PRT,131,131,64,1890,1953
SWE,131,131,64,1890,1953
USA,131,131,64,1890,1953
GBR,131,131,64,1890,1953
FIN,125,125,58,1896,1953
NLD,121,121,54,1900,1953
CHE,120,105,38,1916,1953
DNK,130,105,38,1916,1953
BEL,125,101,34,1920,1953
ITA,124,99,32,1922,1953
FRA,124,99,32,1922,1953
ESP,115,77,10,1941,1950
AUS,118,73,6,1948,1953
JPN,129,73,6,1948,1953
DEU,124,71,4,1950,1953
