mortality,life_expectancy,gap_pct,cec_international_equity,cec_balanced_all_equity,ruin_international_equity,ruin_balanced_all_equity,winner
fixed horizon,93.0,5.793327461736175,1.1084723595383563,1.0477715240966154,0.0899,0.11714,international_equity
shorter lives (m=83),77.69408920448255,5.646986057661785,1.1544603856985325,1.0927527881092904,0.030292379255163142,0.04038345764273889,international_equity
baseline (m=88),81.94701551731933,5.695574994522334,1.139889837600252,1.0784650517860626,0.04468040933507152,0.059147555647419525,international_equity
longer lives (m=93),85.42484768548995,5.730865047118372,1.128980880620696,1.067787424341579,0.05793876635388517,0.07627302625784314,international_equity
"less dispersed (m=88, b=7)",84.0768940355599,5.692854081514409,1.140230593696229,1.078815217551831,0.04478734148496149,0.05957915972707029,international_equity
