rule,variant,rate,parameters,strategy,cec_gamma2,cec_nobequest_gamma2,cec_gamma5,cec_nobequest_gamma5,cec_gamma10,cec_nobequest_gamma10,prob_ruin,median_bequest,p5_bequest,median_retirement_consumption,p5_retirement_consumption,consumption_volatility,median_worst_spending_cut,p90_worst_spending_cut,median_total_real_spending,median_first_year_spending,median_final_year_spending
constant_real,Constant real (4%-rule style),0.02,-,balanced_all_equity,1.056916239478289,1.0249218594037797,0.8642394390105764,0.8572854353228155,0.702447117442827,0.6998979956427429,0.01938,73.10747664381928,3.1996045429182245,1.0662755409222382,0.6075477067684217,0.0033360748465123677,0.0,0.0,31.989537532805528,1.0680250008587548,1.0598120995383455
constant_real,Constant real (4%-rule style),0.025,-,balanced_all_equity,1.143690612426244,1.1101165855917174,0.9139005142880484,0.9066603516587864,0.7263869775818234,0.7237543100857545,0.0349,64.08517517941843,1.099284173168476,1.1628333578129042,0.6346535443245562,0.007608540541712734,0.0,0.0,34.88266080748251,1.1673084145535095,1.150131852302387
constant_real,Constant real (4%-rule style),0.03,-,balanced_all_equity,1.2243987868486357,1.1901622072121107,0.9555444447706166,0.9481972336780137,0.740857287522623,0.7381782362664484,0.06074,55.06697339210044,0.0,1.2565966799414245,0.6565555283848825,0.015444249705429973,0.0,0.0,37.686668476158815,1.2670573601402206,1.2297709189210473
constant_real,Constant real (4%-rule style),0.035,-,balanced_all_equity,1.296870912083692,1.2631066142909653,0.9861735467057531,0.9789473352726339,0.7438060131353684,0.7411239876253668,0.09734,45.953809119124145,0.0,1.3479227226053605,0.6680499973645584,0.02879160226490666,0.0,0.14098450649821348,40.40729578281018,1.366277785184261,1.2935354857277506
constant_real,Constant real (4%-rule style),0.04,-,balanced_all_equity,1.358322952274493,1.3262831075904435,1.0025242507178538,0.9956360049197036,0.7355353848024861,0.7328894403229956,0.14448,36.915879985987075,0.0,1.4322342252312072,0.6662167400494348,0.04860235922010693,0.0,0.4289534700495508,42.90607565913502,1.4650897325441807,1.3368692996166596
constant_real,Constant real (4%-rule style),0.045,-,balanced_all_equity,1.4058806243345336,1.3769089141334492,1.002745662953094,0.9963462449727801,0.7185844354496709,0.716002556419441,0.20272,28.39330225587373,0.0,1.5071202413394622,0.6504664701252941,0.07610924187440694,0.0,0.5631926301184383,45.12540112522491,1.5649759097053648,1.3500225560834571
constant_real,Constant real (4%-rule style),0.05,-,balanced_all_equity,1.4376652220599533,1.4128252629470226,0.9889617393241373,0.9830765678473555,0.6984082820405807,0.6958994555350814,0.27032,20.355921586148376,0.0,1.571701049380919,0.622954813243974,0.11139630702444239,0.0,0.6478306399129418,46.924967679204556,1.6669869964472224,1.323454239226369
constant_real,Constant real (4%-rule style),0.055,-,balanced_all_equity,1.453547194209977,1.4333398527757388,0.9657534467797002,0.9602958185941487,0.6791811983386389,0.6767407146677865,0.34004,12.81319332788878,0.0,1.621166004090011,0.5918640073656406,0.15262232578571863,0.0,0.7047557917531777,48.464195108393206,1.7674394498844324,1.2534567330863626
constant_real,Constant real (4%-rule style),0.06,-,balanced_all_equity,1.4544036100909072,1.4389795497705167,0.9377295307597953,0.9325922494467518,0.6622013088790575,0.6598207657735423,0.41134,6.171336109030907,0.0,1.656858818654337,0.5647174587508162,0.198537897618872,0.0,0.7459569228683257,49.58484456310394,1.8668788354573373,1.121889960732592
constant_real,Constant real (4%-rule style),0.065,-,balanced_all_equity,1.4427654606655977,1.4317759915041532,0.9085687417312905,0.9036507907109106,0.647415924393407,0.645087321359526,0.48208,0.33867874185831714,0.0,1.6781201872773481,0.5433555402626014,0.24758048235446187,0.0,0.7776192780863123,50.389800463869776,1.9663773099971475,0.9444830402672382
