target,factor,median_target_multiple,cec,mean_savings_rate,matched_value_pct,extrapolated,prob_ruin,p5_retirement_consumption,median_retirement_consumption,increment_pct
model median path,0.5,5.699083087633104,0.8396853949616714,0.05686634086053453,3.5040442693659024,False,0.11675,0.6605904692125246,1.2348397117060257,2.881816922917957
model median path,0.75,8.548624631449657,0.8365618068867439,0.07748015149157804,4.301637651223977,False,0.11675,0.7214014767575841,1.4230133498682234,3.679410304776032
model median path,1.0,11.398166175266208,0.8303162221860187,0.09558976024461774,5.051330127063092,False,0.11675,0.771518953237096,1.581588093529833,4.429102780615146
model median path,1.5,17.097249262899314,0.8138484673904421,0.12653436549163394,6.111427563740146,False,0.11675,0.8547110666557515,1.844381019642503,5.4892002172922005
model median path,2.0,22.796332350532417,0.7958831004409177,0.152234208669695,6.557862867852804,False,0.11675,0.9180024322314813,2.0557960148984824,5.935635521404858
published ladder,0.5,3.8499999999999996,0.8317087372554083,0.055644611763147306,2.4561297163555373,False,0.11675,0.6970079436401404,1.361628015909628,1.8339023699075918
published ladder,0.75,5.7749999999999995,0.8183932857748311,0.07707439637958881,2.0031551064673137,False,0.11675,0.7676337526178134,1.5884191317452228,1.3809277600193681
published ladder,1.0,7.699999999999999,0.8037245076983504,0.09644002667002435,1.7574909611687728,False,0.11675,0.8269252114812105,1.7790789657132706,1.1352636147208273
published ladder,1.5,11.549999999999999,0.7761640879939464,0.1300543855057741,1.5594542512925136,False,0.11675,0.9227603763807006,2.0890853228645563,0.937226904844568
published ladder,2.0,15.399999999999999,0.7523504383644073,0.15806405455800163,1.3948879528824953,False,0.11675,0.988864875440282,2.319539177007308,0.7726606064345498
flat 8x income,0.5,4.0,0.7342131313124538,0.10163446034611623,-6.6221471330178865,False,0.11675,0.903764106489613,2.097747833392239,-7.244374479465832
flat 8x income,0.75,6.0,0.7077229307383337,0.13188792231977464,-7.22334399719532,False,0.11675,0.9980172033051257,2.4374421393039016,-7.8455713436432655
flat 8x income,1.0,8.0,0.6879436849213362,0.1563356647266977,-7.466499344573907,False,0.11675,1.0635170116201156,2.685980343630339,-8.088726691021852
flat 8x income,1.5,12.0,0.6603970773386302,0.19384557729232232,-7.236421581480479,False,0.11675,1.158278894027917,3.0214264706938447,-7.858648927928424
flat 8x income,2.0,16.0,0.6424152025782097,0.22139282934607127,-6.645054596741085,False,0.11675,1.2229529741040475,3.232731542606915,-7.2672819431890305
