iso,start_year,end_year,international_equity,balanced_all_equity,gap_pct,first_wins,ruin_first,ruin_second
AUS,1948,2015,1.8434427921623004,1.6579082777853082,11.190879306353164,True,False,False
AUS,1949,2016,2.295051550576852,2.0085598241979232,14.263539623139355,True,False,False
AUS,1950,2017,2.1999675247325,1.8405643367859148,19.52679299296829,True,False,False
AUS,1951,2018,1.973505065773756,1.795294496777603,9.926536805856955,True,False,False
AUS,1952,2019,2.192034345111748,1.9177709183408234,14.301156835155581,True,False,False
AUS,1953,2020,1.9494020757466024,1.6613015531000408,17.341855974850382,True,False,False
BEL,1920,1987,1.8785195184369148,1.4184852178199825,32.431377841493614,True,False,False
BEL,1921,1988,1.9808855390269262,1.494528642221021,32.5424942062756,True,False,False
BEL,1922,1989,2.2756313507029784,1.5624034276918346,45.64940849270971,True,False,False
BEL,1923,1990,2.3141181971562945,1.5050773219213174,53.754107078179224,True,False,False
BEL,1924,1991,2.346752353377785,1.5692574536178496,49.54540110467263,True,False,False
BEL,1925,1992,2.1728704124739977,1.4934662175234428,45.491768543461575,True,False,False
BEL,1926,1993,2.2052606094569374,1.5450887432679188,42.72711642392339,True,False,False
BEL,1927,1994,2.1338247766631304,1.5132997094869656,41.00477012491686,True,False,False
BEL,1928,1995,2.054952089556344,1.4488396354913524,41.8343368870798,True,False,False
BEL,1929,1996,1.9265313963042772,1.3231327552017271,45.60378682565038,True,False,False
BEL,1930,1997,1.9578849646859147,1.3956234667288732,40.28747805988788,True,False,False
BEL,1931,1998,2.17192586831257,1.4947668665084846,45.30198099626139,True,False,False
BEL,1932,1999,2.2503729767306977,1.5081719144775079,49.211966827423545,True,False,False
BEL,1933,2000,2.0951415298608596,1.45595873300586,43.90116164456062,True,False,False
BEL,1934,2001,2.0061380861342664,1.435348019167606,39.766666992558065,True,False,False
BEL,1935,2002,2.2415303805640163,1.5763389347583407,42.19850383303842,True,False,False
BEL,1936,2003,2.2554609995009054,1.5597218923512415,44.60661292000299,True,False,False
BEL,1937,2004,1.6571009704380004,1.2362541673586738,34.04209378549472,True,False,False
BEL,1938,2005,1.753750121177864,1.2823680229362442,36.75872213050775,True,False,False
BEL,1939,2006,1.5348627990136896,1.177927707249888,30.301952281701517,True,False,False
BEL,1940,2007,1.377956611690903,1.1129078887598662,23.815872419269613,True,False,False
BEL,1941,2008,1.3599711459850328,1.1176187376494275,21.68471234164524,True,False,False
BEL,1942,2009,1.3747530769245577,1.129955947801268,21.66430732097386,True,False,False
BEL,1943,2010,1.4814777451998558,1.1267131903723966,31.486678052486795,True,False,False
BEL,1944,2011,1.4670135583094273,1.12594776347006,30.291440322971642,True,False,False
BEL,1945,2012,1.4293919030330495,1.14647079803864,24.67756749482197,True,False,False
BEL,1946,2013,1.6394021404868464,1.2844427922154518,27.63527892582498,True,False,False
BEL,1947,2014,1.6201198989783143,1.3211809582881273,22.626646169463903,True,False,False
BEL,1948,2015,1.7973823304545449,1.471974993276015,22.106852267531107,True,False,False
BEL,1949,2016,1.9641485072894924,1.6703967187655118,17.585749853548236,True,False,False
BEL,1950,2017,1.8235932292151602,1.5344904978902683,18.84030769316407,True,False,False
BEL,1951,2018,2.0303407973111525,1.797630148323153,12.945413115432803,True,False,False
BEL,1952,2019,2.1082056450963895,1.8671692887231637,12.909185997701101,True,False,False
BEL,1953,2020,1.7131411435433592,1.5550396645995772,10.167038342683888,True,False,False
CHE,1916,1983,1.6968536823254519,1.5804821298451324,7.363041332945808,True,False,False
CHE,1917,1984,2.0431748502165967,1.8273668198832533,11.809781593119384,True,False,False
CHE,1918,1985,2.2106057296801773,1.9018073915426166,16.237098431249898,True,False,False
CHE,1919,1986,2.2239675225039393,1.8791638033406302,18.3487846323106,True,False,False
CHE,1920,1987,2.0963822493107838,1.726832407903125,21.400446257341166,True,False,False
CHE,1921,1988,2.228284614491573,1.8405505174493235,21.06620238707604,True,False,False
CHE,1922,1989,2.579419095699152,2.0844624626597357,23.745048994926996,True,False,False
CHE,1923,1990,2.525242190398287,2.2701751955893967,11.235564343423633,True,False,False
CHE,1924,1991,2.320609068509762,2.079823645707714,11.577203831631323,True,True,True
CHE,1925,1992,2.2714227797138173,2.1844960490917886,3.9792578548342394,True,False,False
CHE,1926,1993,2.276229203637933,2.1146613394238165,7.640365915903069,True,False,False
CHE,1927,1994,2.2150874188578107,1.979900139263612,11.878744535149766,True,False,False
CHE,1928,1995,2.12017237955696,1.8446831146436835,14.934232482877663,True,False,False
CHE,1929,1996,1.948838297409599,1.6601804186280782,17.387139105041282,True,False,False
CHE,1930,1997,1.9475864926325477,1.8359618658054917,6.07989898407193,True,False,False
CHE,1931,1998,2.1081419688517755,1.9997202833068615,5.4218425671825,True,False,True
CHE,1932,1999,1.9882881947117341,1.8654403403198891,6.58546144503227,True,True,True
CHE,1933,2000,2.0478587342568515,1.9014961078461994,7.697235130101587,True,False,False
CHE,1934,2001,1.912614208778677,1.8545041869527619,3.1334532558483508,True,False,False
CHE,1935,2002,1.7134234341576908,1.7073157143911581,0.3577381567480442,True,True,True
CHE,1936,2003,1.8595752493881257,1.7085060836093484,8.842178978937687,True,True,False
CHE,1937,2004,1.3739640386353522,1.2580034616055624,9.217826545706952,True,False,False
CHE,1938,2005,1.4124381538149418,1.3643864463073043,3.5218546503220427,True,False,False
CHE,1939,2006,1.3125411452747777,1.3204781760807276,-0.6010724713003235,False,False,False
CHE,1940,2007,1.1552773179471223,1.244848210892328,-7.19532647928215,False,False,False
CHE,1941,2008,1.1216986313434851,1.2035889756632725,-6.803846327577013,False,False,False
CHE,1942,2009,1.1385753987351255,1.2137767805634865,-6.195651707346828,False,False,False
CHE,1943,2010,1.2317360942770488,1.2564426047044168,-1.9663859164645525,False,False,False
CHE,1944,2011,1.1676341295187533,1.1574387241973931,0.8808591857361714,True,False,False
CHE,1945,2012,1.1492372660795478,1.1484311133410514,0.07019600297584194,True,False,False
CHE,1946,2013,1.2852718174882098,1.2515676735182266,2.692954179236584,True,False,False
CHE,1947,2014,1.3466866206574513,1.2654765270922488,6.417352817424682,True,False,False
CHE,1948,2015,1.466667258889502,1.4537017221544792,0.8918980102607943,True,False,False
CHE,1949,2016,1.5815287808704945,1.5186151553552472,4.14282876694525,True,False,False
CHE,1950,2017,1.4556690706712623,1.3221417073705044,10.099323132791804,True,False,False
CHE,1951,2018,1.6569085180490901,1.449712181687372,14.292239451320254,True,False,False
CHE,1952,2019,1.7989986713891966,1.5497533410927877,16.082903239341096,True,False,False
CHE,1953,2020,1.4536795402607627,1.2931382218906804,12.414861431855062,True,False,False
DEU,1950,2017,1.657661161930093,1.7438751706655826,-4.943817664574269,False,False,False
DEU,1951,2018,1.8864842082168287,1.8982484255024559,-0.6197406581550657,False,False,False
DEU,1952,2019,1.9585961354794028,1.9601996782610902,-0.08180507320100228,False,False,False
DEU,1953,2020,1.6248901174671389,1.6592404862046892,-2.0702465388921842,False,False,False
DNK,1916,1983,2.075675394969134,1.4980441992029718,38.55902222868246,True,False,False
DNK,1917,1984,2.5669883515217435,1.6852860526392917,52.31766426249338,True,False,False
DNK,1918,1985,2.5624550563203323,1.7166088309275997,49.274255739186934,True,False,False
DNK,1919,1986,2.570284980837729,1.7516886762486508,46.73183743712681,True,False,False
DNK,1920,1987,2.2143726486535593,1.6718118403517859,32.45346128112161,True,False,False
DNK,1921,1988,2.3587130775006586,1.7262909754857687,36.63473371497699,True,False,False
DNK,1922,1989,2.6734494360087333,1.9356860180132083,38.11379589096617,True,False,False
DNK,1923,1990,2.642213221222705,1.9743689671060376,33.825706605162594,True,False,False
DNK,1924,1991,2.378704576864495,1.9284081696400392,23.350679296723232,True,True,False
DNK,1925,1992,2.264793297507263,1.7747463460230226,27.612224844545928,True,False,False
DNK,1926,1993,2.222481310106358,1.6977030917383995,30.91107160737987,True,False,False
DNK,1927,1994,2.1137757321350614,1.7299700521143084,22.185683477680975,True,False,False
DNK,1928,1995,1.9551387595169067,1.650029819600318,18.491116723605305,True,False,False
DNK,1929,1996,1.7480246309490055,1.5551337285121893,12.403492953712526,True,False,False
DNK,1930,1997,1.8178550249349135,1.4737857452505498,23.345949761908603,True,False,False
DNK,1931,1998,1.9107290433545714,1.4896691198081224,28.26533207593669,True,False,False
DNK,1932,1999,1.9395408405978258,1.5428406108527084,25.712327440348236,True,False,False
DNK,1933,2000,1.7501612709018772,1.4145027888689203,23.729785807022672,True,False,False
DNK,1934,2001,1.6960369617453488,1.3550785212810168,25.161526443649084,True,False,False
DNK,1935,2002,1.8180650420235416,1.5079822622831007,20.562760418081606,True,False,False
DNK,1936,2003,1.726811212160636,1.6487081710550702,4.737226543590478,True,False,False
DNK,1937,2004,1.3177183864861297,1.2856642717856426,2.493194794622977,True,False,False
DNK,1938,2005,1.3892297393658717,1.3268363457612853,4.702418184722523,True,False,False
DNK,1939,2006,1.2341573636598473,1.3176513095867144,-6.336573668572099,False,False,False
DNK,1940,2007,1.1455919174045168,1.2439228597394296,-7.904906768536324,False,False,False
DNK,1941,2008,1.1088383790315048,1.1852857955763934,-6.449703255552208,False,False,False
DNK,1942,2009,1.1318869461534657,1.16983111730017,-3.243559739996915,False,False,False
DNK,1943,2010,1.179758770677496,1.1561398957773927,2.042908041350988,True,False,False
DNK,1944,2011,1.154686559067776,1.2669066808536023,-8.857804878747332,False,False,False
DNK,1945,2012,1.1205211885871467,1.2951651884750952,-13.484303117625585,False,False,False
DNK,1946,2013,1.2492453227262328,1.5760608388433743,-20.736224647075307,False,False,False
DNK,1947,2014,1.2497432878737544,1.566449491414231,-20.21809227021716,False,False,False
DNK,1948,2015,1.3789235170542624,1.650516145499069,-16.455011917661967,False,False,False
DNK,1949,2016,1.5224424155613412,1.7203704851962534,-11.504967757705586,False,False,False
DNK,1950,2017,1.46116402233879,1.5695784335319753,-6.907231195144769,False,False,False
DNK,1951,2018,1.6276102828840373,1.6810556066527491,-3.179271617024615,False,False,False
DNK,1952,2019,1.6912535037388343,1.854670762133815,-8.811119565338254,False,False,False
DNK,1953,2020,1.4264726876627474,1.7102309521452697,-16.59180966913172,False,False,False
ESP,1941,2008,1.3365588776658037,1.0512086967253897,27.144960066379365,True,False,False
ESP,1942,2009,1.2561308491907255,0.9890299225376278,27.006354465775615,True,False,False
ESP,1943,2010,1.3313286944136646,0.989747670548783,34.511930063496486,True,False,False
ESP,1944,2011,1.2892981566618025,1.0141997863530685,27.124672476805788,True,False,False
ESP,1945,2012,1.2902132827834323,0.9916327554789662,30.10999038250297,True,False,False
ESP,1946,2013,1.4690173690868797,1.0378970411824935,41.5378704050648,True,False,False
ESP,1947,2014,1.349952039659399,1.0630373636934238,26.9900838639497,True,False,False
ESP,1948,2015,1.533617810945583,1.1584285931695009,32.38777253844809,True,False,False
ESP,1949,2016,1.6424363859550362,1.407295093143376,16.70874104211091,True,False,False
ESP,1950,2017,1.4823359288842657,1.4714321452433172,0.7410320398529402,True,False,False
FIN,1896,1963,1.5318016453739032,1.4307769089573994,7.060830782495642,True,False,False
FIN,1897,1964,1.5563417750037387,1.495012461632264,4.10226101423361,True,False,False
FIN,1898,1965,1.662668289553564,1.5840957442009913,4.960088153775333,True,False,False
FIN,1899,1966,1.7991956304356982,1.8394785900315447,-2.1899118486155222,False,False,False
FIN,1900,1967,1.639192783387017,1.7096052029061986,-4.118636244174134,False,False,False
FIN,1901,1968,1.5619008097324303,1.6494925364751505,-5.3102226779332735,False,False,False
FIN,1902,1969,1.5107914794004393,1.5739951261068872,-4.015491894360279,False,False,False
FIN,1903,1970,1.5807469999331485,1.6096130383367813,-1.7933526702455294,False,False,False
FIN,1904,1971,1.5393986473234604,1.6787889498531456,-8.303027163830123,False,False,False
FIN,1905,1972,1.486540421212683,1.686146951222525,-11.838026920792355,False,False,False
FIN,1906,1973,1.4398679092749114,1.5779461840532583,-8.750505953483556,False,False,False
FIN,1907,1974,1.4087477400296486,1.5034027696615824,-6.296052630875537,False,False,False
FIN,1908,1975,2.0187687674730745,2.0219564209359224,-0.15765193699736058,False,False,False
FIN,1909,1976,2.8106445662422446,2.0833176206299933,34.911956698773004,True,False,False
FIN,1910,1977,2.2313097403989466,1.7119018970553417,30.34098181893736,True,False,False
FIN,1911,1978,2.005963534710323,1.3992746387136796,43.35738526315023,True,False,False
FIN,1912,1979,1.9034439928400622,1.504587964151883,26.509319374557762,True,False,False
FIN,1913,1980,2.275827727877343,1.8590052322986736,22.42180324921761,True,False,False
FIN,1914,1981,2.099833915135412,1.7586486748404724,19.40042062840601,True,False,False
FIN,1915,1982,2.078291427237211,1.659259042708363,25.254187184954134,True,False,False
FIN,1916,1983,2.2612463625322907,1.8656169635100546,21.206357294151168,True,False,False
FIN,1917,1984,2.597394461159312,1.9994117252306858,29.907933837870893,True,False,False
FIN,1918,1985,2.861239281573075,2.482404628738909,15.260793846755693,True,False,False
FIN,1919,1986,2.6259001119419687,2.27975924080806,15.183220444419355,True,False,False
FIN,1920,1987,2.2234689672674524,1.8793863071765435,18.30824555744657,True,False,False
FIN,1921,1988,2.2104461987724116,1.8259140284685083,21.059708414992073,True,False,False
FIN,1922,1989,2.3983085063655674,2.0672211404078857,16.016059408736226,True,False,False
FIN,1923,1990,2.277685573619862,2.0140894342114923,13.08760847114847,True,False,False
FIN,1924,1991,2.2370923540239382,1.9124906749263597,16.9727195720877,True,False,False
FIN,1925,1992,1.9753515133855766,1.7993576569954186,9.780926860535,True,False,False
FIN,1926,1993,1.937958954981675,1.7184562045438185,12.773252519177557,True,False,False
FIN,1927,1994,1.7767668391402556,1.593553176502554,11.497179092561517,True,False,False
FIN,1928,1995,1.67456609555951,1.4715892981496073,13.793032992637833,True,False,False
FIN,1929,1996,1.5423780817760486,1.3587496264804717,13.514517444337715,True,False,False
FIN,1930,1997,1.8172576570136436,1.4264829285942018,27.394280056653052,True,False,False
FIN,1931,1998,1.8640342422229799,1.5158320060656143,22.97103074509783,True,False,False
FIN,1932,1999,1.9009941979655736,1.5888315383445837,19.64731011987808,True,False,False
FIN,1933,2000,1.7439491562240643,1.5909731319470182,9.615248755950745,True,False,False
FIN,1934,2001,1.7369643985088823,1.6092189408039552,7.9383516105711704,True,False,False
FIN,1935,2002,1.8928609458234935,1.9136120445938565,-1.0843942391033146,False,False,False
FIN,1936,2003,1.794490484873236,2.0060604264847095,-10.546538818983386,False,False,False
FIN,1937,2004,1.370061232544479,1.5360062925686782,-10.803670585664571,False,False,False
FIN,1938,2005,1.3937669792527756,1.4851633343848454,-6.153959838358524,False,False,False
FIN,1939,2006,1.2582883827109161,1.2999303103011581,-3.203396925223989,False,False,False
FIN,1940,2007,1.2016282299226417,1.1948956988294057,0.5634409011457286,True,False,False
FIN,1941,2008,1.218527585554223,1.2200669417077088,-0.126169810922927,False,False,False
FIN,1942,2009,1.1872519412304905,1.2386404979613987,-4.148787062548454,False,False,False
FIN,1943,2010,1.1950124945920515,1.2165738773048085,-1.772303607284742,False,False,False
FIN,1944,2011,1.1429088436757069,1.20941581872466,-5.499099153431386,False,False,False
FIN,1945,2012,1.1318436346030154,1.268222822837109,-10.75356678481808,False,False,False
FIN,1946,2013,1.2065891024293114,1.461239942596216,-17.427038006808182,False,False,False
FIN,1947,2014,1.214357977774688,1.4173388220038823,-14.321264688298951,False,False,False
FIN,1948,2015,1.370780964612209,1.5387452530115528,-10.915665739381664,False,False,False
FIN,1949,2016,1.5823106616327753,1.8876676805050385,-16.176418234303092,False,False,False
FIN,1950,2017,1.4959360870955372,1.912973378531936,-21.800475433507806,False,False,False
FIN,1951,2018,1.582475098262925,2.0849434152468027,-24.099853900562508,False,False,False
FIN,1952,2019,1.672551818262417,1.970494188024774,-15.120185158273147,False,False,False
FIN,1953,2020,1.430269480146156,1.5599881737354209,-8.315363909371898,False,False,False
FRA,1922,1989,2.5975489472626108,1.0737442199583722,141.91505751372654,True,False,True
FRA,1923,1990,2.55313813847925,1.0469285087101654,143.86938718716925,True,False,True
FRA,1924,1991,2.523502848839806,1.0277877483557363,145.5276250253934,True,False,True
FRA,1925,1992,2.2564497461612474,1.0070669392961895,124.06154527704145,True,False,True
FRA,1926,1993,2.255241401623336,1.005734327939341,124.23828430358172,True,False,True
FRA,1927,1994,2.1955900445331773,1.035396740021662,112.05301887344578,True,False,True
FRA,1928,1995,2.1090079051514152,1.0561374086863715,99.69067356250629,True,False,False
FRA,1929,1996,1.9559589219719193,1.0021396262233218,95.17828362332853,True,False,False
FRA,1930,1997,2.002429887804568,1.0051874067894928,99.2096075099276,True,False,False
FRA,1931,1998,2.152610319301504,1.0496997590756512,105.06914483785899,True,False,False
FRA,1932,1999,2.3593148073541697,1.0644767224452936,121.64080788299447,True,False,True
FRA,1933,2000,2.1362775576336808,1.0597361695690628,101.58579266973487,True,False,False
FRA,1934,2001,2.0205865024167267,1.0332710915978531,95.5524081576778,True,False,False
FRA,1935,2002,2.2299492779612797,1.0890133622400673,104.76785274464788,True,False,False
FRA,1936,2003,2.154381341482191,1.068231819418472,101.6773234348141,True,False,False
FRA,1937,2004,1.6265152878989844,0.9340868335670943,74.12891708232752,True,False,False
FRA,1938,2005,1.6043972743978485,0.9610630282419981,66.93986005607296,True,False,False
FRA,1939,2006,1.5640192531994823,0.9342562810606512,67.40794628898486,True,False,False
FRA,1940,2007,1.4089586539603551,0.8858656124400917,59.04880313385441,True,False,False
FRA,1941,2008,1.3406703495773202,0.9314600495403192,43.932136460275295,True,False,False
FRA,1942,2009,1.3117783630090056,0.9295841139582081,41.114541794760086,True,False,False
FRA,1943,2010,1.3772789416085354,0.9446447499884212,45.79861282512998,True,False,False
FRA,1944,2011,1.4058987806672811,0.9295890214481327,51.23874618023601,True,False,False
FRA,1945,2012,1.36644944615044,0.9285862440579168,47.153746342295946,True,False,False
FRA,1946,2013,1.5919149569951263,1.0373763651377952,53.45587295924865,True,False,False
FRA,1947,2014,1.544233248723978,1.0517226728756555,46.82893965779815,True,False,False
FRA,1948,2015,1.7177122528948496,1.1496537011820493,49.41127498904536,True,False,False
