horizon_years,observations,correlation,forward_return_expensive,forward_return_cheap,gap
1,1925,0.12000295101696738,0.042356127055832506,0.09926885362011492,0.056912726564282416
10,1772,0.23509013790726122,0.0317324553479662,0.06321247594594091,0.031480020597974716
20,1607,0.22697367658584147,0.03256709475819329,0.055294973806743745,0.022727879048550455
30,1447,0.28461874920375774,0.030248201906380202,0.05204862861657355,0.021800426710193346
