mode,correlation,gap_pct,cec_international_equity,cec_balanced_all_equity,winner,domestic_rank
home,0.0,5.727140592105351,1.1094293553441226,1.0493326019515596,international_equity,4
home,0.1,6.633438875351594,1.1052133648961897,1.0364603979321356,international_equity,4
home,0.2,7.570386311746513,1.1010986054156435,1.0236075588913316,international_equity,4
home,0.3,8.538541792210408,1.097072387339564,1.0107675754846916,international_equity,4
home,0.4,9.53815971343943,1.0931309403143576,0.9979453216797465,international_equity,4
home,0.6,11.6288377888907,1.0854526719440467,0.9723765770963451,international_equity,4
strict,0.0,5.727140592105351,1.1094293553441226,1.0493326019515596,international_equity,4
strict,0.1,7.051680078616984,1.1097275795368302,1.0366278966587583,international_equity,4
strict,0.2,8.463228117664535,1.109879783164821,1.0232774760869061,international_equity,4
strict,0.3,9.967585754302943,1.109823628198978,1.0092279653011764,international_equity,4
strict,0.4,11.569619385041241,1.1094873600226123,0.9944350138845839,international_equity,4
strict,0.6,15.113395412936125,1.1074523290508504,0.9620533953309122,international_equity,4
diagonal,0.0,5.727140592105351,1.1094293553441226,1.0493326019515596,international_equity,4
diagonal,0.1,6.055351452947533,1.098938270685605,1.0361931346511633,international_equity,4
diagonal,0.2,6.384450080002102,1.0892509343768062,1.023881717260069,international_equity,4
diagonal,0.3,6.714233857300678,1.0803420396589118,1.0123692038154497,international_equity,4
diagonal,0.4,7.045454934482831,1.072218631336595,1.0016479746784637,international_equity,4
diagonal,0.6,7.712036983068327,1.0582878488590932,0.9825158622015937,international_equity,4
