rate,n_paths,optimal_domestic_share,cec_at_optimum,cec_at_worst,cec_at_low_end,cec_at_high_end,range_pct,margin_over_low_end_pct,margin_over_high_end_pct,margin_over_runner_up_pct,at_grid_edge
0.0,100000,0.1,1.1168329366179508,0.8817855922986605,1.1084723595383563,0.8817855922986605,26.655838604321392,0.7542431714830045,26.655838604321392,0.20893180132561806,False
0.05,100000,0.1,1.0970308787482292,0.8817855922986605,1.0872997872431969,0.8817855922986605,24.410161418997788,0.894977780663897,24.410161418997788,0.01682288821236444,False
0.075,100000,0.2,1.0882112933755277,0.8817855922986605,1.0769906837259635,0.8817855922986605,23.40996528858581,1.041848348283314,23.40996528858581,0.07283501090586952,False
0.1,100000,0.2,1.0797026656868642,0.8817855922986605,1.0668293179881594,0.8817855922986605,22.44503370397204,1.2066923435307908,22.44503370397204,0.1643967764496157,False
0.15,100000,0.2,1.0629023733970209,0.8817855922986605,1.0469930412547468,0.8817855922986605,20.53977550554218,1.5195260632494545,20.53977550554218,0.3313105430999608,False
0.2,100000,0.2,1.0466845549314496,0.8817855922986605,1.0278703257215935,0.8817855922986605,18.70057348101215,1.8304088306711153,18.70057348101215,0.37663673373045103,False
0.25,100000,0.2,1.0309309628753116,0.8817855922986605,1.0094900827656221,0.8817855922986605,16.914017634134314,2.1239317231279253,16.914017634134314,0.17616895713055136,False
0.3,100000,0.3,1.0158451810366524,0.8817855922986605,0.9918234341278511,0.8817855922986605,15.203195641757095,2.4219781548037833,15.203195641757095,0.020681645507658608,False
0.35,100000,0.3,1.002896157164311,0.8817855922986605,0.9748212242063479,0.8817855922986605,13.73469536397578,2.880008381108068,13.73469536397578,0.20169172881225883,False
0.4,100000,0.3,0.9902563193277257,0.8817855922986605,0.958562607133207,0.8817855922986605,12.30125871599932,3.306378942665611,12.30125871599932,0.37335487183562943,False
0.5,100000,0.4,0.9662679624874717,0.8817855922986605,0.9279990931285782,0.8817855922986605,9.580829050356844,4.123804607381354,9.580829050356844,0.01736214126801805,False
