rate,rate_pct,cec_international_equity,winner,cec_balanced_all_equity,lead_over_balanced_all_equity_pct,cec_target_date_fund,lead_over_target_date_fund_pct,cec_domestic_equity,lead_over_domestic_equity_pct
0.0,0.0,1.1084723595383563,international_equity,1.0477715240966154,5.793327461736175,0.9425195381382905,17.607361405776658,0.8817855922986605,25.7076968845412
0.05,5.0,1.0872997872431969,international_equity,1.0382432095388479,4.724960130116163,0.9386804327975904,15.83279561955604,0.8817855922986605,23.306594793502676
0.075,7.5,1.0769906837259635,international_equity,1.033531621488277,4.204908813056507,0.9367766014555812,14.967718242803564,0.8817855922986605,22.137477991496503
0.1,10.0,1.0668293179881594,international_equity,1.0288760601530351,3.688807554670781,0.934886634394017,14.113228143395817,0.8817855922986605,20.985115577486635
0.15,15.0,1.0469930412547468,international_equity,1.0197211734399703,2.6744436150890616,0.9311298546253112,12.443289843397753,0.8817855922986605,18.735557759048827
0.2,20.0,1.0278703257215935,international_equity,1.0107524035769826,1.693582135845717,0.9274168447174221,10.831535094100953,0.8817855922986605,16.56692224264129
0.25,25.0,1.0094900827656221,international_equity,1.0019223922069211,0.755317040278114,0.9237263228361549,9.284542164625487,0.8817855922986605,14.48248775919081
0.3,30.0,0.9918234341278511,balanced_all_equity,0.993272065819583,-0.14584440070170013,0.9200599502064606,7.799870422061828,0.8817855922986605,12.478979333552198
0.35,35.0,0.9748212242063479,balanced_all_equity,0.9848186925625524,-1.015158265344307,0.9164263129846651,6.372024721933078,0.8817855922986605,10.550822413094751
0.4,40.0,0.958562607133207,balanced_all_equity,0.9765317896678779,-1.8401021579422805,0.9128406112846025,5.008760048948946,0.8817855922986605,8.706993571351319
0.5,50.0,0.9279990931285782,balanced_all_equity,0.9604009914272367,-3.3737885099958675,0.9057619734999094,2.455073217828252,0.8817855922986605,5.24089996860202
