k_behind,k_ahead,symmetric,cec,mean_savings_rate,matched_value_pct,extrapolated,prob_ruin,p5_retirement_consumption,median_retirement_consumption,increment_pct
0.0,-0.05,False,0.7309845836028965,0.12312227284784186,-5.020180930222029,False,0.11675,0.7628566599728763,1.555810150237495,-5.642408276669975
0.0,0.0,True,0.7924495257552827,0.10000000000000007,0.6222273464479455,False,0.11675,0.7320187041785252,1.4586862578720443,0.0
0.0,0.02,False,0.804000210906491,0.09445747761792592,1.6280258232025835,False,0.11675,0.7238155214779793,1.4389342895354709,1.005798476754638
0.0,0.05,False,0.8138669108328535,0.08885520029503273,2.407918151980315,False,0.11675,0.7147712252395472,1.4128889181135018,1.7856908055323695
0.0,0.1,False,0.8217135382576973,0.08327642420966841,2.929675954238231,False,0.11675,0.7069517939327394,1.3849814972865246,2.3074486077902856
0.0,0.2,False,0.8273004162984421,0.07790085962912853,3.181811672797563,False,0.11675,0.6973215838584931,1.356086534200371,2.5595843263496176
0.0,0.4,False,0.8302405561976995,0.07390064542667267,3.248472607562225,False,0.11675,0.6876855805668651,1.3320499248983944,2.6262452611142795
0.05,-0.05,False,0.7252548875730688,0.13217544285849947,-4.897255068203988,False,0.11675,0.7869722382430586,1.6366244938406533,-5.519482414651933
0.05,0.0,False,0.7922538372824196,0.10636172750013188,1.231423952992139,False,0.11675,0.7519135456223364,1.5239073771883513,0.6091966065441934
0.05,0.02,False,0.8048178518667413,0.1002647389337833,2.21935318360873,False,0.11675,0.743152329926028,1.4991509957490892,1.5971258371607844
0.05,0.05,True,0.8154432019584122,0.0941497920485168,3.04862930660037,False,0.11675,0.7356413657522994,1.4722882252975347,2.4264019601524245
0.05,0.1,False,0.8236482013148905,0.08816706906887659,3.5808954517124736,False,0.11675,0.7258406700963348,1.4434338378840703,2.958668105264528
0.05,0.2,False,0.8293021143836016,0.08254608400861227,3.8190379618946,False,0.11675,0.7145094744732711,1.4132387594578053,3.1968106154466547
0.05,0.4,False,0.8321829426953763,0.07848503646959154,3.839515858454412,False,0.11675,0.7049870228005947,1.3856079982259293,3.2172885120064665
0.1,-0.05,False,0.7200791086969196,0.13954846825376954,-4.862764914493589,False,0.11675,0.8061688996932443,1.700122245251635,-5.484992260941534
0.1,0.0,False,0.7919884236976689,0.111191160275331,1.6840372098092526,False,0.11675,0.7680723906952368,1.5731745590542414,1.0618098633613071
0.1,0.02,False,0.8052783475694408,0.10467863477334378,2.7243573990223258,False,0.11675,0.7597667047054334,1.5481380738236798,2.1021300525743802
0.1,0.05,False,0.8163725284259057,0.09821059441990906,3.508336359162345,False,0.11675,0.7504355784601433,1.5195668241909437,2.8861090127143996
0.1,0.1,True,0.824757696258898,0.09196647345396834,4.040745505950638,False,0.11675,0.7406348160312071,1.4887853438640068,3.4185181595026926
0.1,0.2,False,0.830391789455507,0.08620688268352088,4.263346438799265,False,0.11675,0.7289430150384124,1.4550413655699521,3.6411190923513193
0.1,0.4,False,0.8331463876227837,0.08214668120619403,4.266703428276575,False,0.11675,0.7183534859031244,1.4258726646322708,3.6444760818286293
0.2,-0.05,False,0.7115776030312418,0.15139608134535082,-4.819295870463947,False,0.11675,0.837297661725987,1.8025662553352766,-5.441523216911892
0.2,0.0,False,0.791290309179868,0.11847399082291822,2.3363495180200644,False,0.11675,0.7932819203394799,1.6492971780631294,1.7141221715721189
0.2,0.02,False,0.8056209568557104,0.11131447246424384,3.44702808347237,False,0.11675,0.7837412861000107,1.6195556181308692,2.8248007370244244
0.2,0.05,False,0.8172679855069679,0.1043268777093486,4.217541863984686,False,0.11675,0.7734753622471309,1.5871730222625917,3.5953145175367407
0.2,0.1,False,0.8257163976035677,0.09773075668377242,4.652024935924315,False,0.11675,0.7619177942624787,1.5542090943138636,4.029797589476369
0.2,0.2,True,0.8311144187452383,0.09182200153854364,4.830316733534423,False,0.11675,0.749733513056546,1.5190801054286016,4.208089387086478
0.2,0.4,False,0.8335178035215755,0.08781689529821494,4.792347574381761,False,0.11675,0.7397903244925966,1.4897111823992542,4.170120227933816
0.4,-0.05,False,0.7005092844010378,0.16805799382885256,-4.5103605549621895,False,0.11675,0.8824648092128088,1.9509646351315504,-5.132587901410135
0.4,0.0,False,0.7892352943909292,0.12835361158500044,3.0919070957457384,False,0.11675,0.8265465024987761,1.7537100887085684,2.469679749297793
0.4,0.02,False,0.8047967531895353,0.12021338893051833,4.264977524314717,False,0.11675,0.817600301360963,1.7192668115381127,3.6427501778667715
0.4,0.05,False,0.8166567635399686,0.11250091935314659,4.98811563135888,False,0.11675,0.806308809319914,1.6842850359675585,4.365888284910935
0.4,0.1,False,0.8245240751598564,0.10547073882794247,5.261883765848485,False,0.11675,0.7913660971998334,1.6457169968741727,4.63965641940054
0.4,0.2,False,0.8289027356273554,0.09945035191514497,5.2036058061925905,False,0.11675,0.7799284248999533,1.6097571143368419,4.581378459744645
0.4,0.4,True,0.8303162221860187,0.09558976024461774,5.051330127063092,False,0.11675,0.771518953237096,1.581588093529833,4.429102780615146
