risk_aversion,optimal_domestic_share,cec_at_optimum,prob_ruin_at_optimum
2.0,0.0,1.4487950845358288,0.12194
5.0,0.1,1.0515049067150573,0.11682
10.0,0.2,0.7549118575474854,0.11854
