savings_rate,strategy,label,cec_crra_gamma2,cec_crra_gamma5,cec_crra_gamma10,cec_ez_gamma2_psi1.5,cec_ez_gamma5_psi1.5,cec_ez_gamma10_psi1.5,prob_ruin,median_wealth_at_retirement,mean_wealth_at_retirement,median_bequest,mean_bequest,p5_bequest,prob_zero_bequest,median_retirement_consumption,mean_retirement_consumption,p1_wealth_at_retirement,p1_bequest,p1_retirement_consumption,p5_wealth_at_retirement,p5_retirement_consumption,p10_wealth_at_retirement,p10_bequest,p10_retirement_consumption,p25_wealth_at_retirement,p25_bequest,p25_retirement_consumption,p50_wealth_at_retirement,p50_bequest,p50_retirement_consumption,p75_wealth_at_retirement,p75_bequest,p75_retirement_consumption,p90_wealth_at_retirement,p90_bequest,p90_retirement_consumption,p95_wealth_at_retirement,p95_bequest,p95_retirement_consumption,p99_wealth_at_retirement,p99_bequest,p99_retirement_consumption,mean_consumption_target,mean_consumption_shortfall,prob_consumption_below_target,median_consumption_replacement_ratio,p5_consumption_replacement_ratio
0.05,balanced_all_equity,50/50 Domestic/International Equity,1.034966158593086,0.844554130584093,0.6802746466420081,1.1748590780919812,0.9483911061754474,0.7553817668484267,0.14448,10.03989354489309,14.038609035112751,18.457939992993538,88.52907707657843,0.0,0.15308,1.0473372310733458,1.2001077617111124,1.3436848394606367,0.0,0.48079699208280513,2.5329589091978972,0.5847514877380382,3.5177492762746985,0.0,0.6579068756580461,5.883014918300571,3.5839052432590734,0.8128471439025955,10.03989354489309,18.457939992993538,1.0473372310733458,16.77684993356452,56.21959426267876,1.384973009574923,27.233403919165827,140.1378671566213,1.8436019530487477,37.64924304427994,248.41204627862086,2.27432170279095,74.69548626143745,1328.519917008687,3.71016847360964,1.075741161498871,0.10108575873981696,0.45344,1.0324820176013745,0.6988950615836252
0.05,domestic_equity,100% Domestic Equity,0.9399399060471233,0.7670304852327635,0.6272076459417496,1.0288354190623754,0.8335831984533054,0.6792533000264547,0.28052,7.554031744816754,17.39550545844011,6.288604438755685,1174.9511297380266,0.0,0.29232,0.9361985018641776,1.3107537009641166,0.5389139834290968,0.0,0.4452882807116589,1.38665146998956,0.5296051188337545,2.1325289092655084,0.0,0.5906528181918151,4.009346868266698,0.0,0.7258753673271057,7.554031744816754,6.288604438755685,0.9361985018641776,14.178369468786851,32.071894789549596,1.2550262640856666,26.082327729697276,106.0735030425278,1.7516596420326498,40.390625453666004,239.20355832866935,2.309629907082509,224.45632633002742,19095.96495527692,9.357192037473526,1.075741161498871,0.1534316997243159,0.60058,0.9242237880691724,0.6416142697855318
0.05,international_equity,100% International Equity,1.0833416624154903,0.8748225553477793,0.6929594725707848,1.257144633799649,1.0004050280322505,0.7761397776279716,0.11556,11.517770215745138,15.076145111759436,27.83810828938185,69.52152345197878,0.0,0.12194,1.1081743273398672,1.242868454279183,1.3750946323151572,0.0,0.48874853067310264,2.8431190851305126,0.6044528089684869,3.994326452433411,0.0,0.6824307921744451,6.833387630236865,7.1706916888737915,0.8522714376848189,11.517770215745138,27.83810828938185,1.1081743273398672,18.918967525003403,74.82770384524581,1.4643133238901656,29.536686409883462,166.1883440792728,1.9376162012561742,39.10579729495473,266.9944205984745,2.33134110241583,65.55248753861203,638.676524619252,3.418247276320524,1.075741161498871,0.08383530010009928,0.38228,1.0928652531905603,0.7151201186247923
0.05,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.9037143215516897,0.7624138290959561,0.6326085075979134,0.9719990031089589,0.8190083816980271,0.6794540944420089,0.23874,6.638072226012536,9.827543082922924,4.963823661962936,69.98995766736623,0.0,0.25256,0.9074117305800888,1.0314352019040922,0.7256738565756037,0.0,0.452291851768575,1.6006407348545393,0.5362344785046963,2.299671053535124,0.0,0.5945499575191651,3.9409988075179387,0.0,0.7198043833103468,6.638072226012536,4.963823661962936,0.9074117305800888,10.959407086142175,18.179203583624698,1.163605759994412,17.88769811320825,51.059288164445,1.4989901823915637,25.469510499919433,103.5093570479086,1.823022505405195,71.10784792098758,1995.7928402442412,3.5229941378486846,1.075741161498871,0.1636090030994618,0.6704,0.8997122398234465,0.6464943000996566
0.05,target_date_fund,Target-Date Fund (glide path),0.9499172814567971,0.7993920501463945,0.6555817728209595,1.012302643628703,0.8570331963994101,0.7078508560573681,0.22082,7.993854980112389,10.538777800783931,4.667162314268219,17.68516301992278,0.0,0.23822,0.9623942677440261,1.0605357608752548,1.1656148470216041,0.0,0.46408932681767984,2.2084911008182075,0.5594671202035677,3.0362251800445628,0.0,0.6245736386091492,4.916443785680144,0.1639309533227832,0.7598271909299662,7.993854980112389,4.667162314268219,0.9623942677440261,12.727470715013526,15.08261460689052,1.2330544809171298,19.823849589129267,36.700050679813145,1.570671959914765,26.6078273172518,64.40839361781252,1.859810638012738,51.03889093753729,227.8456961668934,2.792925066824269,1.075741161498871,0.1328821496777204,0.58292,0.9520716292625051,0.6753976111188866
0.05,bills_only,100% Bills (cash),0.7430468608708561,0.6671038410071796,0.5797720524272978,0.7516366974226357,0.6832114782911477,0.6015515490231802,0.57972,3.1426145139233497,3.562508803545885,0.0,0.6314756657124679,0.0,0.61956,0.7492502285506651,0.7830770583539747,0.4764456910245988,0.0,0.4219292446006611,1.003212806219716,0.48621074204764964,1.3786080159041554,0.0,0.5294816061268275,2.108417013470314,0.0,0.6179962230616697,3.1426145139233497,0.0,0.7492502285506651,4.525096706316786,0.5011989411894117,0.9171425622573872,6.229168598452317,1.9187980841767402,1.0789369127066681,7.470496142944543,3.3470173761433806,1.1796836332602758,10.645482889088985,7.897812514111508,1.4149300871809887,1.075741161498871,0.29340869058880353,0.97622,0.7594511161831441,0.5853866906875173
0.075,balanced_all_equity,50/50 Domestic/International Equity,1.201216707691669,0.9310496273943967,0.714320821447992,1.3842380332467474,1.063179576202156,0.8131914242952756,0.14448,15.059840317339635,21.057913552669124,27.686909989490292,132.79361561486766,0.0,0.15308,1.2395130710004025,1.470126302375565,2.0155272591909545,0.0,0.49680002869975226,3.799438363796845,0.6294320922471337,5.276623914412048,0.0,0.7226118423438919,8.824522377450853,5.375857864888599,0.9236047643010836,15.059840317339635,27.686909989490292,1.2395130710004025,25.16527490034679,84.32939139401836,1.7057244476694926,40.85010587874873,210.20680073493196,2.3707124767249654,56.473864566419934,372.61806941793157,3.004143240846739,112.04322939215612,1992.7798755130325,5.18323695167594,1.075741161498871,0.05572708439922099,0.27084,1.2207622479749705,0.7596297712996273
0.075,domestic_equity,100% Domestic Equity,1.0560036630446676,0.8209006230993995,0.6477528630169621,1.1702804703850658,0.9048098817974327,0.7138079878948222,0.28052,11.33104761722513,26.093258187660165,9.432906658133525,1762.4266946070393,0.0,0.29232,1.068592181001721,1.6360952112550708,0.8083709751436455,0.0,0.4533405804422482,2.0799772049843397,0.5512679222595124,3.1987933638982597,0.0,0.6232936181355336,6.0140203024000485,0.0,0.7952633921595724,11.33104761722513,9.432906658133525,1.068592181001721,21.267554203180282,48.10784218432435,1.5140282267143288,39.1234915945459,159.11025456379195,2.234821597881501,60.58593818049903,358.8053374930038,3.0654659118908025,336.6844894950408,28643.94743291535,13.762055028412924,1.075741161498871,0.10382267746018078,0.43988,1.055486538451717,0.6784614186479068
0.075,international_equity,100% International Equity,1.2711275825454078,0.9685853261714333,0.7255847797683445,1.4999696851947932,1.1262573463001302,0.8325433521253117,0.11556,17.276655323617707,22.614217667639153,41.75716243407274,104.28228517796816,0.0,0.12194,1.3292072122062806,1.5342673412276702,2.062641948472736,0.0,0.5068999581811976,4.264678627695768,0.6535130259509193,5.991489678650114,0.0,0.758730800917649,10.250081445355294,10.756037533310682,0.9828830123707425,17.276655323617707,41.75716243407274,1.3292072122062806,28.378451287505104,112.24155576786882,1.831136525593965,44.305029614825195,249.28251611890894,2.5111596319706804,58.65869594243212,400.49163089771156,3.0894924880180534,98.32873130791799,958.0147869288784,4.676462013991284,1.075741161498871,0.04469890612731204,0.21618,1.3121303332675598,0.7810685040830839
0.075,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.0151062075105983,0.8238053407187388,0.6590537693847073,1.1031707192305753,0.8951287679756303,0.7194614186378324,0.23874,9.957108339018806,14.741314624384385,7.445735492944409,104.98493650104932,0.0,0.25256,1.031306723622519,1.217117462665034,1.0885107848634057,0.0,0.46315181666997773,2.4009611022818085,0.5645282289740071,3.449506580302688,0.0,0.6353809494889047,5.911498211276909,0.0,0.7933715119525735,9.957108339018806,7.445735492944409,1.031306723622519,16.439110629213264,27.268805375437154,1.368612314822276,26.831547169812374,76.58893224666747,1.8376853478075783,38.20426574987911,155.26403557186273,2.308025946638038,106.66177188148139,2993.6892603663578,4.9081697309218635,1.075741161498871,0.1049619835260405,0.4708,1.0194523777156377,0.6891682131299429
