age_retire,strategy,label,cec_crra_gamma2,cec_crra_gamma5,cec_crra_gamma10,cec_ez_gamma2_psi1.5,cec_ez_gamma5_psi1.5,cec_ez_gamma10_psi1.5,prob_ruin,median_wealth_at_retirement,mean_wealth_at_retirement,median_bequest,mean_bequest,p5_bequest,prob_zero_bequest,median_retirement_consumption,mean_retirement_consumption,p1_wealth_at_retirement,p1_bequest,p1_retirement_consumption,p5_wealth_at_retirement,p5_retirement_consumption,p10_wealth_at_retirement,p10_bequest,p10_retirement_consumption,p25_wealth_at_retirement,p25_bequest,p25_retirement_consumption,p50_wealth_at_retirement,p50_bequest,p50_retirement_consumption,p75_wealth_at_retirement,p75_bequest,p75_retirement_consumption,p90_wealth_at_retirement,p90_bequest,p90_retirement_consumption,p95_wealth_at_retirement,p95_bequest,p95_retirement_consumption,p99_wealth_at_retirement,p99_bequest,p99_retirement_consumption,mean_consumption_target,mean_consumption_shortfall,prob_consumption_below_target,median_consumption_replacement_ratio,p5_consumption_replacement_ratio
58,balanced_all_equity,50/50 Domestic/International Equity,1.1623816222715657,0.9225676170960903,0.7133303721482511,1.3174360858824647,1.0455758945717015,0.8141200782861417,0.19268,14.380411802872839,18.90121109306353,31.32708515631418,167.9286264126134,0.0,0.19268,1.201813469054522,1.371870951212659,2.2661941014792615,0.0,0.4923558422114677,4.060126988958586,0.6199860062380402,5.4691138956961645,0.0,0.7130342613677161,8.84104786367525,3.839827478778325,0.9056965692964021,14.380411802872839,31.32708515631418,1.201813469054522,23.037199993311503,101.98340231885035,1.6125162809879336,35.94565953857844,262.0041543385732,2.1673438790272823,47.80715199157712,471.31183746613146,2.6535795034034577,86.63332303460102,2598.6292669609575,4.170940400298294,1.0685398167283955,0.05556183910903286,0.28662,1.1825021174721815,0.7622503114147307
58,domestic_equity,100% Domestic Equity,1.0368641940221817,0.8211497599803089,0.6526838144269231,1.1368940656030788,0.9029929009773928,0.7213811932516624,0.34438,11.35275976457326,20.83222967710658,8.967495693803698,2329.457042104964,0.0,0.34438,1.0492989183623447,1.4093560194313204,1.00993055904696,0.0,0.4531985855816436,2.423039877568314,0.5477303713656099,3.594477177854943,0.0,0.6175032632761353,6.414710054018315,0.0,0.7858639809146979,11.35275976457326,8.967495693803698,1.0492989183623447,19.991249477556288,55.86792779759568,1.4516417494486178,34.839400988287025,197.4664438937235,2.0627717913525023,51.70388901294501,443.6722047174195,2.7118723888310634,207.87986587699893,38027.351472081704,8.828517408456397,1.0685398167283955,0.10200290408520432,0.45244,1.0385194428968787,0.6842764595092836
58,international_equity,100% International Equity,1.2197610619856087,0.9570453340729494,0.727074888735953,1.4117337115993125,1.102583915740849,0.8357709751456326,0.15166,16.0878791988196,20.237332688994105,48.87211591862441,128.98651489562073,0.0,0.15166,1.271291218772508,1.4296407453515054,2.318487220503596,0.0,0.5028768321519499,4.421957003902607,0.6437582326612656,6.112763564540612,0.0,0.746681614647421,9.901569287219685,10.006168903981289,0.953643756748728,16.0878791988196,48.87211591862441,1.271291218772508,25.491444150392972,136.45520474346378,1.711368334903831,38.52699296978404,313.28106293094845,2.2703866995421125,49.56400810505676,497.72619155524325,2.7256872349443464,80.82389406070418,1213.4551504504334,4.001357797025983,1.0685398167283955,0.04500852520116981,0.2337,1.2549450751756392,0.7780953376282647
58,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.0022096474995863,0.8250409124624515,0.6632939268201612,1.0771609221182339,0.8922119995925641,0.726244085870141,0.3211,10.136065467193344,13.708980642607333,6.918564733395614,135.04282653817657,0.0,0.3211,1.0191170660641045,1.1592500553887035,1.308097015726247,0.0,0.4624901149556618,2.7141371770625944,0.5603932056012499,3.8447730732228895,0.0,0.6312228506434059,6.272165377821992,0.0,0.7895115253874798,10.136065467193344,6.918564733395614,1.0191170660641045,16.084332903273538,30.980274744434,1.3352017628170212,25.07407309908362,93.43684643327688,1.7544592052793306,34.45848705731629,192.9596959439567,2.1380980152643656,77.65785047580174,3846.372779497548,3.8259595912894087,1.0685398167283955,0.10276570180414332,0.48644,1.0096021969995355,0.6935115920228304
58,target_date_fund,Target-Date Fund (glide path),1.0745803474927236,0.8752628230415372,0.6881329931825183,1.147385935928962,0.9515709326357137,0.7681745824443453,0.30234,12.25454918092895,15.45008841629583,6.902556331922905,32.94286130186216,0.0,0.30234,1.1059000644071602,1.2287760893381645,2.047543663486996,0.0,0.47320314753765863,3.674785563608175,0.5881942544169205,4.949557531583943,0.0,0.6714916839451253,7.795453931383035,0.0,0.8470494364579818,12.25454918092895,6.902556331922905,1.1059000644071602,18.91023655123912,26.38793886408506,1.44958101293104,28.553898420935102,67.78974538438113,1.8855292714783067,37.21804956030149,120.05561802050113,2.258893483969583,66.6064095442901,442.65073618854586,3.425307386258531,1.0685398167283955,0.0736064297020873,0.37236,1.0922400166196784,0.735878288084292
58,bills_only,100% Bills (cash),0.8009717729893004,0.7120771864918941,0.6084140744968151,0.8106466157642631,0.7334724253815492,0.6407452775611808,0.77144,5.330204592435498,5.930106946975645,0.0,0.7119536486954342,0.0,0.77144,0.8047206843564098,0.8437582497780838,0.9171502688376345,0.0,0.43137292928708254,1.8971930726698423,0.5036300017762506,2.51499992546113,0.0,0.5531272943929921,3.6999783423497687,0.0,0.6551563638812211,5.330204592435498,0.0,0.8047206843564098,7.486635706198615,0.0,0.9892341677142932,10.0479748305443,1.9465693069451908,1.1898454421272648,11.963638181490426,4.273812014684806,1.3155564680947043,16.678879664907637,12.265957718519855,1.6038346238401469,1.0685398167283955,0.22873604828071925,0.92168,0.81320053979334,0.6323220519970745
60,balanced_all_equity,50/50 Domestic/International Equity,1.2361416745935934,0.9541810070074322,0.7227616189831999,1.41572199805085,1.0922347099086658,0.832859045850996,0.17946,16.508702826031694,22.170545428243084,33.29682977191759,172.22901310986467,0.0,0.17946,1.2864331397378117,1.5028365896758689,2.4262315897987015,0.0,0.497709464564135,4.458644177279254,0.6370211747975878,6.05335919614028,0.0,0.7395722803429772,9.934622083113785,4.9649585644134415,0.9524558433719426,16.508702826031694,33.29682977191759,1.2864331397378117,26.83688007051695,106.40042027901012,1.7648567607222867,42.69895595794683,269.42013487157,2.4311067345048976,57.25923964216222,480.0136804623546,3.036886303769979,109.24232138827695,2632.448413827601,5.04345560214519,1.0734411117790503,0.045611031948493384,0.23314,1.2650151187028404,0.7824973138647305
60,domestic_equity,100% Domestic Equity,1.0857175800122583,0.8387903263359963,0.6566473928036566,1.1996492499706137,0.9284845138574593,0.7296847826935451,0.32726,12.819232679495936,25.37233825549611,10.258351598678548,2350.550577575364,0.0,0.32726,1.1073261643060008,1.5894631492310276,1.020683191563305,0.0,0.45613525196581256,2.5692220735813383,0.5561297319767262,3.845338637135504,0.0,0.631709682782134,7.03663486116673,0.0,0.8127735140982983,12.819232679495936,10.258351598678548,1.1073261643060008,23.147590208512444,58.95602461914716,1.5710858879275635,40.989918530287405,203.07959447604782,2.306049098711546,61.99376814390488,459.91512593703345,3.109505385621503,284.65001696486325,38356.005573613555,11.818579521572483,1.0734411117790503,0.09011455867850951,0.4001,1.092397433979242,0.6934768293208184
60,international_equity,100% International Equity,1.3060243641543239,0.9927763326166765,0.735220759275112,1.5293721763068575,1.155433733669149,0.8530577757661638,0.13954,18.587602463066084,23.80641060915,51.53624999940898,132.87149700847428,0.0,0.13954,1.3720698411814714,1.5726477510262133,2.55268209982996,0.0,0.509098034392906,4.896625770877952,0.6646513480320323,6.844517947601967,0.0,0.7774533255215861,11.31133387233257,11.29605197417337,1.0121541734805546,18.587602463066084,51.53624999940898,1.3720698411814714,30.038326854812347,140.74653869339807,1.891306327476192,45.78321328702581,321.6757456923574,2.5563275002450268,59.469599362186166,514.5036716644773,3.1230006383924227,100.1765543987258,1238.27221655826,4.731539725030154,1.0734411117790503,0.03669865590629832,0.1871,1.3544129660440243,0.801528724837843
60,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.0470957356471875,0.844617988107175,0.6687727278729358,1.1332098242279047,0.9192410550554215,0.7364907508214377,0.29892,11.305391934784133,15.832612088615955,7.9125474517558425,137.32630271087538,0.0,0.29892,1.0715809523744877,1.2464582350836055,1.345348750014934,0.0,0.4653030402648031,2.883644674249688,0.5705220372634271,4.121528782539011,0.0,0.6462753970759887,6.874023383986763,0.0,0.8167584538743834,11.305391934784133,7.9125474517558425,1.0715809523744877,18.33147036791213,33.104192893340915,1.4271752176999755,28.987496908510806,98.32451458066735,1.9129962426549665,40.131901279503005,198.92605442540773,2.3764154976868945,98.88496003599269,3940.289800666359,4.641275509922772,1.0734411117790503,0.08933581556901074,0.4215,1.0581520699668747,0.7049224707188955
