system,age_at_zero_leisure,age_at_top,ages_chosen,cec_at_zero_leisure,earlier_dates_reachable,earlier_dates_offered,nearest_years_earlier,nearest_break_even_pct,cost_per_year_pct
baseline,60,52,4,0.7667754469071097,4,4,2,9.718105821017398,4.859052910508699
timing,58,50,4,0.7753872297263241,3,3,3,5.54054013349774,1.8468467111659133
formula,67,60,5,0.6291565049848444,6,8,2,15.132954054913217,7.566477027456608
both,67,60,5,0.6291565049848444,6,8,2,16.007592204991795,8.003796102495897
