source,cut_low,cut_high,n_Low inflation,n_Moderate,n_High inflation
domestic (used),0.016605595934705564,0.047279016470848534,32719,32731,32754
rest of the world (check),0.02060372385536579,0.05790689812853788,32716,32729,32759
