iso,start_year,end_year,domestic_annualised,sleeve_annualised,excess_pp
AUS,1948,2015,0.05222578067166639,0.0790023360518961,2.6776555380229716
AUS,1949,2016,0.05466451305917164,0.0824596559651467,2.7795142905975068
AUS,1950,2017,0.05623354405934866,0.0732092717015973,1.697572764224864
AUS,1951,2018,0.0524763742712,0.07208127490151739,1.960490063031739
AUS,1952,2019,0.05909233306864947,0.07386130291612925,1.4768969847479774
AUS,1953,2020,0.06441354294928958,0.07420472312079229,0.9791180171502711
BEL,1920,1987,0.027231749185459675,0.07481582143449872,4.758407224903904
BEL,1921,1988,0.03755924055563997,0.08153343504935906,4.397419449371909
BEL,1922,1989,0.03706995535178037,0.08342276277718552,4.635280742540515
BEL,1923,1990,0.028448647304285757,0.07549173330758907,4.704308600330331
BEL,1924,1991,0.025582731698056582,0.06480646539888024,3.922373370082366
BEL,1925,1992,0.027857983186629243,0.06399681554839054,3.6138832361761297
BEL,1926,1993,0.031413933600146215,0.0675078500481523,3.609391644800608
BEL,1927,1994,0.025816352693054823,0.06103706694722666,3.5220714254171837
BEL,1928,1995,0.023692667082955143,0.05950226244335255,3.5809595360397406
BEL,1929,1996,0.02402134198062189,0.06189512692748944,3.787378494686755
BEL,1930,1997,0.03476655117502836,0.06882949107111092,3.4062939896082556
BEL,1931,1998,0.045101192588254735,0.07381282824555524,2.8711635657300505
BEL,1932,1999,0.04815660911339803,0.0830398489696278,3.4883239856229764
BEL,1933,2000,0.04611806654494233,0.08268114994249665,3.656308339755432
BEL,1934,2001,0.046630098073384696,0.07615297154149703,2.952287346811233
BEL,1935,2002,0.04395255681820731,0.07035994371933363,2.6407386901126317
BEL,1936,2003,0.03961246369151805,0.06685045448363236,2.723799079211431
BEL,1937,2004,0.04146583241951629,0.06527479252025814,2.380896010074185
BEL,1938,2005,0.04677949674458182,0.07097055194320356,2.4191055198621747
BEL,1939,2006,0.0515736270906515,0.07463206964762947,2.3058442556977976
BEL,1940,2007,0.05427284082409867,0.07457701328089983,2.030417245680116
BEL,1941,2008,0.0345006005035664,0.06959385050194578,3.509324999837937
BEL,1942,2009,0.04239820454766674,0.08130894654477361,3.891074199710687
BEL,1943,2010,0.04882785787914368,0.08744706900107113,3.8619211121927455
BEL,1944,2011,0.04944334596381195,0.08534227531498151,3.589892935116956
BEL,1945,2012,0.05139762986818974,0.07994384400828092,2.8546214140091175
BEL,1946,2013,0.05003234599991102,0.07968805439629545,2.965570839638443
BEL,1947,2014,0.05211998149204722,0.07703278469488684,2.4912803202839617
BEL,1948,2015,0.05952876493117509,0.0818872363179024,2.2358471386727308
BEL,1949,2016,0.06088048967630444,0.08494773201187611,2.406724233557167
BEL,1950,2017,0.05764257855855326,0.0801338156582434,2.2491237099690142
BEL,1951,2018,0.051271638506525496,0.07611895559708093,2.484731709055543
BEL,1952,2019,0.05047255450931121,0.07646519221893278,2.599263770962157
BEL,1953,2020,0.04898047534112804,0.07567823536122731,2.669776002009927
CHE,1916,1983,0.03876016478030575,0.05153039405559312,1.277022927528737
CHE,1917,1984,0.040111542179474435,0.05300131297006039,1.2889770790585953
CHE,1918,1985,0.05104073677892229,0.06059230496995749,0.9551568191035198
CHE,1919,1986,0.054327801449775004,0.06695542219718464,1.262762074740964
CHE,1920,1987,0.05155248192104178,0.0668513681988272,1.5298886277785417
CHE,1921,1988,0.057268061580457275,0.07695430648439383,1.9686244903936556
CHE,1922,1989,0.06039378078048263,0.08038117383440357,1.9987393053920943
CHE,1923,1990,0.04943555364846497,0.07059211009500732,2.115655644654235
CHE,1924,1991,0.04901306766703817,0.0631949529600877,1.4181885293049534
CHE,1925,1992,0.049609908934282076,0.06238873495672981,1.2778826022447731
CHE,1926,1993,0.05287057267719697,0.06459299143969255,1.172241876249558
CHE,1927,1994,0.04792254814902486,0.06113192609284246,1.3209377943817602
CHE,1928,1995,0.04707884503444637,0.05698068500386522,0.9901839969418846
