risk_aversion,phase,years,dom_eq,intl_eq,bond,bill,equity
2.0,working,38,0.0013157894736842105,0.9986842105263158,0.0,0.0,1.0
2.0,retired,30,0.14833333333333334,0.8133333333333334,0.013333333333333334,0.025,0.9616666666666667
5.0,working,38,0.05789473684210527,0.9394736842105262,0.002631578947368421,0.0,0.9973684210526316
5.0,retired,30,0.1733333333333333,0.7616666666666666,0.03166666666666667,0.03333333333333333,0.935
10.0,working,38,0.1276315789473684,0.8460526315789475,0.024999999999999998,0.0013157894736842105,0.9736842105263159
10.0,retired,30,0.16666666666666666,0.7599999999999999,0.04166666666666667,0.03166666666666666,0.9266666666666665
