fee,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption
0.0,balanced_all_equity,50/50 Domestic/International Equity,1.0477715240966154,1.247841331479547,0.11714,21.19006684442273,44.749356374785776,0.7490714591444009
0.0,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549
0.0,international_equity,100% International Equity,1.1084723595383563,1.358096652961367,0.0899,24.4229119496229,64.24997267746332,0.7952480072658722
0.0,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345
0.0,target_date_fund,Target-Date Fund (glide path),0.9425195381382905,1.0525353008305582,0.2221,16.374254032061522,9.363398003433641,0.6824444319335816
0.0,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927
0.001,balanced_all_equity,50/50 Domestic/International Equity,1.038155774419347,1.2319678850674833,0.12232,20.67633035817979,41.594722463723436,0.742332597225296
0.001,domestic_equity,100% Domestic Equity,0.8767772447112537,0.9860781042586964,0.25999,15.705776163538644,15.334247441996819,0.623639717329883
0.001,international_equity,100% International Equity,1.0975296765103952,1.339230710239562,0.09423,23.824396955326765,59.91783659062351,0.7879985448138392
0.001,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8654286039600717,0.9552403227411136,0.24934,13.038471765813341,9.324643696552975,0.6190903512960445
0.001,target_date_fund,Target-Date Fund (glide path),0.9351811342662832,1.0416690704208225,0.23127,15.983775654967035,8.482052734644036,0.6770286679397892
0.001,bills_only,100% Bills (cash),0.7353731105843286,0.762119362588869,0.58188,6.271390586004947,0.0,0.5380880307851309
0.0025,balanced_all_equity,50/50 Domestic/International Equity,1.0240349984656467,1.2088397591147366,0.12999,19.923977292937195,37.26723669441779,0.7325565126834178
0.0025,domestic_equity,100% Domestic Equity,0.8693891277451191,0.9749090853601649,0.26903,15.164293878672574,13.502122706494436,0.6188973049433104
0.0025,international_equity,100% International Equity,1.0814868475766846,1.3117439924958059,0.10164,22.93577231931899,53.768248052135974,0.7766716872765209
0.0025,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8576500792675622,0.9437587175570042,0.25983,12.597838275064689,8.126645237025787,0.6139339228553279
0.0025,target_date_fund,Target-Date Fund (glide path),0.9243573296305443,1.0257856650299473,0.24557,15.423851703042693,7.277240598389441,0.6697756746978507
0.0025,bills_only,100% Bills (cash),0.7300594974315125,0.7558289536809566,0.60988,6.087103900646492,0.0,0.5347283135440121
0.005,balanced_all_equity,50/50 Domestic/International Equity,1.001422576921734,1.1720733643739762,0.14432,18.738404920409863,30.878568330546614,0.717251200502934
0.005,domestic_equity,100% Domestic Equity,0.8573476496843918,0.9568089272570969,0.28509,14.31050996824984,10.793815823989732,0.6113543425977921
0.005,international_equity,100% International Equity,1.0555734303772835,1.268006340157425,0.11481,21.55234773650345,44.83001602690692,0.7585500880476264
0.005,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8450121835841656,0.9252362543982064,0.27922,11.907901085783514,6.382148667570353,0.6058030950518383
0.005,target_date_fund,Target-Date Fund (glide path),0.90686521843091,1.000388272904974,0.26968,14.534841703027094,5.555868458980548,0.6573945932537619
0.005,bills_only,100% Bills (cash),0.721563515089676,0.7458867914712132,0.65711,5.799600352427978,0.0,0.5292489161755081
0.0075,balanced_all_equity,50/50 Domestic/International Equity,0.979816072784864,1.1373992640117523,0.15963,17.64180448850579,25.46474723127143,0.7030563516950769
0.0075,domestic_equity,100% Domestic Equity,0.8457210409895523,0.9393528432696965,0.30061,13.506539812622192,8.535136793226904,0.6033677258290622
0.0075,international_equity,100% International Equity,1.0307816049371983,1.226787659153058,0.13019,20.257867269108957,37.25365820046592,0.7417619143946439
0.0075,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8327635034940317,0.907481391068716,0.29955,11.256273187228663,4.917969268896526,0.5982455127916577
0.0075,target_date_fund,Target-Date Fund (glide path),0.8899875152488084,0.9762862291189822,0.29577,13.707758534150338,4.131558206736952,0.645325139106323
0.0075,bills_only,100% Bills (cash),0.7134940406393472,0.7365935308171332,0.70294,5.529749995280438,0.0,0.5238855884575491
0.01,balanced_all_equity,50/50 Domestic/International Equity,0.9591939678026739,1.1047139553484695,0.17563,16.612638517099924,20.87102160018654,0.6893124031685284
0.01,domestic_equity,100% Domestic Equity,0.8344377383243804,0.9225302176012089,0.31749,12.764386738442532,6.648321702518194,0.5965648937146227
0.01,international_equity,100% International Equity,1.0070629118525949,1.1879528573204354,0.14446,19.062202191029968,30.793231828216367,0.7260040622115219
0.01,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8209225487383768,0.8904833756106928,0.32206,10.655104500456435,3.695631450191616,0.5906567852051161
0.01,target_date_fund,Target-Date Fund (glide path),0.873761183503071,0.9534441305895633,0.32589,12.928168218470736,2.955333736362488,0.6339095568019033
0.01,bills_only,100% Bills (cash),0.7058611388229974,0.7279166669993435,0.74658,5.2749258651378135,0.0,0.5186152573178149
