bucket,bucket_index,n_paths,strategy,label,cec_crra_gamma2,cec_crra_gamma5,cec_crra_gamma10,prob_ruin,median_retirement_consumption,p5_retirement_consumption,median_wealth_at_retirement
Expensive,0,53097,balanced_all_equity,50/50 Domestic/International Equity,1.4647725474574083,1.0591375749839245,0.7456138721082445,0.14528127766163815,1.5628619886467752,0.70655288757389,23.55863847691418
Expensive,0,53097,domestic_equity,100% Domestic Equity,1.2129880891638938,0.8814195027732841,0.6591302500576818,0.2979452699775882,1.2903816431806476,0.5711637473046046,17.8604518610815
Expensive,0,53097,international_equity,100% International Equity,1.6028196629159075,1.1339121500406444,0.7769379681986549,0.10339567207186846,1.723082960086526,0.767837056360509,27.370230480770463
Expensive,0,53097,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.1311918851532783,0.8748323831467135,0.6654142812002959,0.2747612859483587,1.186022662019214,0.5802455297623801,14.518414420378239
Expensive,0,53097,target_date_fund,Target-Date Fund (glide path),1.243917696459353,0.9467200405175551,0.6964400658981065,0.2460025990168936,1.3188799523616854,0.6252891876521267,17.621079486772707
Expensive,0,53097,bills_only,100% Bills (cash),0.8467848516077825,0.7375574305685105,0.6156312647858412,0.592971354313803,0.856856150065611,0.518443584345097,6.474962622804473
Middling,1,19382,balanced_all_equity,50/50 Domestic/International Equity,1.3861801403093064,1.0571457968159024,0.7732731127683184,0.09596532865545351,1.4564199311853803,0.7224579424808019,20.23138438556086
Middling,1,19382,domestic_equity,100% Domestic Equity,1.178470518543578,0.89197100315966,0.6789923787609574,0.22742751006088124,1.2328554066488413,0.5864333330188258,15.45816713695601
Middling,1,19382,international_equity,100% International Equity,1.482380975174018,1.1067087498464656,0.7912815203507674,0.08146734083169951,1.5562237620227735,0.7621930307901914,22.651997097706996
Middling,1,19382,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.0905754484367964,0.8692928058742825,0.6756998753466998,0.23707563718914457,1.1302898002675592,0.5841263716635194,12.734549841548617
Middling,1,19382,target_date_fund,Target-Date Fund (glide path),1.1962384361532585,0.9403726340835686,0.7075107629381052,0.23351563306160356,1.247830564387118,0.6267494387467483,15.739452853127585
Middling,1,19382,bills_only,100% Bills (cash),0.8475006474961491,0.7408476610528092,0.6213111180224279,0.5655763079145599,0.8553567712399477,0.5228237249196673,6.339319715707458
Cheap,2,18231,balanced_all_equity,50/50 Domestic/International Equity,1.2821919420308432,1.0011051971191718,0.760362634990809,0.07602435412209972,1.3215197911301209,0.6861056684582925,16.951149022040617
Cheap,2,18231,domestic_equity,100% Domestic Equity,1.111505158108631,0.865151700294286,0.676800568091848,0.17119192584060117,1.1442410142391317,0.5840500613100206,12.944996666742762
Cheap,2,18231,international_equity,100% International Equity,1.3548461605814623,1.0367997215748799,0.7729127760870428,0.07618890900115188,1.399615166744454,0.7107818426615137,18.881708977729037
Cheap,2,18231,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.0459141929399007,0.8486199252280389,0.6748528687894092,0.17728045636553125,1.0710144482914021,0.5817424353757634,11.105340169470628
Cheap,2,18231,target_date_fund,Target-Date Fund (glide path),1.1468718260261865,0.918706187502379,0.7102665749470913,0.17064340957709395,1.1819089123525108,0.6271971341057258,13.930971570842964
Cheap,2,18231,bills_only,100% Bills (cash),0.8421655543353471,0.7361963090422453,0.6201396541446883,0.48664362898359936,0.8491694478569201,0.5212049569963453,6.183403572738226
