correlation,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption
0.0,balanced_all_equity,50/50 Domestic/International Equity,1.0493326019515596,1.2495718040694184,0.11702,21.241196132752656,45.10225254316637,0.7485574886332116
0.0,domestic_equity,100% Domestic Equity,0.883032681245246,0.9946675020000494,0.25162,16.11274390040957,16.860616244265508,0.6275218416153541
0.0,international_equity,100% International Equity,1.1094293553441226,1.358729044037208,0.09082,24.476381717006852,64.50011930664564,0.7939236594749478
0.0,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8721035565230777,0.9642860592059871,0.23958,13.334474649517173,10.34024153653382,0.6226755637710008
0.0,target_date_fund,Target-Date Fund (glide path),0.9446112745066872,1.0543052918276805,0.2202,16.403590691546725,9.543584326860367,0.6826141908517536
0.0,bills_only,100% Bills (cash),0.7387454649380522,0.7661232237338004,0.5601,6.366825381279742,0.0,0.5406270168912519
0.1,balanced_all_equity,50/50 Domestic/International Equity,1.0364603979321356,1.2290966131748766,0.11702,21.14665316748323,44.79925005893881,0.7365591480468445
0.1,domestic_equity,100% Domestic Equity,0.8719158186628948,0.9775947070827634,0.25162,15.999715067905537,16.682314296152832,0.6171120072166886
0.1,international_equity,100% International Equity,1.1052133648961897,1.3522110619095609,0.09082,24.394661207552943,64.12584169129335,0.7871434159345616
0.1,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8624444611999232,0.9505289661152607,0.23958,13.2504023088949,10.260579211199309,0.6131651610721943
0.1,target_date_fund,Target-Date Fund (glide path),0.9340130816945086,1.038937488100509,0.2202,16.32154263749187,9.442814322212907,0.6713720567221145
0.1,bills_only,100% Bills (cash),0.7366907973331048,0.7637599243630979,0.5601,6.367233140621888,0.0,0.5384111635988569
0.2,balanced_all_equity,50/50 Domestic/International Equity,1.0236075588913316,1.2089113514218726,0.11702,21.057318394707842,44.507804156475046,0.7259769355226174
0.2,domestic_equity,100% Domestic Equity,0.86085394551303,0.9609480868108257,0.25162,15.878120657377277,16.522649075092303,0.604795755911311
0.2,international_equity,100% International Equity,1.1010986054156435,1.345897897057384,0.09082,24.27535664979218,63.780877987106024,0.7826168684865971
0.2,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8528027976522692,0.9370074481512509,0.23958,13.174858230648685,10.181043755257175,0.6025303090383065
0.2,target_date_fund,Target-Date Fund (glide path),0.9233777102276466,1.023799992663773,0.2202,16.25338777533547,9.352547712881915,0.6599028523701663
0.2,bills_only,100% Bills (cash),0.7345233128862186,0.7612834564781313,0.5601,6.3721348184209745,0.0,0.5354948502033113
0.3,balanced_all_equity,50/50 Domestic/International Equity,1.0107675754846916,1.1889994197589018,0.11702,20.97172386593305,44.25606669649577,0.7143714053646879
0.3,domestic_equity,100% Domestic Equity,0.8498531851019838,0.9447093460637228,0.25162,15.791320443874664,16.379716206164176,0.5930808365426076
0.3,international_equity,100% International Equity,1.097072387339564,1.3397772980420868,0.09082,24.20299478268455,63.57079503565333,0.7771014392070694
0.3,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8431785936570003,0.9237089850197832,0.23958,13.124066534706248,10.067942721009075,0.5919911578479736
0.3,target_date_fund,Target-Date Fund (glide path),0.9127083533095981,1.008881005046293,0.2202,16.158006862297064,9.265508679871377,0.6490173401083104
0.3,bills_only,100% Bills (cash),0.7322390778274395,0.7586908984702858,0.5601,6.383708843104186,0.0,0.532348895021707
0.4,balanced_all_equity,50/50 Domestic/International Equity,0.9979453216797465,1.169351183833402,0.11702,20.865502199760073,43.979765279434474,0.7018909679192474
0.4,domestic_equity,100% Domestic Equity,0.8389320238275434,0.9288742442365185,0.25162,15.685455673849408,16.18783923099467,0.5829849685436106
0.4,international_equity,100% International Equity,1.0931309403143576,1.3338330027538412,0.09082,24.057638208686907,63.05084000285915,0.773508006165903
0.4,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.833584492299349,0.9106335772715757,0.23958,13.033967895193587,9.947026567923015,0.582706678416944
0.4,target_date_fund,Target-Date Fund (glide path),0.9020227752990375,0.9941787107296342,0.2202,16.06617932455406,9.186313543470469,0.6392666901602935
0.4,bills_only,100% Bills (cash),0.7298421354287739,0.7559880969724142,0.5601,6.38148737735555,0.0,0.5300289572882912
0.6,balanced_all_equity,50/50 Domestic/International Equity,0.9723765770963451,1.1308414418058037,0.11702,20.606359293162306,43.23404590081292,0.6812985541624195
0.6,domestic_equity,100% Domestic Equity,0.81737378050591,0.8983778501986014,0.25162,15.513850252441767,15.86287897519665,0.5629355320425166
0.6,international_equity,100% International Equity,1.0854526719440467,1.3223692160016987,0.09082,23.86907292224444,62.533403584881675,0.7664918447100929
0.6,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8145124486543404,0.8851314298022377,0.23958,12.912129484144259,9.749912226278493,0.5658287866662899
0.6,target_date_fund,Target-Date Fund (glide path),0.8806431934011595,0.9654018304713209,0.2202,15.898346784152654,9.03652970988879,0.6183216230903449
0.6,bills_only,100% Bills (cash),0.7246948520953262,0.750244039519707,0.5601,6.388749664666671,0.0,0.5234509631691917
