series,dom_eq,intl_eq,bond,bill,inflation
dom_eq,1.0,0.5379035365584951,0.25888190318939985,0.178555855069148,-0.05093803589208234
intl_eq,0.5379035365584952,1.0,0.11456233725760859,0.10784055970135144,-0.04000502608238221
bond,0.25888190318939985,0.1145623372576086,1.0,0.7061337956266676,-0.1822602182037347
bill,0.178555855069148,0.10784055970135142,0.7061337956266676,1.0,-0.2714703176795616
inflation,-0.05093803589208234,-0.04000502608238221,-0.18226021820373473,-0.27147031767956165,0.9999999999999998
