rule,rate,can_deplete,strategy,cec,prob_ruin,mean_retirement_consumption,n_paths
vanguard_dynamic,0.05,True,domestic_060,1.0716049813966202,0.1676,2.2315710622853295,20000
vanguard_dynamic,0.05,True,domestic_070,1.0287856021597597,0.1938,2.159574187917865,20000
vanguard_dynamic,0.05,True,domestic_080,0.987681537952292,0.2235,2.0879661290240596,20000
vanguard_dynamic,0.05,True,domestic_090,0.9490503374126792,0.2576,2.0156769248615647,20000
vanguard_dynamic,0.05,True,domestic_100,0.9132555589504862,0.2959,1.943599056672999,20000
vanguard_dynamic,0.05,True,reteq_equity_000,0.9399034246203591,0.4207,1.710821178907001,20000
vanguard_dynamic,0.05,True,reteq_equity_010,0.9673563936380484,0.35135,1.762587004560537,20000
vanguard_dynamic,0.05,True,reteq_equity_020,0.9933269215519795,0.28805,1.82009183790197,20000
vanguard_dynamic,0.05,True,reteq_equity_030,1.0172083500624685,0.2401,1.881651201555686,20000
vanguard_dynamic,0.05,True,reteq_equity_040,1.038738274366042,0.20755,1.9448658333552682,20000
vanguard_dynamic,0.05,True,reteq_equity_050,1.058855538927322,0.18265,2.010926518718234,20000
vanguard_dynamic,0.05,True,reteq_equity_060,1.0762653144877867,0.16615,2.077391899396272,20000
vanguard_dynamic,0.05,True,reteq_equity_070,1.0907755444578067,0.1549,2.1411748151018823,20000
vanguard_dynamic,0.05,True,reteq_equity_080,1.1024107977418716,0.1496,2.2010515830730024,20000
vanguard_dynamic,0.05,True,reteq_equity_090,1.1106696313674815,0.14845,2.255205935231334,20000
vanguard_dynamic,0.05,True,reteq_equity_100,1.1157925475738244,0.1472,2.302839867984897,20000
vanguard_dynamic,0.05,True,retdom_domestic_000,1.1535024625465424,0.1158,2.3625372712854174,20000
vanguard_dynamic,0.05,True,retdom_domestic_010,1.1627255433236956,0.10495,2.3630313420625746,20000
vanguard_dynamic,0.05,True,retdom_domestic_020,1.1628185563480706,0.10195,2.357089954539612,20000
vanguard_dynamic,0.05,True,retdom_domestic_030,1.1542578313468397,0.1104,2.3448627676722738,20000
vanguard_dynamic,0.05,True,retdom_domestic_040,1.1375442364052242,0.1264,2.326349001614362,20000
vanguard_dynamic,0.05,True,retdom_domestic_050,1.1157925475738244,0.1472,2.302839867984897,20000
vanguard_dynamic,0.05,True,retdom_domestic_060,1.0914271590930316,0.1676,2.276554022214888,20000
vanguard_dynamic,0.05,True,retdom_domestic_070,1.0665147073473638,0.1938,2.247236425087498,20000
vanguard_dynamic,0.05,True,retdom_domestic_080,1.0405770908149425,0.2235,2.2160294162205827,20000
