withdrawal_rate,strategy,label,cec_crra_gamma2,cec_crra_gamma5,cec_crra_gamma10,cec_ez_gamma2_psi1.5,cec_ez_gamma5_psi1.5,cec_ez_gamma10_psi1.5,prob_ruin,median_wealth_at_retirement,mean_wealth_at_retirement,median_bequest,mean_bequest,p5_bequest,prob_zero_bequest,median_retirement_consumption,mean_retirement_consumption,p1_wealth_at_retirement,p1_bequest,p1_retirement_consumption,p5_wealth_at_retirement,p5_retirement_consumption,p10_wealth_at_retirement,p10_bequest,p10_retirement_consumption,p25_wealth_at_retirement,p25_bequest,p25_retirement_consumption,p50_wealth_at_retirement,p50_bequest,p50_retirement_consumption,p75_wealth_at_retirement,p75_bequest,p75_retirement_consumption,p90_wealth_at_retirement,p90_bequest,p90_retirement_consumption,p95_wealth_at_retirement,p95_bequest,p95_retirement_consumption,p99_wealth_at_retirement,p99_bequest,p99_retirement_consumption,mean_consumption_target,mean_consumption_shortfall,prob_consumption_below_target,median_consumption_replacement_ratio,p5_consumption_replacement_ratio
0.01,balanced_all_equity,50/50 Domestic/International Equity,0.8675918063576207,0.7447001638703951,0.6330180245286181,1.1699849792170642,0.9647195555709548,0.7738257067335738,0.0014,20.07978708978618,28.077218070225502,91.35016663621514,287.834137955816,7.401165744582855,0.00158,0.8685011974488555,0.9408054814033132,2.6873696789212733,1.3064861734468478,0.4595816481327822,5.0659178183957945,0.5392366961700937,7.035498552549397,14.19702589582079,0.5907919835680182,11.766029836601142,36.73301084383819,0.7008809049453801,20.07978708978618,91.35016663621514,0.8685011974488555,33.55369986712904,214.52344898668707,1.0825912479153934,54.466807838331654,472.3081337046518,1.341857445199175,75.29848608855988,786.7323759082573,1.5654690599161099,149.3909725228749,3787.4106419083564,2.2867077767763746,1.075741161498871,0.1950843248484829,0.75292,0.855958692631472,0.629377771372898
0.01,domestic_equity,100% Domestic Equity,0.8293971915158787,0.707925818532222,0.603483946289614,1.0374812574236012,0.849122410654957,0.691126216340619,0.02998,15.108063489633508,34.79101091688022,45.402974439700216,2972.4431912759815,0.6148672054107897,0.03172,0.8242434172715619,1.006841955542735,1.0778279668581936,0.0,0.4406464537195898,2.77330293997912,0.5124881612900992,4.265057818531017,2.89414928747351,0.5600184055672812,8.018693736533397,12.692998359553291,0.6634933015222002,15.108063489633508,45.402974439700216,0.8242434172715619,28.356738937573702,137.39011581580348,1.031519997120076,52.16465545939455,378.5895179894356,1.312423421760939,80.78125090733201,776.1213491977128,1.6075718246879016,448.91265266005485,50349.000536588916,5.161313969684889,1.075741161498871,0.23035799591328898,0.8053,0.8090535819300249,0.5983399130626351
0.01,international_equity,100% International Equity,0.8919957612965106,0.7638118955987038,0.6452531706025871,1.2440156468558403,1.016882739494572,0.7983426443608072,0.00186,23.035540431490276,30.15229022351887,127.64691603155083,244.5567493451405,9.150045394429842,0.00226,0.8948678611283443,0.9615069982199724,2.7501892646303143,1.6456127891522212,0.467357908191511,5.686238170261025,0.550635280952257,7.988652904866822,19.88691814708421,0.6049820706668805,13.66677526047373,53.761545680678424,0.7223161741818684,23.035540431490276,127.64691603155083,0.8948678611283443,37.837935050006806,276.67509752862327,1.1150418298487563,59.073372819766924,550.663819080879,1.38129824952747,78.21159458990947,842.5639449990188,1.590571712969557,131.10497507722405,1877.9855332159686,2.1580257365033937,1.075741161498871,0.1758053359315319,0.70384,0.8843913130879808,0.6416660521404148
0.01,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.7963154467794376,0.6939875967304684,0.5985539739015203,0.9757436269028119,0.8304692095674524,0.6903173865815835,0.0164,13.276144452025072,19.655086165845848,34.87020448546363,215.1943557529141,1.2737410643968665,0.0179,0.7926044939000242,0.8560832423444907,1.4513477131512074,0.0,0.4392429621166872,3.2012814697090786,0.5076195043440633,4.599342107070248,3.791835601654231,0.5532198278978814,7.8819976150358775,12.880716446279722,0.6486403229317319,13.276144452025072,34.87020448546363,0.7926044939000242,21.91881417228435,82.65853180646612,0.9787465455596625,35.7753962264165,190.92110680047563,1.1809795095937818,50.93902099983887,352.4571336815202,1.3590801826744006,142.21569584197516,5419.933252368003,2.1362818940597736,1.075741161498871,0.2541140352303033,0.88342,0.7886241222762638,0.5935761372177963
0.01,target_date_fund,Target-Date Fund (glide path),0.8200161913774263,0.7152877028303725,0.615322307094998,1.0000122219676673,0.8602293380692358,0.7159471937226356,0.00902,15.987709960224779,21.077555601567862,35.26335737619641,75.72504732498182,2.8763504306794943,0.01034,0.8187156981785515,0.8705452982742836,2.3312296940432082,0.0,0.45044815185216125,4.416982201636415,0.5233715029119588,6.0724503600891255,5.8046966552575725,0.5704379547138173,9.832887571360288,15.267081397328925,0.6699309914081037,15.987709960224779,35.26335737619641,0.8187156981785515,25.454941430027052,74.61483595230743,1.0095576266382686,39.647699178258534,148.2318923356314,1.213791288201007,53.2156546345036,239.86026794346952,1.3714090431189816,102.07778187507458,753.9254507398492,1.8282357912548455,1.075741161498871,0.23136296986404933,0.8516,0.8142486132385116,0.6104525379888307
0.01,bills_only,100% Bills (cash),0.704446262891362,0.6319433312457456,0.5574056218643811,0.7600036967627025,0.6893907670118561,0.605211701337477,0.0357,6.285229027846699,7.12501760709177,5.471486010921648,7.882156552521619,0.122518298194221,0.03854,0.7028170532019565,0.7306349877376573,0.9528913820491977,0.0,0.41285363033011413,2.006425612439432,0.4710339968912873,2.7572160318083108,0.648081037621013,0.5093506905095977,4.216834026940628,2.408374850138265,0.5874278658590097,6.285229027846699,5.471486010921648,0.7028170532019565,9.050193412633572,10.206509376903341,0.8577702692467726,12.458337196904633,17.26247992991885,0.9829838873583694,14.940992285889086,23.832308594779075,1.0583979803835946,21.29096577817797,42.66138780034514,1.2387037185528,1.075741161498871,0.3452010841203947,0.99474,0.7123239917387352,0.5496608507822495
0.015,balanced_all_equity,50/50 Domestic/International Equity,0.9649620243061451,0.8078446555844945,0.6710842571611249,1.2610012646664976,1.0146800014431927,0.7974808745985555,0.00776,20.07978708978618,28.077218070225502,82.34034816123983,269.03014688428556,5.305400791927684,0.0083,0.9693178175954769,1.0807876232175349,2.6873696789212733,0.22538443451704637,0.48279134335037494,5.0659178183957945,0.5763193287137321,7.035498552549397,11.493865686988245,0.6370199786040642,11.766029836601142,31.900825849506994,0.7682057421330554,20.07978708978618,82.34034816123983,0.9693178175954769,33.55369986712904,197.5331595642745,1.2409637887628855,54.466807838331654,439.25721628942034,1.6010215086415334,75.29848608855988,736.6488395574179,1.9314191801416234,149.3909725228749,3596.4547643421465,3.00652296865794,1.075741161498871,0.13325061097504218,0.5745,0.9534242974473697,0.6746568268423934
0.015,domestic_equity,100% Domestic Equity,0.9031225234402526,0.752261145349559,0.6284134016364683,1.0996599659218054,0.8796950545580235,0.7051067266091738,0.05214,15.108063489633508,34.79101091688022,39.68983871313678,2867.8827133608593,0.0,0.05564,0.8990674849432518,1.1783158705312597,1.0778279668581936,0.0,0.45409580594301874,2.77330293997912,0.5356476727384524,4.265057818531017,1.6153884830516136,0.5893454078533581,8.018693736533397,10.113305886199388,0.7104298804327893,15.108063489633508,39.68983871313678,0.8990674849432518,28.356738937573702,124.73180785035471,1.1590517935270102,52.16465545939455,350.2820288208399,1.5563486128367754,80.78125090733201,722.5046496100969,1.9896355335303928,448.91265266005485,48448.813466857115,7.395696175631922,1.075741161498871,0.17693525688480854,0.67636,0.879729564173225,0.6324386430262668
0.015,international_equity,100% International Equity,1.0009529649203972,0.8336594754202671,0.6857432172842566,1.3498265002306866,1.0725577633646195,0.8218363709111823,0.00764,23.035540431490276,30.15229022351887,115.62646217490695,226.64311779762252,6.752535306878104,0.00848,1.0110473715444352,1.1117102905946392,2.7501892646303143,0.2437219133206799,0.4946974972511941,5.686238170261025,0.5916188850140514,7.988652904866822,16.42894782134933,0.6571700273794479,13.66677526047373,47.435128131837615,0.7992261978581164,23.035540431490276,115.62646217490695,1.0110473715444352,37.837935050006806,254.98577220624708,1.2958634377223393,59.073372819766924,514.3320597367899,1.664749489250133,78.21159458990947,787.4631727430005,1.9736412534290038,131.10497507722405,1786.2458502353268,2.7967293252453325,1.075741161498871,0.11444532248352411,0.50526,0.9965129530968508,0.6888024105103259
0.015,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8621258548939138,0.7382597267829941,0.6258436343419626,1.0313751786562735,0.8626786677057146,0.706630634454772,0.03452,13.276144452025072,19.655086165845848,30.603811328613986,202.39478370592042,0.4291934637067089,0.03744,0.8614553175143417,0.9530510598530544,1.4513477131512074,0.0,0.4554742566997572,3.2012814697090786,0.532983530494003,4.599342107070248,2.5296888254395298,0.5847623849526702,7.8819976150358775,10.699162491819584,0.6945321641966978,13.276144452025072,30.603811328613986,0.8614553175143417,21.91881417228435,74.70732049753167,1.0775984058686363,35.7753962264165,176.1851531464624,1.3475349535545855,50.93902099983887,329.05143880597853,1.5994405760933148,142.21569584197516,5182.421029644325,2.8354967098336927,1.075741161498871,0.19630754916062848,0.76916,0.8515437871275537,0.6312691448410038
