age,solved_savings_rate,cec_if_reset_to_average,cost_of_resetting_bp
25,9.559748427432461e-11,0.7874482084880943,34.57132642604055
26,0.02389937106858115,0.7882447178019808,24.431544526017923
27,0.02389937106858115,0.7884500635656727,21.820758318735756
28,0.0477987421371623,0.7890312843721085,14.438426517102698
29,0.07169811320574346,0.7895804806409306,7.472838647291091
30,0.07169811320574346,0.7896216416760409,6.951173688864998
31,0.0955974842743246,0.7900873036031671,1.053273359437057
32,0.0955974842743246,0.7900944493021141,0.962822760894877
33,0.0955974842743246,0.7900999979869501,0.8925883717014749
34,0.0955974842743246,0.79010271430891,0.8582059507022954
35,0.14339622641148692,0.7909158462746707,-9.423567427088164
36,0.14339622641148692,0.7908778796901165,-8.943963591130366
37,0.14339622641148692,0.7908765314569406,-8.926931510048197
38,0.14339622641148692,0.7908666591523345,-8.802214004849374
39,0.14339622641148692,0.7908230607976734,-8.251395742009393
40,0.14339622641148692,0.7907795518438461,-7.701646412169305
41,0.14339622641148692,0.7908049922081485,-8.023100769234404
42,0.14339622641148692,0.79080957309584,-8.080980852567254
43,0.14339622641148692,0.7908115846207264,-8.106396506765146
44,0.14339622641148692,0.7907914057951951,-7.851430815086768
45,0.14339622641148692,0.7908046626540246,-8.018936786207131
46,0.14339622641148692,0.7908292296263549,-8.329335938273008
47,0.14339622641148692,0.7908270612523821,-8.301939710103623
48,0.14339622641148692,0.79083838006858,-8.44494515432448
49,0.14339622641148692,0.7908780341772561,-8.945915206427513
50,0.14339622641148692,0.7909057256774681,-9.295725894761242
51,0.14339622641148692,0.7908996210020856,-9.218611170190849
52,0.0955974842743246,0.7901015482851603,0.8729651145222839
53,0.0955974842743246,0.7900989716643424,0.9055793292001013
54,0.0955974842743246,0.7900939291318441,0.9694070458010628
55,0.0955974842743246,0.7900922685885413,0.9904261639848144
56,0.07169811320574346,0.7896566213475215,6.507892577665153
57,0.07169811320574346,0.7896476869297823,6.621110564752897
58,0.07169811320574346,0.7896080470705577,7.123462400715486
59,0.0477987421371623,0.7891560818920358,12.854738438441426
60,0.0477987421371623,0.7890700016414091,13.947048428153419
61,0.02389937106858115,0.7885525770023039,20.517901264940352
62,0.02389937106858115,0.7884547947536493,21.760621557325166
