age,phase,lvr,reference_lvr,cec_solved,cec_if_reset_to_average,cost_of_resetting_bp
25,working,0.8,0.5294117647058821,1.2996483908456962,1.2993232740706842,2.5022008109920613
26,working,0.8,0.5294117647058821,1.2996483908456962,1.2994444511897891,1.5694372754482266
27,working,0.8,0.5294117647058821,1.2996483908456962,1.2990341784289101,4.728223683296839
28,working,0.8,0.5294117647058821,1.2996483908456962,1.2987768265650603,6.710654693007356
29,working,0.8,0.5294117647058821,1.2996483908456962,1.298774780852236,6.726416360554044
30,working,0.8,0.5294117647058821,1.2996483908456962,1.2991611996579775,3.7500441657822847
31,working,0.0,0.5294117647058821,1.2996483908456962,1.2997017959188621,-0.410902511127631
32,working,0.8,0.5294117647058821,1.2996483908456962,1.2982267969658146,10.950273736485272
33,working,0.8,0.5294117647058821,1.2996483908456962,1.2980514035469637,12.302958837906441
34,working,0.8,0.5294117647058821,1.2996483908456962,1.2975913773749048,15.852551940911397
35,working,0.4,0.5294117647058821,1.2996483908456962,1.2996897979689135,-0.3185923539761326
36,working,0.6,0.5294117647058821,1.2996483908456962,1.2996057589846224,0.32803687409765914
37,working,0.8,0.5294117647058821,1.2996483908456962,1.2973827630438866,17.46306384165397
38,working,0.8,0.5294117647058821,1.2996483908456962,1.2980525502423808,12.294114001913936
39,working,0.6,0.5294117647058821,1.2996483908456962,1.2994877088931507,1.2365022881399845
40,working,0.8,0.5294117647058821,1.2996483908456962,1.2985124551357607,8.74797700586294
41,working,0.8,0.5294117647058821,1.2996483908456962,1.2973049312350553,18.06406153416651
42,working,0.8,0.5294117647058821,1.2996483908456962,1.2973739009302827,17.531491220708073
43,working,0.8,0.5294117647058821,1.2996483908456962,1.298032789613136,12.446536370176453
44,working,0.2,0.5294117647058821,1.2996483908456962,1.299616005751662,0.24918971366139075
45,working,0.6,0.5294117647058821,1.2996483908456962,1.2995418957538867,0.8194817893714124
46,working,0.8,0.5294117647058821,1.2996483908456962,1.2964359894869024,24.778711674497966
47,working,0.6,0.5294117647058821,1.2996483908456962,1.299494167813187,1.1867928023767682
48,working,0.8,0.5294117647058821,1.2996483908456962,1.2953318523154709,33.32380441744887
49,working,0.4,0.5294117647058821,1.2996483908456962,1.2997964131778728,-1.13881166831864
50,working,0.0,0.5294117647058821,1.2996483908456962,1.2994176379052322,1.7758181336979817
51,working,0.0,0.5294117647058821,1.2996483908456962,1.2994620294768624,1.4341424728558927
52,working,0.8,0.5294117647058821,1.2996483908456962,1.2980855469485926,12.039606332396868
53,working,0.4,0.5294117647058821,1.2996483908456962,1.299829775184829,-1.3954468700094758
54,working,0.6,0.5294117647058821,1.2996483908456962,1.2994561876294461,1.4791050139262296
55,working,0.4,0.5294117647058821,1.2996483908456962,1.299886137273019,-1.8289788659620054
56,working,0.8,0.5294117647058821,1.2996483908456962,1.2973229181144523,17.925164959111672
57,working,0.8,0.5294117647058821,1.2996483908456962,1.2958975109093307,28.94426376151893
58,working,0.4,0.5294117647058821,1.2996483908456962,1.2998056851930495,-1.210137400883271
59,working,0.8,0.5294117647058821,1.2996483908456962,1.2975654850645888,16.05241357821585
60,working,0.8,0.5294117647058821,1.2996483908456962,1.2974937200471144,16.60640637631383
61,working,0.6,0.5294117647058821,1.2996483908456962,1.29937410541826,2.110904213747933
62,working,0.8,0.5294117647058821,1.2996483908456962,1.297287509360735,18.198598752596773
63,retired,0.0,0.5294117647058821,1.2996483908456962,1.2990742337748418,4.419740272931794
64,retired,0.4,0.5294117647058821,1.2996483908456962,1.2999540652886519,-2.3514249550637967
65,retired,0.0,0.5294117647058821,1.2996483908456962,1.2978997974578503,13.47248370999532
66,retired,0.4,0.5294117647058821,1.2996483908456962,1.3001887510025818,-4.1560131670803635
67,retired,0.4,0.5294117647058821,1.2996483908456962,1.2996811231045584,-0.251848382502029
68,retired,0.2,0.5294117647058821,1.2996483908456962,1.2987004298325737,7.2993046844893605
69,retired,0.0,0.5294117647058821,1.2996483908456962,1.2994365147886504,1.6305225737034412
70,retired,0.6,0.5294117647058821,1.2996483908456962,1.299125538543976,4.024648012894705
71,retired,0.8,0.5294117647058821,1.2996483908456962,1.2969372591623374,20.90410823041511
72,retired,0.6,0.5294117647058821,1.2996483908456962,1.2990967376919473,4.246436294874645
73,retired,0.2,0.5294117647058821,1.2996483908456962,1.299181221719531,3.5958734497931744
74,retired,0.6,0.5294117647058821,1.2996483908456962,1.2996831837774747,-0.26770317730351323
75,retired,0.4,0.5294117647058821,1.2996483908456962,1.2996328892005677,0.11927710707571038
76,retired,0.0,0.5294117647058821,1.2996483908456962,1.2989722353571873,5.205311323093209
77,retired,0.8,0.5294117647058821,1.2996483908456962,1.2985798864729936,8.228252907911404
78,retired,0.6,0.5294117647058821,1.2996483908456962,1.2993487909557229,2.3057695674832956
79,retired,0.4,0.5294117647058821,1.2996483908456962,1.29959912010469,0.37912260976602496
80,retired,0.0,0.5294117647058821,1.2996483908456962,1.299201773650656,3.4376276579828335
81,retired,0.8,0.5294117647058821,1.2996483908456962,1.2989778870549382,5.161779868925187
82,retired,0.6,0.5294117647058821,1.2996483908456962,1.299564987809217,0.6417765734045844
83,retired,0.6,0.5294117647058821,1.2996483908456962,1.2997401161395195,-0.7057202642613003
84,retired,0.6,0.5294117647058821,1.2996483908456962,1.2995265436526957,0.9376275813344215
85,retired,0.0,0.5294117647058821,1.2996483908456962,1.2996181822037634,0.23244243845255141
86,retired,0.4,0.5294117647058821,1.2996483908456962,1.299688851586668,-0.3113109797203695
87,retired,0.0,0.5294117647058821,1.2996483908456962,1.299606471331777,0.32255544154313753
88,retired,0.0,0.5294117647058821,1.2996483908456962,1.2996766132538575,-0.21714946528694767
89,retired,0.8,0.5294117647058821,1.2996483908456962,1.2996985379679569,-0.3858365674480613
90,retired,0.8,0.5294117647058821,1.2996483908456962,1.2996345390888502,0.10658193845491937
91,retired,0.8,0.5294117647058821,1.2996483908456962,1.2996356877516568,0.09774349965185891
92,retired,0.0,0.5294117647058821,1.2996483908456962,1.2996489234683173,-0.004098203841840231
