min_age,max_age,window,cec,mean_savings_rate,matched_value_pct,extrapolated,prob_ruin,p5_retirement_consumption,median_retirement_consumption,increment_pct
25,39,25-39,0.8044539386904267,0.09593775483531918,1.808125675323402,False,0.11675,0.7284564685570724,1.4813393143731126,1.1858983288754565
40,49,40-49,0.8065610073432492,0.09741105044448888,2.1975706912209736,False,0.11675,0.7401863559578566,1.5089602855881203,1.575343344773028
50,62,50-62,0.8020114787795419,0.10901155439232792,2.7479633013563376,False,0.11675,0.7746160204117466,1.5591620143356058,2.125735954908392
25,49,25-49,0.8194124033779796,0.09126989165526421,3.30795850042942,False,0.11675,0.7368398546500718,1.5140176515289943,2.6857311539814743
40,62,40-62,0.8171526915881211,0.1020799622903612,3.9718535823993317,False,0.11675,0.7764001437543026,1.5798763636352744,3.349626235951386
25,62,25-62,0.8303162221860187,0.09558976024461774,5.051330127063092,False,0.11675,0.771518953237096,1.581588093529833,4.429102780615146
