variant,savings_rate,rule,label,cec_gamma2,cec_gamma5,cec_gamma10,median_retire_age,mean_retire_age,p10_retire_age,p90_retire_age,sd_retire_age,prob_ruin,median_wealth_at_retirement,median_bequest,median_retirement_consumption,p5_retirement_consumption,mean_savings_rate,median_total_saved,median_working_consumption
Constant 0%,0.0,fixed_age,Fixed age,1.0120511662183123,0.7553759218002135,0.5607295833645638,63.0,63.0,63.0,63.0,0.0,1.0,0.0,0.0,0.6376396903640611,0.43694187245397675,0.0,0.0,1.408465053989946
Constant 5%,0.05,fixed_age,Fixed age,1.080339868159992,0.8110075843666755,0.5555933532967592,63.0,63.0,63.0,63.0,0.0,0.1467,9.942380896665242,18.28713186072065,1.0470093050809068,0.6003621400617559,0.05000000000000004,2.6760836025808974,1.3380418012904485
Constant 10%,0.1,fixed_age,Fixed age,1.074721529026586,0.7852658533060626,0.5274805134052087,63.0,63.0,63.0,63.0,0.0,0.1467,19.884761793330483,36.5742637214413,1.4224375125292372,0.707607825735363,0.10000000000000007,5.352167205161795,1.267618548590951
Constant 15%,0.15,fixed_age,Fixed age,1.0455430282378944,0.7472651744074826,0.49844596370442545,63.0,63.0,63.0,63.0,0.0,0.1467,29.827142689995732,54.861395582161926,1.8027671532378235,0.809354228705705,0.15000000000000013,8.02825080774269,1.1971952958914538
Constant 20%,0.2,fixed_age,Fixed age,1.0043431047440945,0.7057411960665341,0.4692321890599349,63.0,63.0,63.0,63.0,0.0,0.1467,39.769523586660966,73.1485274428826,2.1773631174556245,0.9031055390511523,0.20000000000000015,10.70433441032359,1.1267720431919563
Constant 30%,0.3,fixed_age,Fixed age,0.9027906904087847,0.6193800045153234,0.4106503794662698,63.0,63.0,63.0,63.0,0.0,0.1467,59.654285379991464,109.72279116432385,2.9353916674411766,1.088659172272226,0.30000000000000027,16.05650161548538,0.9859255377929619
Constant 40%,0.4,fixed_age,Fixed age,0.7873919376596896,0.5315552846099275,0.3520036907708924,63.0,63.0,63.0,63.0,0.0,0.1467,79.53904717332193,146.2970548857652,3.691307910411223,1.270272861305746,0.4000000000000003,21.40866882064718,0.8450790323939673
