position,credit,rate,cec_international_equity,cec_balanced_all_equity,cec_target_date_fund,cec_domestic_equity,winner,best_cec
neither tax,0.0,0.0,1.1084723595383563,1.0477715240966154,0.9425195381382905,0.8817855922986605,international_equity,1.1084723595383563
withholding only,0.0,0.15,1.0469930412547468,1.0197211734399703,0.9311298546253112,0.8817855922986605,international_equity,1.0469930412547468
"a taxed fund, nothing franked",-0.15000000000000002,0.15,1.0469930412547468,0.9958108077458213,0.915914494938552,0.8553264713866887,international_equity,1.0469930412547468
an Australian fund still accumulating,0.2142857142857142,0.15,1.0469930412547468,1.0556256635588062,0.953590406311645,0.9214896970098643,balanced_all_equity,1.0556256635588062
an Australian fund paying a pension,0.4285714285714286,0.15,1.0469930412547468,1.0934467881076164,0.9768518926721352,0.9634877220761997,balanced_all_equity,1.0934467881076164
