system,label,gap_pct,cec_international_equity,cec_balanced_all_equity,winner,ranking,prob_ruin,mean_consumption,p5_consumption,shift_pp,cec_lift_pct,cec_best_available,best_lift_pct,mean_lift_pct,p5_lift_pct
us_social_security,US Social Security (the paper's baseline),5.727140592105351,1.1094293553441226,1.0493326019515596,international_equity,international_equity|balanced_all_equity|target_date_fund|domestic_equity|sixty_forty|bills_only,0.09082,1.7281313418640618,0.7485574886332116,0.0,0.0,1.1094293553441226,0.0,0.0,0.0
us_matched_saving,"US Social Security, saving 20.2%",6.980841232869328,1.366192887162388,1.27704444218058,international_equity,international_equity|balanced_all_equity|target_date_fund|sixty_forty|domestic_equity|bills_only,0.09082,2.8184250517367473,0.9937170003863315,1.2537006407639772,21.700635223333343,1.366192887162388,23.143747781815517,63.09090538781803,32.750926345116895
age_pension_untested,"Age Pension rate, paid to everyone (no means test)",6.333417158119148,0.9664877362250611,0.9089219194262154,international_equity,international_equity|balanced_all_equity|target_date_fund|domestic_equity|sixty_forty|bills_only,0.09082,1.518202306740998,0.672706876036408,0.606276566013797,-13.380951117329909,0.9664877362250611,-12.884247061835119,-12.14774768777831,-10.13290411873361
age_pension_matched,"Australian Age Pension, saving 10%",-8.063960534437642,0.3796779379644664,0.4129805244728724,bills_only,bills_only|target_date_fund|balanced_all_equity|international_equity|sixty_forty|domestic_equity,0.09082,1.1318082176890112,0.3620410199667757,-13.791101126542994,-60.643505814571384,0.5562205674096519,-49.86426447701814,-34.506817261460135,-51.63484094884615
australia_as_legislated,"Australia as legislated: 10% voluntary + 12% SG, means-tested pension",-6.422338669948246,0.599936473560358,0.64111077903984,target_date_fund,target_date_fund|balanced_all_equity|international_equity|bills_only|sixty_forty|domestic_equity,0.09082,2.191729230470312,0.5501253403667776,-12.149479262053596,-38.90299626186249,0.6546978833282056,-40.98787091088539,26.826542484102344,-26.508605054335977
australia_non_homeowner,"Australia as legislated, non-homeowner thresholds",-5.2753053782419235,0.6633328160483836,0.7002744307565362,target_date_fund,target_date_fund|balanced_all_equity|bills_only|international_equity|sixty_forty|domestic_equity,0.09082,2.206633107585859,0.5962976296240864,-11.002445970347274,-33.26477901723833,0.7292108080169202,-34.27154198648965,27.688969821336485,-20.34043628193953
