strategy,label,equal,gdp,change_pct,ruin_equal,ruin_gdp
international_equity,100% International Equity,1.1084723595383563,1.1098302471135653,0.12250080604394586,0.0899,0.0983
balanced_all_equity,50/50 Domestic/International Equity,1.0477715240966154,1.0701285518231252,2.13376935833276,0.11714,0.1088
target_date_fund,Target-Date Fund (glide path),0.9425195381382905,0.9540712395047407,1.2256193000802718,0.2221,0.21595
domestic_equity,100% Domestic Equity,0.8817855922986605,0.8817855922986605,0.0,0.2538,0.2538
sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.8706869896186361,0.0,0.24212,0.24212
bills_only,100% Bills (cash),0.738999359783288,0.738999359783288,0.0,0.56357,0.56357
