position,n_paths,optimal_domestic_share,cec_at_optimum,cec_at_worst,cec_at_low_end,cec_at_high_end,range_pct,margin_over_low_end_pct,margin_over_high_end_pct,margin_over_runner_up_pct,at_grid_edge,credit,rate
neither tax,100000,0.1,1.1168329366179508,0.8817855922986605,1.1084723595383563,0.8817855922986605,26.655838604321392,0.7542431714830045,26.655838604321392,0.20893180132561806,False,0.0,0.0
withholding only,100000,0.2,1.0629023733970209,0.8817855922986605,1.0469930412547468,0.8817855922986605,20.53977550554218,1.5195260632494545,20.53977550554218,0.3313105430999608,False,0.0,0.15
"a taxed fund, nothing franked",100000,0.1,1.0536840941872125,0.8553264713866887,1.0469930412547468,0.8553264713866887,23.190866813573386,0.6390732955060541,23.190866813573386,0.20846424103604377,False,-0.15000000000000002,0.15
an Australian fund still accumulating,100000,0.3,1.081216726364239,0.9214896970098643,1.0469930412547468,0.9214896970098643,17.33356649267721,3.2687595581798234,17.33356649267721,0.14983842370512868,False,0.2142857142857142,0.15
an Australian fund paying a pension,100000,0.3,1.10652755117358,0.9634877220761997,1.0469930412547468,0.9634877220761997,14.846045862333002,5.686237403018968,14.846045862333002,0.12599940211079907,False,0.4285714285714286,0.15
