rule,label,share_accumulation,share_retirement,share_both,retirement_over_accumulation,cec_none,cec_both,cec_cost_pct,ruin_none,ruin_both,ruin_cost_pp,consumption_sd_both
constant_real,Fixed real withdrawal,0.17858784074108106,0.019364866080343913,0.49335700831182744,0.10843328414737566,1.04847126825557,1.0286781415891724,-1.8878082085481473,0.11675,0.12565,0.8900000000000006,1.191701354971148
vanguard_dynamic,"Dynamic, with guardrails",0.17818428171238823,0.10038939115969246,0.40460941672717854,0.5634020587839141,1.123448275609662,1.0999253133747828,-2.0938180017334496,0.05865,0.0715,1.2849999999999993,1.6770655709706523
constant_percent,Fixed percentage of the portfolio,0.16205930459725074,0.141300633556573,0.28782394912968634,0.8719069473223575,1.1288283522080997,1.1128774170918243,-1.413052310838392,0.0,0.0,0.0,2.3595774930419795
