rival,crossing_rate,crossing_pct,equivalent_drag_bp,reached_on_grid,lead_at_zero_pct
balanced_all_equity,0.29190797597025864,29.190797597025863,111.87205109099669,True,5.793327461736175
target_date_fund,inf,inf,inf,False,17.607361405776658
domestic_equity,inf,inf,inf,False,25.7076968845412
