mean_block_years,strategy,label,cec_crra_gamma2,cec_crra_gamma5,cec_crra_gamma10,cec_ez_gamma2_psi1.5,cec_ez_gamma5_psi1.5,cec_ez_gamma10_psi1.5,prob_ruin,median_wealth_at_retirement,mean_wealth_at_retirement,median_bequest,mean_bequest,p5_bequest,prob_zero_bequest,median_retirement_consumption,mean_retirement_consumption,p1_wealth_at_retirement,p1_bequest,p1_retirement_consumption,p5_wealth_at_retirement,p5_retirement_consumption,p10_wealth_at_retirement,p10_bequest,p10_retirement_consumption,p25_wealth_at_retirement,p25_bequest,p25_retirement_consumption,p50_wealth_at_retirement,p50_bequest,p50_retirement_consumption,p75_wealth_at_retirement,p75_bequest,p75_retirement_consumption,p90_wealth_at_retirement,p90_bequest,p90_retirement_consumption,p95_wealth_at_retirement,p95_bequest,p95_retirement_consumption,p99_wealth_at_retirement,p99_bequest,p99_retirement_consumption,mean_consumption_target,mean_consumption_shortfall,prob_consumption_below_target,median_consumption_replacement_ratio,p5_consumption_replacement_ratio
1.0,balanced_all_equity,50/50 Domestic/International Equity,1.3665800703420727,0.9800154506565436,0.7156807982637129,1.602558543279347,1.1429046079532967,0.8384401902384454,0.16024,20.442568764484555,32.757531267910935,37.859178596126455,345.1275514090848,0.0,0.16928,1.4443196076801161,1.912836402636198,2.4576935005692966,0.0,0.49365278072586377,4.763660506896057,0.6460298150779964,6.568909544369603,0.0,0.7616346892354504,11.3109400118435,5.713103912177878,1.0154929801563695,20.442568764484555,37.859178596126455,1.4443196076801161,37.210253660845865,138.28431819635895,2.149429600380598,65.00466005118352,388.6511322528792,3.282337793977039,94.80200529280165,751.7338028646311,4.498315672491557,211.79067707181483,4056.159051361561,9.121418543831904,1.078193867738679,0.03686353004079899,0.18912,1.4096782575561777,0.8042742203467346
1.0,domestic_equity,100% Domestic Equity,1.1696345959197905,0.8518969559460591,0.6531401768142384,1.3194404074879527,0.9548828232247726,0.7310218398704291,0.29296,15.356455179750853,40.941081744903045,13.110962538772926,4941.126861396538,0.0,0.30512,1.2073211645751585,2.182621025607677,1.1535660808588606,0.0,0.45369977282714874,2.5961744317228375,0.5562400220173624,3.907392507939535,0.0,0.63859777138275,7.656344038556586,0.0,0.8403910206870568,15.356455179750853,13.110962538772926,1.2073211645751585,31.247029960874336,78.2340615787075,1.8652734954240144,62.49192526910412,297.6001057870341,3.0918700193532493,100.60628204348814,683.6163547367927,4.499429436610443,461.8035312987068,25722.50293781531,18.570990049744232,1.078193867738679,0.07924105791402371,0.3428,1.1888460005419557,0.7036366756300685
1.0,international_equity,100% International Equity,1.4587157070444117,1.0235438773751246,0.7315682702695807,1.7457850092369693,1.2153033594948224,0.8745885569244155,0.1352,23.079338724879406,35.650421682016145,55.13337403183023,229.70287368109754,0.0,0.14276,1.556901960633141,2.03349575672523,2.8400114882849756,0.0,0.5079499869655031,5.36033297646639,0.6788078843753541,7.4115877415391,0.0,0.8035609450577159,12.689661763738657,9.826726215477027,1.0764393523463047,23.079338724879406,55.13337403183023,1.556901960633141,42.237436817341326,191.83668824145775,2.3661480610654584,74.98694502667226,533.4243312571771,3.696076677987506,105.86455828123148,907.7047081284214,4.929307949371878,207.1766901511581,2764.3251994498232,8.958320723520085,1.078193867738679,0.029436562955668034,0.1556,1.5160808409452828,0.8344368312720012
1.0,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.1141026885605354,0.8753014866725659,0.6783737109263094,1.218635638494065,0.9620825762664623,0.7531100825568259,0.2392,12.838742931666976,19.950643327778387,9.279207465562099,264.07879223333106,0.0,0.25316,1.1440273853176264,1.416739600355025,1.804662026952081,0.0,0.4719465999654959,3.4102787166364497,0.5885212469919376,4.693395647814428,0.0,0.6758215914687327,7.720010793498145,0.0,0.8587275615963665,12.838742931666976,9.279207465562099,1.1440273853176264,21.48946673941844,34.642439547166155,1.5580048262398611,34.70493107436776,96.1762263398816,2.143808157266689,49.59969348073044,188.2636618468433,2.752385850616423,147.4827591243456,3299.169062847921,6.582281449623666,1.078193867738679,0.07008007684374139,0.34544,1.1254195695474842,0.7402111170424419
1.0,target_date_fund,Target-Date Fund (glide path),1.2273517602429136,0.951700686583333,0.7176669167588469,1.3234227857930576,1.0430243877519714,0.8052696695796774,0.19308,15.803583325217335,22.252801560836566,8.650454620398857,43.71374216286227,0.0,0.21392,1.2715037540242096,1.5162796293722183,2.7145006573292534,0.0,0.4986421699807179,4.690195935892444,0.6417095136277371,6.194309272585721,0.0,0.742711743838784,9.694392994594821,0.8258345939816761,0.9523471672907827,15.803583325217335,8.650454620398857,1.2715037540242096,25.96806359002889,25.819273459297204,1.7393677762989947,41.72361931716927,61.18904502869415,2.406302259782625,57.259138839385336,105.15688975540395,3.0677236782512867,122.00522975622592,546.3363778833783,5.58668533243733,1.078193867738679,0.04285191334925576,0.23112,1.2393437013465984,0.8027552600882598
1.0,bills_only,100% Bills (cash),0.8294777534010188,0.7299686645153372,0.6164805551203021,0.8392653937929201,0.7516620740432731,0.6502644745806032,0.6522,5.84684614460284,6.53771232934764,0.0,0.632102088989929,0.0,0.70372,0.8377227891705366,0.8862326497511044,1.227462738861352,0.0,0.4368348244498578,2.244451887718339,0.5157631427698518,2.8628675997940176,0.0,0.5703554369435744,4.113635379330407,0.0,0.6807017360284295,5.84684614460284,0.0,0.8377227891705366,8.179354540160544,0.2185093081832343,1.0470298203117228,11.013110052327567,1.7509249292621467,1.2638819233131682,13.08776912475731,3.5655370654294303,1.4031158336111909,18.26075788499939,9.86601903437333,1.7269789710214045,1.078193867738679,0.1996889672133675,0.86588,0.8531266822628765,0.6529672736042227
3.0,balanced_all_equity,50/50 Domestic/International Equity,1.364947928109893,0.983903010404694,0.722875590264206,1.5965129624445087,1.1408247892581054,0.8413069041871599,0.15896,20.206004222135142,31.952578528476657,37.90952110921385,291.83150563479046,0.0,0.16808,1.437829597080095,1.8854787564556037,2.4253272517146245,0.0,0.49732008194762656,4.7182044190275185,0.6493623118449685,6.587192233708426,0.0,0.7615589289429548,11.393000894610527,5.450109409778539,1.0175686156577453,20.206004222135142,37.90952110921385,1.437829597080095,36.46919826276317,135.99414612806567,2.1319266773224115,64.42151061810007,372.73894136386906,3.26160988524219,92.07625429861619,737.5866401129385,4.360735219927002,196.1253856535078,3854.30742817711,8.550919398868382,1.078193867738679,0.03895024473573111,0.1956,1.4064722191930121,0.7972431185917346
3.0,domestic_equity,100% Domestic Equity,1.1760643744313886,0.8586940761282928,0.6598964773259054,1.3250153190944083,0.960881902571225,0.737589780926467,0.291,15.49410968716823,41.87547971741408,13.59075030337126,3624.4186959328545,0.0,0.30244,1.2131586424464675,2.2294582401720198,1.041621956176671,0.0,0.45674529567054156,2.5850396519030574,0.558803159325213,4.030939121509926,0.0,0.6441780316152802,7.830624421139378,0.0,0.8480940598458614,15.49410968716823,13.59075030337126,1.2131586424464675,30.782664766162508,76.76416344473724,1.8534112771429858,61.272581885678306,280.4172200007462,3.061861918595276,97.67549218425962,685.4673706658797,4.4660864131832545,471.6775313028603,39320.38889046632,19.084520424700624,1.078193867738679,0.07983717132890956,0.33796,1.1984054302291343,0.7022473069260812
3.0,international_equity,100% International Equity,1.449839084395992,1.024202401239863,0.7357604563202074,1.7336903004506663,1.2095924422087847,0.8708036579002478,0.13388,22.947939140706183,34.07839116775861,55.285027865606025,209.86513399924092,0.0,0.14196,1.5488978124793955,1.9730182179286548,2.6695948005885626,0.0,0.5114104963904788,5.263130656036512,0.6762462974202019,7.4393473579713,0.0,0.8005692112494717,12.836787733579756,10.372049454652931,1.079123897575176,22.947939140706183,55.285027865606025,1.5488978124793955,41.431652746550434,183.07604457198983,2.3269728930965394,70.46069082073349,473.3629539027473,3.500046108510137,98.82117598622358,854.1220930476436,4.643321531185887,182.41468066331157,2464.548942749862,7.9413445243921625,1.078193867738679,0.030725070566385522,0.15536,1.5145999178993947,0.8245682891760603
3.0,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.1267553515857356,0.8784598065855789,0.6824746812733024,1.237536259001813,0.9677839505125374,0.7585332516318828,0.236,13.2711798510319,20.722501677693682,10.431941275339671,208.42086258394227,0.0,0.25072,1.156867680395543,1.4461375596052088,1.5426966987620048,0.0,0.4709688831202879,3.27303107805656,0.5871036455211329,4.687224984252297,0.0,0.6750028086176976,7.92022067600712,0.0,0.8638581616708203,13.2711798510319,10.431941275339671,1.156867680395543,22.28851494729,38.965224873783434,1.5875050576229346,37.08688611713928,107.05840661142018,2.2280634256593927,54.00900326973006,222.42139675871715,2.904404221251033,152.34288299631106,3829.981087570052,6.780207516161084,1.078193867738679,0.07125714988136544,0.33472,1.1425393323284003,0.7298774628977267
