retire_age,reference_age,claim_factor,adjustment_pct,per_year_pct
50,63,0.4319793894559076,-56.802061054409236,-6.252716018448945
52,63,0.48540657615634303,-51.45934238436569,-6.359408030314439
55,63,0.5823445124780893,-41.76554875219107,-6.535325373910139
58,63,0.7057252997566046,-29.42747002433954,-6.733186884230946
60,63,0.8074954341699282,-19.250456583007182,-6.879201404581803
62,63,0.9296188534715357,-7.038114652846428,-7.038114652846428
63,63,1.0,0.0,
65,63,1.1638080752999713,16.38080752999713,-7.304357961823015
67,63,1.3661461143788665,36.614611437886644,-7.503412139216891
70,63,1.771036874236366,77.1036874236366,-7.840753818832836
