strategy,label,turnover_total,turnover_working,turnover_retired,turnover_drift_only,turnover_schedule_only,excess_over_drift,turnover_peak_year,lifetime_turnover
solved_simplex,Solved simplex (docs/12),0.07961303148776971,0.03822233009598925,0.13204125325069166,0.011394052944634797,0.07720588235294117,0.06821897854313491,0.4453424954052526,5.413686141168466
target_date_fund,Target-Date Fund (glide path),0.04141916243025257,0.04203806751251744,0.04063521599271709,0.03848741520722417,0.008782679738562092,0.0029317472230283997,0.04990569740974664,2.8165030452571727
sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.03611738952642271,0.03557866505962304,0.03679977385103563,0.03611738952642271,0.0,0.0,0.03758472748889223,2.4559824877967364
balanced_all_equity,50/50 Domestic/International Equity,0.0339143652172418,0.03349109590616884,0.034450506344600895,0.0339143652172418,0.0,0.0,0.03533992693755334,2.3061768347724314
domestic_equity,100% Domestic Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
international_equity,100% International Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bills_only,100% Bills (cash),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
