differential,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption
0.0,balanced_all_equity,50/50 Domestic/International Equity,1.0477715240966154,1.247841331479547,0.11714,21.19006684442273,44.749356374785776,0.7490714591444009
0.0,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549
0.0,international_equity,100% International Equity,1.1084723595383563,1.358096652961367,0.0899,24.4229119496229,64.24997267746332,0.7952480072658722
0.0,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345
0.0,target_date_fund,Target-Date Fund (glide path),0.9425195381382905,1.0525353008305582,0.2221,16.374254032061522,9.363398003433641,0.6824444319335816
0.0,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927
0.0005,balanced_all_equity,50/50 Domestic/International Equity,1.0453194857163042,1.2437724100445346,0.1184,21.057048706798376,43.924581291536015,0.7471605690566664
0.0005,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549
0.0005,international_equity,100% International Equity,1.1029686254428364,1.3486107206380569,0.09204,24.11832533793948,62.03743043423319,0.7917670596956581
0.0005,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345
0.0005,target_date_fund,Target-Date Fund (glide path),0.9415187690051839,1.0510682746244362,0.22302,16.314806820022806,9.273039561201854,0.681640322631535
0.0005,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927
0.001,balanced_all_equity,50/50 Domestic/International Equity,1.0428856756142446,1.2397279877448362,0.11969,20.929806288443622,43.11807255481377,0.7455372606541721
0.001,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549
0.001,international_equity,100% International Equity,1.0975296765103952,1.339230710239562,0.09423,23.824396955326765,59.91783659062351,0.7879985448138392
0.001,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345
0.001,target_date_fund,Target-Date Fund (glide path),0.9405210983937797,1.049605601441061,0.2238,16.253655519168905,9.188544105555396,0.6808899740270389
0.001,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927
