year,iso,country,raw_intl_eq,winsorised_intl_eq
1942,ITA,Italy,11.204524496626481,3.0062848958947255
1945,JPN,Japan,-0.856285118623013,-0.6952265186890987
1946,FRA,France,3.076918802038991,3.0062848958947255
