differential,gap_pct,cec_international_equity,cec_balanced_all_equity,leader
0.0,5.793327461736175,1.1084723595383563,1.0477715240966154,international_equity
0.0005,5.514978005698246,1.1029686254428364,1.0453194857163042,international_equity
0.001,5.2396923434552045,1.0975296765103952,1.0428856756142446,international_equity
0.0015,4.966287038833261,1.0921102268071146,1.040439037729398,international_equity
0.002,4.698827879995027,1.0867695113416735,1.0379958719187574,international_equity
0.003,4.16878039563251,1.076232381056542,1.0331621210971433,international_equity
0.005,3.11862675499901,1.0555734303772835,1.0236496194671358,international_equity
0.0075,1.8491055247310095,1.0307816049371983,1.0120674105349936,international_equity
0.01,0.6353983272668451,1.0070629118525949,1.0007044525005218,international_equity
0.015,-1.6152990654087818,0.9630220969200274,0.9788331801305878,balanced_all_equity
0.02,-3.6266753758266046,0.9232479200867574,0.957991149197294,balanced_all_equity
