age,real_income,multiple_of_age25
25,1.0,1.0
30,1.2244600851219147,1.2244600851219147
35,1.4333294145603401,1.4333294145603401
40,1.6039991828515143,1.6039991828515143
45,1.7160068621848583,1.7160068621848583
50,1.7550546569602985,1.7550546569602985
55,1.7160068621848583,1.7160068621848583
60,1.6039991828515143,1.6039991828515143
