panel,strategy,label,cec_crra_gamma2,cec_crra_gamma5,cec_crra_gamma10,cec_ez_gamma2_psi1.5,cec_ez_gamma5_psi1.5,cec_ez_gamma10_psi1.5,prob_ruin,median_wealth_at_retirement,mean_wealth_at_retirement,median_bequest,mean_bequest,p5_bequest,prob_zero_bequest,median_retirement_consumption,mean_retirement_consumption,p1_wealth_at_retirement,p1_bequest,p1_retirement_consumption,p5_wealth_at_retirement,p5_retirement_consumption,p10_wealth_at_retirement,p10_bequest,p10_retirement_consumption,p25_wealth_at_retirement,p25_bequest,p25_retirement_consumption,p50_wealth_at_retirement,p50_bequest,p50_retirement_consumption,p75_wealth_at_retirement,p75_bequest,p75_retirement_consumption,p90_wealth_at_retirement,p90_bequest,p90_retirement_consumption,p95_wealth_at_retirement,p95_bequest,p95_retirement_consumption,p99_wealth_at_retirement,p99_bequest,p99_retirement_consumption,mean_consumption_target,mean_consumption_shortfall,prob_consumption_below_target,median_consumption_replacement_ratio,p5_consumption_replacement_ratio
dev38,balanced_all_equity,50/50 Domestic/International Equity,1.3553491452553348,0.9956095723110187,0.7233253412062087,1.5778038042363198,1.1549903873927556,0.8399885242500671,0.15476,20.008741255600594,28.046252974008215,36.949047388024226,176.5969691176735,0.0,0.15476,1.4303518406239082,1.7401442865951549,2.5895256515191343,0.0,0.5012130655471307,5.016806553492238,0.6660998448287248,7.076229733844664,0.0,0.7843850353255102,11.72818172411442,6.877637036789385,1.0310660074451665,20.008741255600594,36.949047388024226,1.4303518406239082,33.413190383433125,111.91508480580069,2.0340473642551813,54.07470716806638,273.6344456982652,2.8802208714217867,74.07416888074879,484.74327243875825,3.6881761841375793,148.618406238434,2617.402334030355,6.66956137819509,1.078193867738679,0.035042185508083676,0.17276,1.4088772301814798,0.8115317326357959
dev38,domestic_equity,100% Domestic Equity,1.159243623092325,0.8596659041893263,0.6565756562020008,1.2968314142634472,0.9611235463754799,0.7351699595383241,0.29692,15.095591226109288,34.52341958899007,12.424588210622337,2401.602789204792,0.0,0.29692,1.202061960923706,1.9520547786237579,1.0195818028931805,0.0,0.4555367211007284,2.777437004346808,0.564401028884143,4.239578387060884,0.0,0.6495521062565687,8.022695209767418,0.0,0.8500421684025921,15.095591226109288,12.424588210622337,1.202061960923706,28.28033205575711,63.20379018773466,1.7779678576277664,50.975413322697996,214.95014291714483,2.6982591829372007,78.76831753775213,467.15573925140654,3.7343947296368456,444.2335195191201,37432.08506423511,17.563641699948974,1.078193867738679,0.07678582530360235,0.3316,1.1847105658692612,0.7057602667363916
dev38,international_equity,100% International Equity,1.4486358339665963,1.0414388923769713,0.7371134887598751,1.7295054502234821,1.232450296367781,0.8661641599752355,0.12152,22.997420607958254,30.257822011457346,56.36315934705348,139.20449193060654,0.0,0.12152,1.5483514817767574,1.8313587197926091,2.630548958405901,0.0,0.516754261708736,5.653596899826108,0.6966763750754936,8.12938426333916,0.0,0.8299643884657963,13.609906576556641,14.135700694849952,1.112494521624063,22.997420607958254,56.36315934705348,1.5483514817767574,37.69565080464618,147.2846981664867,2.2018048124400353,59.0748374503313,335.07776349224963,3.0811835418611557,78.58732503403346,525.4583280712578,3.877106774271984,137.9098072033068,1245.0409032451228,6.2731389476814154,1.078193867738679,0.02805196951681902,0.13596,1.5315754878985874,0.8340956651417121
dev38,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.114185231169486,0.8681626883702097,0.6704057816107531,1.2197447271019206,0.954701129365047,0.7447818625940616,0.26376,13.248262127861686,19.494947714197828,9.765018779548274,136.69191409619904,0.0,0.26376,1.1499908070303881,1.3967266747834677,1.372941178091083,0.0,0.46665390359654946,3.0814729899508935,0.5798123273124196,4.5218374723950445,0.0,0.667575967130036,7.789849342430048,0.0,0.8537750810081598,13.248262127861686,9.765018779548274,1.1499908070303881,22.117768224447865,36.36595994441771,1.5765739523640698,35.29063654663407,102.7601217337683,2.17007612783161,49.45628110976947,205.1471453580066,2.752926570769166,138.62922771723453,3926.8265077461624,6.168465098854076,1.078193867738679,0.07434872122665513,0.34092,1.1351164238122908,0.7217403368420298
dev38,target_date_fund,Target-Date Fund (glide path),1.205697465650723,0.9286945437978392,0.6976849653075353,1.308158713148653,1.0274822704119666,0.7933206574694288,0.24676,15.925886787367752,21.012853570947335,9.327530303652011,35.14058368317586,0.0,0.24676,1.2620159671094462,1.4579657415325307,2.2633950425580736,0.0,0.4788178513848338,4.288467053853316,0.6192460570064839,6.004888751518889,0.0,0.7225536506213546,9.785528295643058,0.08626348029613012,0.9314665874485648,15.925886787367752,9.327530303652011,1.2620159671094462,25.494280516796046,30.598606061435508,1.7172680506371043,39.302169045899944,72.72488313563596,2.3215976653590484,52.47008583176573,125.62854981427982,2.8779312597662567,102.57685560941995,451.2512565719988,4.780764703679975,1.078193867738679,0.050705768182810806,0.2472,1.2413516523925427,0.7708199667921602
dev38,bills_only,100% Bills (cash),0.8422522666658222,0.7345370949321859,0.6169944096971544,0.8566475783431085,0.7611610498082919,0.6543255262047114,0.61748,6.22198927885975,7.05051088494151,0.0,1.2556102867226944,0.0,0.61748,0.8525010204852241,0.9039806429050423,0.9521771632439677,0.0,0.43487824586842494,2.0083970256729113,0.5163009115278496,2.7379100545288755,0.0,0.5710232676813414,4.175085543401729,0.0,0.6852272832354586,6.22198927885975,0.0,0.8525010204852241,8.981031384382238,0.9814098966322372,1.0693135596702676,12.317467701706171,3.7555560339652874,1.3029106754883362,14.788374301755441,6.67796520530528,1.4510645833698352,21.069968733847098,15.799485684583557,1.8108547925174672,1.078193867738679,0.18808481049434644,0.81592,0.8649073232361965,0.6517431799497251
jst16,balanced_all_equity,50/50 Domestic/International Equity,1.409960352375146,1.0463952989928424,0.7566304594622518,1.6675511957285707,1.2447967597049163,0.9095612948262005,0.1238,21.29764016353997,27.961657304174402,45.62312776918587,108.90565997626537,0.0,0.1238,1.483234864481127,1.740417262407734,3.4134244529888935,0.0,0.5275509917300488,5.949355522894864,0.708440449306489,7.967920507705351,0.0,0.8260894172767486,12.901021018999728,11.454182560700579,1.0880519632208974,21.29764016353997,45.62312776918587,1.483234864481127,34.68835829860008,119.69931844758622,2.081491681160112,53.93109401561738,259.06112281459383,2.8764050096677813,71.6599724888898,405.3003366596978,3.5852792157427626,124.07119193554436,939.7512687731859,5.627146330269161,1.078193867738679,0.024722166404702234,0.1352,1.4616279542883732,0.8617916354824925
jst16,domestic_equity,100% Domestic Equity,1.1883043782519354,0.8817176053663505,0.6684307268327963,1.3418032380241836,0.9929188137854321,0.749488076586372,0.26128,16.22027812309928,24.051514024324202,17.060940816382896,84.45793760477189,0.0,0.26128,1.2497115249101334,1.540587263689677,1.2193816332072729,0.0,0.4601727199725386,3.0229137095716547,0.5755985371613754,4.632229651645819,0.0,0.6690335296490344,8.758513470276037,0.0,0.8830976336816148,16.22027812309928,17.060940816382896,1.2497115249101334,28.84532690314217,69.6765045680168,1.809491974609653,48.350581784576015,188.31905867597695,2.6116629287315685,67.01452440877298,333.08056795145376,3.3436806959775227,133.70891564022514,924.792019601668,5.891419348530854,1.078193867738679,0.0663953762464753,0.29544,1.2346886545227633,0.7211606456244801
jst16,international_equity,100% International Equity,1.5203313367436724,1.1057560927187364,0.7801959448908624,1.8459402555132314,1.3555950536377097,0.9711129542493621,0.09776,24.496430341524533,32.138858742092445,64.45712810323967,146.85568087393085,0.0,0.09776,1.6122151178104454,1.9115470860015524,3.8383771648194993,0.0,0.5581210966344475,6.875807961414688,0.7510106272314381,9.174625599247069,0.29770084550907466,0.8788491564465704,14.624328658375159,19.279895015184138,1.1645961446448199,24.496430341524533,64.45712810323967,1.6122151178104454,39.73666761734263,164.41412035521944,2.2872882646728994,63.311755175019,349.12913626053097,3.253117752126508,82.95622603234929,551.0861240805675,4.052621444063799,139.9910168005349,1296.6977196998714,6.349166025959231,1.078193867738679,0.017659427738266755,0.09836,1.5809168236802915,0.9067818776583887
jst16,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.1087723356065333,0.8717583948954264,0.6736505678002721,1.2171748286733854,0.9647403414870963,0.7497309895326069,0.2528,13.407915176824744,17.157189534599333,10.369548000882112,32.90657774551431,0.0,0.2528,1.1525250900406294,1.299129891506855,1.361858612298521,0.0,0.46645008984774156,3.14509745412637,0.5836098523334889,4.656810549230959,0.0,0.6715261921694886,7.946784098747023,0.0,0.8600817872643912,13.407915176824744,10.369548000882112,1.1525250900406294,21.668179024414215,35.002576563507304,1.558308819044755,33.27015428133578,81.39367306022221,2.0771841586168542,42.600756039495955,129.1267067819502,2.4665824298058907,70.34805941296193,312.5949788876765,3.619022137518161,1.078193867738679,0.07109141568436664,0.33376,1.1424612127085172,0.7223234941534268
