weighting,label,tilts_towards,effective_markets,sd,correlation_with_domestic,challenger_cec,gap_pct
gdp,Real GDP,large economies,4.5626470224644455,0.24323241587333688,0.35713371645610587,1.1098302471135653,3.709993086606489
pop,Population,populous countries,6.315876163829126,0.2603543581311818,0.3328544219964069,1.1263670585044416,4.35674993264572
inverse_vol,Inverse volatility,historically stable markets,13.763574012859952,0.20799933038860288,0.4345816180612309,1.0744558498674868,4.408363681303151
gdp_pc,GDP per capita,rich countries,14.100409611330509,0.2131129450714778,0.4364042590353306,1.1229984783738192,6.745865474543966
equal,Equal-weighted,nothing,15.694656488549619,0.2168675895847343,0.42934318622829026,1.1084723595383563,5.793327461736175
