rule,rule_label,phase,strategy,cec,mean_retirement_consumption,sd_total,sd_sequence,sd_level,sequence_share,wealth_sequence_share,prob_ruin,n_paths,n_reps
constant_real,Fixed real withdrawal,none,balanced_all_equity,1.04847126825557,1.7294022745179551,1.0122954035288458,0.0,1.0122954035288458,0.0,0.0,0.11675,20000,8
constant_real,Fixed real withdrawal,accumulation,balanced_all_equity,1.0464217521898418,1.74595523080932,1.0787188025798529,0.455862840139254,0.9776621737693877,0.17858784074108106,0.20234541598067238,0.11675,20000,8
constant_real,Fixed real withdrawal,retirement,balanced_all_equity,1.0426278652061307,1.7284206764152505,1.0193240386508697,0.14184679101133765,1.0094062530276429,0.019364866080343913,0.0,0.11799375,20000,8
constant_real,Fixed real withdrawal,both,balanced_all_equity,1.0286781415891724,1.7686322287311966,1.191701354971148,0.8370436075824569,0.848239422831441,0.49335700831182744,0.5815041597057676,0.12565,20000,8
vanguard_dynamic,"Dynamic, with guardrails",none,balanced_all_equity,1.123448275609662,2.116550047817854,1.4349940184131826,0.0,1.4349940184131826,0.0,0.0,0.05865,20000,8
vanguard_dynamic,"Dynamic, with guardrails",accumulation,balanced_all_equity,1.118336099164656,2.148739474795786,1.5531998379589582,0.6556348524934014,1.4080385920960015,0.17818428171238823,0.20234541598067238,0.05865,20000,8
vanguard_dynamic,"Dynamic, with guardrails",retirement,balanced_all_equity,1.1122831147010586,2.137247022830565,1.5079647574878217,0.47778785042343946,1.4302714706701851,0.10038939115969246,0.0,0.06519375,20000,8
vanguard_dynamic,"Dynamic, with guardrails",both,balanced_all_equity,1.0999253133747828,2.179200751620388,1.6770655709706523,1.0667632266885343,1.2940499014799185,0.40460941672717854,0.5815041597057676,0.0715,20000,8
constant_percent,Fixed percentage of the portfolio,none,balanced_all_equity,1.1288283522080997,2.3988108779598547,2.0291343248357214,0.0,2.0291343248357214,0.0,0.0,0.0,20000,8
constant_percent,Fixed percentage of the portfolio,accumulation,balanced_all_equity,1.1217019429978126,2.4465747172039953,2.2090192477981225,0.8892758236771137,2.022116353369898,0.16205930459725074,0.20234541598067238,0.0,20000,8
constant_percent,Fixed percentage of the portfolio,retirement,balanced_all_equity,1.1198230018315611,2.4395442777580536,2.273973606488476,0.8547861449894447,2.1072011316768724,0.141300633556573,0.0,0.0,20000,8
constant_percent,Fixed percentage of the portfolio,both,balanced_all_equity,1.1128774170918243,2.489842778955638,2.3595774930419795,1.2658950708809715,1.9912598060498117,0.28782394912968634,0.5815041597057676,0.0,20000,8
