system,regime,rule,cec,prob_ruin,mean_consumption,p5_consumption,mean_tax,tax_share_of_gross,median_wealth
us,none,fixed_real_rule,1.0408934930149836,0.11872,1.7313760193090955,0.7043937774884697,0.0,0.0,21.217523985931166
us,none,replace_50,0.599896095345332,0.02528,0.851824282479694,0.43814916002514376,0.0,0.0,21.217523985931166
us,none,replace_75,0.6686332554103127,0.12028,1.1352052616324437,0.4536264302222783,0.0,0.0,21.217523985931166
us,none,replace_100,0.7497999524496934,0.24806,1.373025748133697,0.497957175261382,0.0,0.0,21.217523985931166
us,us_roth,fixed_real_rule,1.0408934930149836,0.11872,1.7313760193090955,0.7043937774884697,0.0,0.0,21.217523985931166
us,us_roth,replace_50,0.599896095345332,0.02528,0.851824282479694,0.43814916002514376,0.0,0.0,21.217523985931166
us,us_roth,replace_75,0.6686332554103127,0.12028,1.1352052616324437,0.4536264302222783,0.0,0.0,21.217523985931166
us,us_roth,replace_100,0.7497999524496934,0.24806,1.373025748133697,0.497957175261382,0.0,0.0,21.217523985931166
us,us_traditional,fixed_real_rule,1.0620061801950111,0.11872,1.668872913811614,0.7218101927009234,0.1738070120264432,0.09432295299325799,23.42213958007905
us,us_traditional,replace_50,0.5998993827342369,0.02084,0.8379437918763727,0.43814916002514376,0.01614289420468423,0.018900767881952666,23.42213958007905
us,us_traditional,replace_75,0.6691957372492043,0.10202,1.093745596331064,0.45370202244139807,0.053780083517005195,0.0468661263633992,23.42213958007905
us,us_traditional,replace_100,0.7530272829130973,0.218,1.3042724939064194,0.49926344599250333,0.09787460862379595,0.069803381148225,23.42213958007905
au_pension_only,none,fixed_real_rule,0.42690123016332865,0.11872,1.1323602228560687,0.3409746891823253,0.0,0.0,21.217523985931166
au_pension_only,none,replace_50,0.3346860230260633,0.10494,0.7546357233649343,0.25263997014586886,0.0,0.0,21.217523985931166
au_pension_only,none,replace_75,0.48232186348232714,0.25964,1.0142653841622342,0.37552451587861757,0.0,0.0,21.217523985931166
au_pension_only,none,replace_100,0.5693914702889428,0.41026,1.1907039753805226,0.4492869049050311,0.0,0.0,21.217523985931166
au_pension_only,au,fixed_real_rule,0.42690123016332865,0.11872,1.1323602228560687,0.3409746891823253,0.0,0.0,21.217523985931166
au_pension_only,au,replace_50,0.3346860230260633,0.10494,0.7546357233649343,0.25263997014586886,0.0,0.0,21.217523985931166
au_pension_only,au,replace_75,0.48232186348232714,0.25964,1.0142653841622342,0.37552451587861757,0.0,0.0,21.217523985931166
au_pension_only,au,replace_100,0.5693914702889428,0.41026,1.1907039753805226,0.4492869049050311,0.0,0.0,21.217523985931166
au_as_legislated,none,fixed_real_rule,0.7223411587603107,0.11872,2.5261318847614156,0.4492869049050311,0.0,0.0,49.45697724766477
au_as_legislated,none,replace_50,0.3276547229511154,0.02016,0.795730053429315,0.24829498963167485,0.0,0.0,49.45697724766477
au_as_legislated,none,replace_75,0.4877548630414636,0.0702,1.1597096548136576,0.3719586159884637,0.0,0.0,49.45697724766477
au_as_legislated,none,replace_100,0.6265207611188047,0.13574,1.4823194669095836,0.4492869049050311,0.0,0.0,49.45697724766477
au_as_legislated,au,fixed_real_rule,0.7181187886852028,0.11872,2.501775242615375,0.4492869049050311,0.0,0.0,48.98429336584382
au_as_legislated,au,replace_50,0.327683171532184,0.02054,0.7955657018497492,0.24829969195902027,0.0,0.0,48.98429336584382
au_as_legislated,au,replace_75,0.4877199902078433,0.07126,1.158903497439178,0.3719586159884637,0.0,0.0,48.98429336584382
au_as_legislated,au,replace_100,0.6261177886618359,0.13794,1.4803916074175996,0.4492869049050311,0.0,0.0,48.98429336584382
