bucket,n_paths,optimal_equity_share,cec_at_optimum,cec_at_worst,cec_at_low_end,cec_at_high_end,range_pct,margin_over_low_end_pct,margin_over_high_end_pct,margin_over_runner_up_pct,at_grid_edge
Low inflation,16223,1.0,1.0491197600876916,0.7617616344412101,0.7617616344412101,1.0491197600876916,37.722840407586666,37.722840407586666,0.0,2.2175109681833005,True
Moderate,33621,1.0,1.0547647401751739,0.7703195758315263,0.7703195758315263,1.0547647401751739,36.92560506937674,36.92560506937674,0.0,2.0453885517197623,True
High inflation,41573,1.0,1.0502142844610574,0.7618508752595096,0.7618508752595096,1.0502142844610574,37.8503744716868,37.8503744716868,0.0,2.366962175198628,True
