credit,n_paths,optimal_domestic_share,cec_at_optimum,cec_at_worst,cec_at_low_end,cec_at_high_end,range_pct,margin_over_low_end_pct,margin_over_high_end_pct,margin_over_runner_up_pct,at_grid_edge
-0.15,100000,0.1,1.0536840941872125,0.8553264713866887,1.0469930412547468,0.8553264713866887,23.190866813573386,0.6390732955060541,23.190866813573386,0.20846424103604377,False
0.0,100000,0.2,1.0629023733970209,0.8817855922986605,1.0469930412547468,0.8817855922986605,20.53977550554218,1.5195260632494545,20.53977550554218,0.3313105430999608,False
0.05,100000,0.2,1.0667553336726063,0.8908666949126487,1.0469930412547468,0.8908666949126487,19.743541852488256,1.8875285354500448,19.743541852488256,0.40615873268741165,False
0.1,100000,0.2,1.0706467631641507,0.9000504394236145,1.0469930412547468,0.9000504394236145,18.95408482326666,2.2592052647319116,18.95408482326666,0.23633396493507597,False
0.15,100000,0.2,1.0745541088731556,0.90933824980233,1.0469930412547468,0.90933824980233,18.16880122514806,2.6324021777049067,18.16880122514806,0.06495630763014848,False
0.2143,100000,0.3,1.0812183679582996,0.9214924138218765,1.0469930412547468,0.9214924138218765,17.333398706340077,3.2689163494855844,17.333398706340077,0.14988616382591857,False
0.25,100000,0.3,1.0853480372048163,0.9283495795402601,1.0469930412547468,0.9283495795402601,16.9115666258292,3.6633477433721806,16.9115666258292,0.27243252991577815,False
0.3,100000,0.3,1.0911807800931665,0.9380406160707063,1.0469930412547468,0.9380406160707063,16.32553659178837,4.22044245733133,16.32553659178837,0.44481030200336225,False
0.35,100000,0.3,1.0971487799080883,0.9478782999186337,1.0469930412547468,0.9478782999186337,15.747852862785038,4.7904557792698865,15.747852862785038,0.36954653687224503,False
0.4286,100000,0.3,1.106530982375052,0.9634935195748399,1.0469930412547468,0.9634935195748399,14.845710935692669,5.686565122625198,14.845710935692669,0.12590971688060115,False
0.5,100000,0.4,1.1162727772327372,0.9778635595280926,1.0469930412547468,0.9778635595280926,14.154246403397996,6.6170197172431555,14.154246403397996,0.09805979677874888,False
0.6,100000,0.4,1.132023849258465,0.9981191875297062,1.0469930412547468,0.9981191875297062,13.415698586074276,8.121430100606485,13.415698586074276,0.4123911665966373,False
