kind,risk_aversion,age,phase,dom_eq,intl_eq,bond,bill,equity,fixed_income,domestic_share_of_equity,bond_share_of_fixed
full simplex,2.0,81,retired,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,2.0,82,retired,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,83,retired,0.2,0.8,0.0,0.0,1.0,0.0,0.2,0.0
full simplex,2.0,84,retired,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,2.0,85,retired,0.1,0.8999999999999999,0.0,0.0,0.9999999999999999,0.0,0.10000000000000002,0.0
full simplex,2.0,86,retired,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,2.0,87,retired,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,2.0,88,retired,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,89,retired,0.2,0.8,0.0,0.0,1.0,0.0,0.2,0.0
full simplex,2.0,90,retired,0.25,0.75,0.0,0.0,1.0,0.0,0.25,0.0
full simplex,2.0,91,retired,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,92,retired,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,25,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,26,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,27,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,28,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,29,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,30,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,31,working,0.15000000000000002,0.8500000000000001,0.0,0.0,1.0,0.0,0.15000000000000002,0.0
full simplex,5.0,32,working,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,5.0,33,working,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,5.0,34,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,35,working,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,5.0,36,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,37,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,38,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,39,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,40,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,41,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,42,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,43,working,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,5.0,44,working,0.1,0.8999999999999999,0.0,0.0,0.9999999999999999,0.0,0.10000000000000002,0.0
full simplex,5.0,45,working,0.1,0.8999999999999999,0.0,0.0,0.9999999999999999,0.0,0.10000000000000002,0.0
full simplex,5.0,46,working,0.1,0.8999999999999999,0.0,0.0,0.9999999999999999,0.0,0.10000000000000002,0.0
full simplex,5.0,47,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,48,working,0.1,0.8999999999999999,0.0,0.0,0.9999999999999999,0.0,0.10000000000000002,0.0
full simplex,5.0,49,working,0.1,0.8999999999999999,0.0,0.0,0.9999999999999999,0.0,0.10000000000000002,0.0
full simplex,5.0,50,working,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,5.0,51,working,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,5.0,52,working,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,5.0,53,working,0.15000000000000002,0.8500000000000001,0.0,0.0,1.0,0.0,0.15000000000000002,0.0
full simplex,5.0,54,working,0.1,0.8999999999999999,0.0,0.0,0.9999999999999999,0.0,0.10000000000000002,0.0
full simplex,5.0,55,working,0.1,0.8999999999999999,0.0,0.0,0.9999999999999999,0.0,0.10000000000000002,0.0
full simplex,5.0,56,working,0.2,0.8,0.0,0.0,1.0,0.0,0.2,0.0
full simplex,5.0,57,working,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,5.0,58,working,0.15000000000000002,0.8500000000000001,0.0,0.0,1.0,0.0,0.15000000000000002,0.0
full simplex,5.0,59,working,0.1,0.8999999999999999,0.0,0.0,0.9999999999999999,0.0,0.10000000000000002,0.0
full simplex,5.0,60,working,0.15000000000000002,0.8500000000000001,0.0,0.0,1.0,0.0,0.15000000000000002,0.0
full simplex,5.0,61,working,0.15000000000000002,0.8500000000000001,0.0,0.0,1.0,0.0,0.15000000000000002,0.0
full simplex,5.0,62,working,0.15000000000000002,0.8500000000000001,0.0,0.0,1.0,0.0,0.15000000000000002,0.0
full simplex,5.0,63,retired,0.15000000000000002,0.55,0.0,0.3,0.7000000000000001,0.3,0.2142857142857143,0.0
full simplex,5.0,64,retired,0.2,0.6000000000000001,0.0,0.2,0.8,0.2,0.25,0.0
full simplex,5.0,65,retired,0.25,0.6499999999999999,0.0,0.1,0.8999999999999999,0.1,0.2777777777777778,0.0
