strategy,risk_aversion,cec,gap_to_best_pct
free_form_optimal,2.0,1.4518122377718319,0.0
international_equity,2.0,1.4450555519145876,-0.4653966733063286
parametric_optimal,2.0,1.4349868171258184,-1.1589253905061603
balanced_all_equity,2.0,1.350440905239199,-6.9823996447510694
target_date_fund,2.0,1.2034711010983008,-17.10559604144628
domestic_equity,2.0,1.1545901268165246,-20.472489707861175
sixty_forty,2.0,1.1122765406415784,-23.387025422196174
bills_only,2.0,0.8419791883749977,-42.004953087650996
free_form_optimal,5.0,1.0535929225986793,0.0
parametric_optimal,5.0,1.0494766248868144,-0.39069147329806597
international_equity,5.0,1.0414585300338415,-1.1517154590321654
balanced_all_equity,5.0,0.9951919403312481,-5.543030995632126
target_date_fund,5.0,0.9306357595397683,-11.670272305516072
sixty_forty,5.0,0.8695912631000701,-17.464208002154237
domestic_equity,5.0,0.8584283538064581,-18.523716760629828
bills_only,5.0,0.734755350671202,-30.26193182287773
free_form_optimal,10.0,0.7562575376833588,0.0
parametric_optimal,10.0,0.754657157362346,-0.21161842907579942
international_equity,10.0,0.7425997702819351,-1.80596777167491
balanced_all_equity,10.0,0.7254010921162243,-4.08015048176008
target_date_fund,10.0,0.7002474895752732,-7.406213534037764
sixty_forty,10.0,0.6715688731897211,-11.198389473652604
domestic_equity,10.0,0.6554849198871845,-13.325172018102549
bills_only,10.0,0.617426294798245,-18.357667324598857
