risk_aversion,flat_cec,solved_cec,gain_vs_flat_pct,realised_mean_rate,peak_age,peak_rate
2.0,1.074721529026586,1.0805653341339672,0.5437506320985497,0.1,39,0.13944954126393402
5.0,0.7852658533060626,0.7901705213940186,0.624586955781492,0.10000000000000002,35,0.14339622641148692
10.0,0.5274805134052087,0.5405254562582287,2.4730663070009706,0.10000000000000003,25,0.15833333331684035
