bucket,bucket_index,n_paths,strategy,label,cec_crra_gamma2,cec_crra_gamma5,cec_crra_gamma10,prob_ruin,median_retirement_consumption,p5_retirement_consumption,median_wealth_at_retirement
Low inflation,0,16223,equity_000,0% equity,0.890927109617572,0.7617616344412101,0.6269190253570255,0.44492387351291374,0.9025607380146269,0.5294372443797433,7.449213968508937
Low inflation,0,16223,equity_010,10% equity,0.9290974826998075,0.7877216616589449,0.6411307157651794,0.36688651913949333,0.9452916470827417,0.5445347075025234,8.372002920078312
Low inflation,0,16223,equity_020,20% equity,0.9709790161525771,0.8157870338286153,0.6560204005973184,0.2968624791962029,0.9919154090473301,0.5636445754624415,9.397838689974616
Low inflation,0,16223,equity_030,30% equity,1.0163508032552604,0.8453495155597012,0.6710564139588843,0.23608457128767799,1.042987868229186,0.5852833537300081,10.498679550955083
Low inflation,0,16223,equity_040,40% equity,1.0649052077063839,0.8760687983190562,0.6862756548791942,0.19392220920914752,1.0963374561573462,0.6045147760478503,11.721805099410563
Low inflation,0,16223,equity_050,50% equity,1.116461999313944,0.907606514754393,0.7014790289931878,0.16556740430253344,1.1513375189007227,0.6252137209594639,13.070245619258921
Low inflation,0,16223,equity_060,60% equity,1.1707567490816917,0.9390948993561065,0.7158017755978663,0.14522591382604944,1.2125258030920514,0.6456326999877522,14.489271566447577
Low inflation,0,16223,equity_070,70% equity,1.227364353765568,0.9700797108186817,0.7293466481741895,0.13098687049251062,1.2756452098933537,0.6656689588280148,15.974265115993363
Low inflation,0,16223,equity_080,80% equity,1.2855535901060755,0.9995233424774236,0.741063477116572,0.12198730197867226,1.3425345475283543,0.6815221706553481,17.605671173915418
Low inflation,0,16223,equity_090,90% equity,1.3442763696451,1.02636011203036,0.7508808462860765,0.1160081365961906,1.4074094516019926,0.6973543905003072,19.15186460005571
Low inflation,0,16223,equity_100,100% equity,1.4021718034974087,1.0491197600876916,0.7575082087413039,0.1121247611415891,1.4785958328728896,0.7090444941539219,20.963529846120093
Low inflation,0,16223,domestic_000,0% domestic equity,1.505461024556747,1.1001322931697277,0.7819517790719324,0.09751587252665968,1.601348953488403,0.7432059714489405,24.115074569999514
Low inflation,0,16223,domestic_010,10% domestic equity,1.5024258943578959,1.1110654031858724,0.7910774696506031,0.08531097824076928,1.5883065602373498,0.7569282785162604,23.647857147817884
Low inflation,0,16223,domestic_020,20% domestic equity,1.4894698547045466,1.1107241808745616,0.7932399658215016,0.08130432102570424,1.5653397992008657,0.75914645645111,23.202112986766647
Low inflation,0,16223,domestic_030,30% domestic equity,1.4674698793552334,1.0991629488095234,0.787156239480924,0.08611230968378228,1.5410954324783745,0.7507168564544318,22.55461539032139
Low inflation,0,16223,domestic_040,40% domestic equity,1.4378160236009638,1.077801389679744,0.7747605521586284,0.09856376749059977,1.5126609233809933,0.7321380192927618,21.888812461092368
Low inflation,0,16223,domestic_050,50% domestic equity,1.4021718034974087,1.0491197600876916,0.7575082087413039,0.1121247611415891,1.4785958328728896,0.7090444941539219,20.963529846120093
Low inflation,0,16223,domestic_060,60% domestic equity,1.3621422647447634,1.016037505340137,0.7374749482437525,0.1318498428157554,1.436559974986327,0.6816396691808551,20.00284944318511
Low inflation,0,16223,domestic_070,70% domestic equity,1.3197215107874098,0.9821049797637033,0.717806653689626,0.15311594649571597,1.3929110621594105,0.6536469832028426,19.052508544309095
