bucket,n_paths,optimal_domestic_share,cec_at_optimum,cec_at_worst,cec_at_low_end,cec_at_high_end,range_pct,margin_over_low_end_pct,margin_over_high_end_pct,margin_over_runner_up_pct,at_grid_edge
Low inflation,17333,0.3,1.0898981581431864,1.0096391287173694,1.0804013863609208,1.0096391287173694,7.9492788208175735,0.8790040351811523,7.9492788208175735,0.02335120879544128,False
Moderate,36693,0.2,1.1373879734825612,1.019278688114254,1.1327901186879528,1.019278688114254,11.58753604343663,0.4058876149037882,11.58753604343663,0.04571749422743743,False
High inflation,41953,0.2,1.0103860383457022,0.9081020918770376,1.0038351560606686,0.9081020918770376,11.263485392621963,0.6525854614158888,11.263485392621963,0.14232918317240717,False
