holding_cost,reference_cost,dom_eq,intl_eq,bond,bill,housing
0.05,0.06,0.0,0.0,0.0,0.0,0.0
0.04,0.06,-0.024999999999999994,0.0,0.0,0.0,0.025
0.03,0.06,-0.049999999999999996,-0.09999999999999998,0.0,0.0,0.15
0.02,0.06,-0.1,-0.17500000000000004,0.0,0.0,0.27499999999999997
0.01,0.06,-0.1,-0.30000000000000004,0.0,0.0,0.4
0.0,0.06,-0.1,-0.4,0.0,0.0,0.5
