strategy,label,cec_crra_gamma5,median_retirement_consumption,p5_retirement_consumption,prob_ruin,median_bequest
international_equity,100% International Equity,1.544888680709792,1.680198544801156,1.1959759549095188,0.00949367088607595,89.90026326902176
balanced_all_equity,50/50 Domestic/International Equity,1.3007565465001512,1.4643315809163646,1.0060546704851074,0.061708860759493674,60.46010118800084
target_date_fund,Target-Date Fund (glide path),1.118517327128306,1.2173893354021539,0.8894034626112858,0.1930379746835443,8.768692226251297
domestic_equity,100% Domestic Equity,1.036179894919519,1.1891721668814323,0.7822406456541656,0.19778481012658228,25.10836055566717
sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.002014775307793,1.0836676964223049,0.7843583510946833,0.2231012658227848,10.384628478982282
bills_only,100% Bills (cash),0.8668907059231377,0.8769123830152539,0.7652091778109996,0.5506329113924051,0.0
