age,n_working,q10,q25,q50,q75,q90
25,20000,9.559748427432461e-11,9.559748427432461e-11,9.559748427432461e-11,9.559748427432461e-11,9.559748427432461e-11
26,20000,0.02389937106858115,0.02389937106858115,0.02389937106858115,0.02389937106858115,0.02389937106858115
27,20000,0.0,0.0,0.02389937106858115,0.11867416071200163,0.1850733939844395
28,20000,0.0,0.0,0.0,0.19575811114092595,0.2677553620386137
29,20000,0.0,0.0,0.0,0.027394740112382646,0.19580908219704632
30,20000,0.0,0.0,0.0,0.0921809336251013,0.1985528297924402
31,20000,0.0,0.0,0.0,0.12841766230671514,0.21824684542839362
32,20000,0.0,0.0,0.030951677906404275,0.14697985096289065,0.22795548307901106
33,20000,0.0,0.0,0.04066158087106386,0.14835377668353003,0.22379381198421047
34,20000,0.0,0.0,0.04581111429218148,0.14914527157708699,0.22400406472083426
35,20000,0.0,0.0,0.09440679647997328,0.1999635691562022,0.2720401940452432
36,20000,0.0,0.0,0.10661867159732118,0.20601650385710593,0.27620370558155966
37,20000,0.0,0.0,0.10943016992065878,0.20707176189467763,0.2784915113283124
38,20000,0.0,0.0,0.1134470430125649,0.21200272469087675,0.28126306580348176
39,20000,0.0,0.0,0.10933135561194851,0.2115494640992118,0.2817510059655922
40,20000,0.0,0.0,0.1146735934913991,0.21346776481259655,0.285261383488374
41,20000,0.0,0.0,0.11167965481439712,0.21429836957236614,0.2858992441342935
42,20000,0.0,0.0,0.11173471299223532,0.21480613702457513,0.2882169062129716
43,20000,0.0,0.0,0.11427059152510068,0.219588121805147,0.29135370589411025
44,20000,0.0,0.0,0.11130545224244454,0.21964151085166633,0.29479762291496264
45,20000,0.0,0.0,0.11243738881085033,0.22107475816622169,0.2962490190378982
46,20000,0.0,0.0,0.1099911944899502,0.22388746952211774,0.29824020481259744
47,20000,0.0,0.0,0.10932580918901523,0.22436722166190323,0.3005097144465042
48,20000,0.0,0.0,0.10953666863408279,0.2249650232220925,0.3054449080594442
49,20000,0.0,0.0,0.10789039585300116,0.22671165841983473,0.3062378202992751
50,20000,0.0,0.0,0.10658964501461823,0.22893540348668098,0.3066354034526329
51,20000,0.0,0.0,0.1044859810707654,0.2302251952271857,0.31108170540912544
52,20000,0.0,0.0,0.05664303362418208,0.18310125765784765,0.2645883007395856
53,20000,0.0,0.0,0.05549839455635597,0.18488234351558316,0.2692750557020989
54,20000,0.0,0.0,0.05425733876121257,0.18784681136899029,0.27218448856682254
55,20000,0.0,0.0,0.05244568558263907,0.18784198570242683,0.2773425947718625
56,20000,0.0,0.0,0.02538312027631179,0.1667796273788065,0.2529784113725902
57,20000,0.0,0.0,0.02534115275732104,0.1683968289170413,0.2571319529352859
58,20000,0.0,0.0,0.020130069107816,0.16829637280941287,0.25618455122738426
59,20000,0.0,0.0,0.0,0.14601832527897962,0.23680036068694216
60,20000,0.0,0.0,0.0,0.1474887584251502,0.2398515876953373
61,20000,0.0,0.0,0.0,0.12598390786179142,0.21899373622315832
62,20000,0.0,0.0,0.0,0.1286456492911793,0.2222220475304831
