variant,rule,label,cec_gamma2,cec_gamma5,cec_gamma10,median_retire_age,mean_retire_age,p10_retire_age,p90_retire_age,sd_retire_age,prob_ruin,median_wealth_at_retirement,median_bequest,median_retirement_consumption,p5_retirement_consumption,mean_savings_rate,median_total_saved,median_working_consumption,vs_neither_pct
Neither,fixed_age,Fixed age,1.074721529026586,0.7852658533060626,0.5274805134052087,63.0,63.0,63.0,63.0,0.0,0.1467,19.884761793330483,36.5742637214413,1.4224375125292372,0.707607825735363,0.10000000000000007,5.352167205161795,1.267618548590951,0.0
Savings conditioning only,fixed_age,Fixed age,1.0929671114622557,0.8130194676646549,0.5359049511728502,63.0,63.0,63.0,63.0,0.0,0.1467,23.262392249187116,44.435484320990184,1.5485383419947025,0.7565945323037353,0.10601620187687855,6.083907336322616,1.2372583491121958,3.5342953270852684
Retirement conditioning only,wealth_multiple,Wealth multiple,1.0937477653099696,0.7997696655942563,0.5368011845505197,65.0,64.46555,56.0,70.0,5.2930439270046366,0.13465,23.137878339949303,37.18210306905404,1.5236205829318619,0.7651356232442547,0.10000000000000005,5.549058715884009,1.2780830550584317,1.8469938845718348
Both,wealth_multiple,Wealth multiple,1.1027506241472191,0.8052660650390778,0.48207082142472085,64.0,63.7466,57.0,70.0,4.886346514433146,0.14395,26.428729205608406,45.89300723842106,1.651872571709139,0.8216437542251864,0.11655447036652877,6.680034351162719,1.2384636705560672,2.546935111059767
