variant,mean_savings_rate,cec,matched_constant_rate_cec,value_of_shape_pct,extrapolated
Solved shape,0.10000000000000007,0.7901705213940186,0.7852658533060626,0.624586955781492,False
On-track k=-0.005,0.10521879550248336,0.7565730270197872,0.7812994978635182,-3.1647877557000936,False
On-track k=0,0.10000000000000007,0.7901705213940186,0.7852658533060626,0.624586955781492,False
On-track k=0.005,0.09791674438514855,0.8009571745850305,0.786338385421423,1.8590964697434709,False
On-track k=0.01,0.0981243791899548,0.8057180108269646,0.78623148783534,2.4784714544154207,False
On-track k=0.02,0.09990737923889977,0.8106075959839563,0.78531353768052,3.2208865745704696,False
On-track k=0.05,0.10601620187687855,0.8130194676646549,0.7806934581918167,4.140678922519636,False
Return-responsive k=-0.25,0.11916016927870363,0.7704563900040947,0.7707038644980136,-0.03211019242521651,False
Return-responsive k=0,0.10000000000000007,0.7901705213940186,0.7852658533060626,0.624586955781492,False
Return-responsive k=0.25,0.08480335664989741,0.7965957928705184,0.7930896114289104,0.4420914599159609,False
Return-responsive k=0.5,0.0796669928149774,0.7900955476857892,0.7957339893582699,-0.7085837412861951,False
Return-responsive k=1,0.08393449315728813,0.763836800475492,0.7935369324360131,-3.7427535816571433,False
