credit,credit_pct,cec_international_equity,winner,cec_balanced_all_equity,lead_over_balanced_all_equity_pct,cec_target_date_fund,lead_over_target_date_fund_pct,cec_domestic_equity,lead_over_domestic_equity_pct
-0.15,-15.0,1.0469930412547468,international_equity,0.9958108077458213,5.139754771770821,0.915914494938552,14.311220866199825,0.8553264713866887,22.40858622758637
0.0,0.0,1.0469930412547468,international_equity,1.0197211734399703,2.6744436150890616,0.9311298546253112,12.443289843397753,0.8817855922986605,18.735557759048827
0.05,5.0,1.0469930412547468,international_equity,1.0278945293243054,1.8580225291203734,0.936290439241093,11.823532247470503,0.8908666949126487,17.525219792553436
0.1,10.0,1.0469930412547468,international_equity,1.0362230145330744,1.0393541323269417,0.9415085325790401,11.203776176808166,0.9000504394236145,16.32604078558455
0.15,15.0,1.0469930412547468,international_equity,1.0446691144244142,0.22245578032744628,0.9467852411347392,10.584005301973942,0.90933824980233,15.137908416624924
0.2143,21.43,1.0469930412547468,balanced_all_equity,1.055628133617584,-0.8180051372110642,0.9535919209976963,9.794663545317107,0.9214924138218765,13.619279502514647
0.25,25.0,1.0469930412547468,balanced_all_equity,1.061826546883214,-1.3969801067799659,0.9574011521506378,9.357821316890647,0.9283495795402601,12.780041519838004
0.3,30.0,1.0469930412547468,balanced_all_equity,1.0705370006142831,-2.1992662884166236,0.962780780465157,8.746774187671624,0.9380406160707063,11.614894207931403
0.35,35.0,1.0469930412547468,balanced_all_equity,1.0793240489006435,-2.9954866361801002,0.9682053696808318,8.137495828998276,0.9478782999186337,10.456483848677745
0.4286,42.86,1.0469930412547468,balanced_all_equity,1.0934519529045224,-4.24882972922288,0.9768550461749494,7.179979809126769,0.9634935195748399,8.666329350793433
0.5,50.0,1.0469930412547468,balanced_all_equity,1.1065077723948515,-5.378609407441848,0.9847674272799072,6.3188131787337065,0.9778635595280926,7.069440419685491
0.6,60.0,1.0469930412547468,balanced_all_equity,1.124991860342827,-6.9332785273940605,0.99598024776485,5.121867989287776,0.9981191875297062,4.8965949493467775
