claim_arm,system,leisure,cec,prob_ruin,mean_retirement_consumption,n_paths,cec_survival_weighted,retire_age,working_years,retired_years,claim_factor,mean_benefit
unadjusted,us,1.0,0.8014198812512265,0.19575,0.9876265655740674,100000,0.8043281744095394,50,25,43,1.0,0.6334533278681187
unadjusted,us,1.05,0.7741666917102479,0.19575,0.9876265655740674,100000,0.7754465045316803,50,25,43,1.0,0.6334533278681187
unadjusted,us,1.1,0.7477328189180255,0.19575,0.9876265655740674,100000,0.7476893621599988,50,25,43,1.0,0.6334533278681187
unadjusted,us,1.15,0.7222629717133788,0.19575,0.9876265655740674,100000,0.721156336678253,50,25,43,1.0,0.6334533278681187
unadjusted,us,1.2,0.6978454543490169,0.19575,0.9876265655740674,100000,0.6958931813956573,50,25,43,1.0,0.6334533278681187
unadjusted,us,1.25,0.6745246213288867,0.19575,0.9876265655740674,100000,0.6719061907026289,50,25,43,1.0,0.6334533278681187
unadjusted,us,1.3,0.652311898815433,0.19575,0.9876265655740674,100000,0.6491739212574013,50,25,43,1.0,0.6334533278681187
unadjusted,us,1.4,0.6111449643225004,0.19575,0.9876265655740674,100000,0.6073016065136437,50,25,43,1.0,0.6334533278681187
unadjusted,us,1.5,0.5740805811239947,0.19575,0.9876265655740674,100000,0.5698436948875092,50,25,43,1.0,0.6334533278681187
unadjusted,us,1.75,0.49682178483378137,0.19575,0.9876265655740674,100000,0.49232357161241097,50,25,43,1.0,0.6334533278681187
unadjusted,us,2.0,0.43681158950903565,0.19575,0.9876265655740674,100000,0.4324832078397201,50,25,43,1.0,0.6334533278681187
unadjusted,us,1.0,0.8059382018461461,0.18519,1.067529819507492,100000,0.8073366765560369,52,27,41,1.0,0.6419934795180783
unadjusted,us,1.05,0.7760448938758346,0.18519,1.067529819507492,100000,0.7759795422186273,52,27,41,1.0,0.6419934795180783
unadjusted,us,1.1,0.7474786640111256,0.18519,1.067529819507492,100000,0.7462646406945996,52,27,41,1.0,0.6419934795180783
